date,city,cases,roll_cases
2021-05-01,Fujian_fu-tian-shi,0.0,
2021-05-02,Fujian_fu-tian-shi,0.0,
2021-05-03,Fujian_fu-tian-shi,0.0,
2021-05-04,Fujian_fu-tian-shi,0.0,
2021-05-05,Fujian_fu-tian-shi,0.0,
2021-05-06,Fujian_fu-tian-shi,0.0,
2021-05-07,Fujian_fu-tian-shi,0.0,0.0
2021-05-08,Fujian_fu-tian-shi,0.0,0.0
2021-05-09,Fujian_fu-tian-shi,0.0,0.0
2021-05-10,Fujian_fu-tian-shi,0.0,0.0
2021-05-11,Fujian_fu-tian-shi,0.0,0.0
2021-05-12,Fujian_fu-tian-shi,0.0,0.0
2021-05-13,Fujian_fu-tian-shi,0.0,0.0
2021-05-14,Fujian_fu-tian-shi,0.0,0.0
2021-05-15,Fujian_fu-tian-shi,0.0,0.0
2021-05-16,Fujian_fu-tian-shi,0.0,0.0
2021-05-17,Fujian_fu-tian-shi,0.0,0.0
2021-05-18,Fujian_fu-tian-shi,0.0,0.0
2021-05-19,Fujian_fu-tian-shi,0.0,0.0
2021-05-20,Fujian_fu-tian-shi,0.0,0.0
2021-05-21,Fujian_fu-tian-shi,0.0,0.0
2021-05-22,Fujian_fu-tian-shi,0.0,0.0
2021-05-23,Fujian_fu-tian-shi,0.0,0.0
2021-05-24,Fujian_fu-tian-shi,0.0,0.0
2021-05-25,Fujian_fu-tian-shi,0.0,0.0
2021-05-26,Fujian_fu-tian-shi,0.0,0.0
2021-05-27,Fujian_fu-tian-shi,0.0,0.0
2021-05-28,Fujian_fu-tian-shi,0.0,0.0
2021-05-29,Fujian_fu-tian-shi,0.0,0.0
2021-05-30,Fujian_fu-tian-shi,0.0,0.0
2021-05-31,Fujian_fu-tian-shi,0.0,0.0
2021-06-01,Fujian_fu-tian-shi,0.0,0.0
2021-06-02,Fujian_fu-tian-shi,0.0,0.0
2021-06-03,Fujian_fu-tian-shi,0.0,0.0
2021-06-04,Fujian_fu-tian-shi,0.0,0.0
2021-06-05,Fujian_fu-tian-shi,0.0,0.0
2021-06-06,Fujian_fu-tian-shi,0.0,0.0
2021-06-07,Fujian_fu-tian-shi,0.0,0.0
2021-06-08,Fujian_fu-tian-shi,0.0,0.0
