date,city,cases
2/1/2022,Beijing_bei-jing-shi,2
2/2/2022,Beijing_bei-jing-shi,2
2/3/2022,Beijing_bei-jing-shi,1
2/4/2022,Beijing_bei-jing-shi,1
2/5/2022,Beijing_bei-jing-shi,1
2/6/2022,Beijing_bei-jing-shi,3
2/7/2022,Beijing_bei-jing-shi,0
2/8/2022,Beijing_bei-jing-shi,0
2/9/2022,Beijing_bei-jing-shi,0
2/10/2022,Beijing_bei-jing-shi,0
2/11/2022,Beijing_bei-jing-shi,0
2/12/2022,Beijing_bei-jing-shi,0
2/13/2022,Beijing_bei-jing-shi,0
2/14/2022,Beijing_bei-jing-shi,0
2/15/2022,Beijing_bei-jing-shi,0
2/16/2022,Beijing_bei-jing-shi,0
2/17/2022,Beijing_bei-jing-shi,0
2/18/2022,Beijing_bei-jing-shi,0
2/19/2022,Beijing_bei-jing-shi,0
2/20/2022,Beijing_bei-jing-shi,0
2/21/2022,Beijing_bei-jing-shi,4
2/22/2022,Beijing_bei-jing-shi,10
2/23/2022,Beijing_bei-jing-shi,2
2/24/2022,Beijing_bei-jing-shi,2
2/25/2022,Beijing_bei-jing-shi,1
2/26/2022,Beijing_bei-jing-shi,2
2/27/2022,Beijing_bei-jing-shi,0
2/28/2022,Beijing_bei-jing-shi,0
3/1/2022,Beijing_bei-jing-shi,0
3/2/2022,Beijing_bei-jing-shi,0
3/3/2022,Beijing_bei-jing-shi,0
3/4/2022,Beijing_bei-jing-shi,0
3/5/2022,Beijing_bei-jing-shi,0
3/6/2022,Beijing_bei-jing-shi,0
3/7/2022,Beijing_bei-jing-shi,1
3/8/2022,Beijing_bei-jing-shi,6
3/9/2022,Beijing_bei-jing-shi,5
3/10/2022,Beijing_bei-jing-shi,7
3/11/2022,Beijing_bei-jing-shi,1
3/12/2022,Beijing_bei-jing-shi,7
3/13/2022,Beijing_bei-jing-shi,8
3/14/2022,Beijing_bei-jing-shi,6
3/15/2022,Beijing_bei-jing-shi,10
3/16/2022,Beijing_bei-jing-shi,4
3/17/2022,Beijing_bei-jing-shi,8
3/18/2022,Beijing_bei-jing-shi,1
3/19/2022,Beijing_bei-jing-shi,1
3/20/2022,Beijing_bei-jing-shi,4
3/21/2022,Beijing_bei-jing-shi,6
3/22/2022,Beijing_bei-jing-shi,4
3/23/2022,Beijing_bei-jing-shi,4
3/24/2022,Beijing_bei-jing-shi,0
3/25/2022,Beijing_bei-jing-shi,2
3/26/2022,Beijing_bei-jing-shi,1
3/27/2022,Beijing_bei-jing-shi,0
3/28/2022,Beijing_bei-jing-shi,0
3/29/2022,Beijing_bei-jing-shi,2
3/30/2022,Beijing_bei-jing-shi,0
3/31/2022,Beijing_bei-jing-shi,0
4/1/2022,Beijing_bei-jing-shi,0
4/2/2022,Beijing_bei-jing-shi,0
4/3/2022,Beijing_bei-jing-shi,1
4/4/2022,Beijing_bei-jing-shi,9
4/5/2022,Beijing_bei-jing-shi,5
4/6/2022,Beijing_bei-jing-shi,4
4/7/2022,Beijing_bei-jing-shi,10
4/8/2022,Beijing_bei-jing-shi,6
4/9/2022,Beijing_bei-jing-shi,3
4/10/2022,Beijing_bei-jing-shi,0
4/11/2022,Beijing_bei-jing-shi,4
4/12/2022,Beijing_bei-jing-shi,0
4/13/2022,Beijing_bei-jing-shi,1
4/14/2022,Beijing_bei-jing-shi,2
4/15/2022,Beijing_bei-jing-shi,0
4/16/2022,Beijing_bei-jing-shi,0
4/17/2022,Beijing_bei-jing-shi,3
4/18/2022,Beijing_bei-jing-shi,2
4/19/2022,Beijing_bei-jing-shi,2
4/20/2022,Beijing_bei-jing-shi,1
4/21/2022,Beijing_bei-jing-shi,1
4/22/2022,Beijing_bei-jing-shi,6
4/23/2022,Beijing_bei-jing-shi,22
4/24/2022,Beijing_bei-jing-shi,19
4/25/2022,Beijing_bei-jing-shi,33
4/26/2022,Beijing_bei-jing-shi,34
4/27/2022,Beijing_bei-jing-shi,50
4/28/2022,Beijing_bei-jing-shi,49
4/29/2022,Beijing_bei-jing-shi,54
4/30/2022,Beijing_bei-jing-shi,59
5/1/2022,Beijing_bei-jing-shi,41
5/2/2022,Beijing_bei-jing-shi,62
5/3/2022,Beijing_bei-jing-shi,51
5/4/2022,Beijing_bei-jing-shi,50
5/5/2022,Beijing_bei-jing-shi,72
5/6/2022,Beijing_bei-jing-shi,53
5/7/2022,Beijing_bei-jing-shi,62
5/8/2022,Beijing_bei-jing-shi,49
5/9/2022,Beijing_bei-jing-shi,74
5/10/2022,Beijing_bei-jing-shi,37
5/11/2022,Beijing_bei-jing-shi,46
5/12/2022,Beijing_bei-jing-shi,50
5/13/2022,Beijing_bei-jing-shi,56
5/14/2022,Beijing_bei-jing-shi,41
5/15/2022,Beijing_bei-jing-shi,54
5/16/2022,Beijing_bei-jing-shi,52
5/17/2022,Beijing_bei-jing-shi,69
5/18/2022,Beijing_bei-jing-shi,55
5/19/2022,Beijing_bei-jing-shi,62
5/20/2022,Beijing_bei-jing-shi,70
5/21/2022,Beijing_bei-jing-shi,61
5/22/2022,Beijing_bei-jing-shi,99
5/23/2022,Beijing_bei-jing-shi,48
5/24/2022,Beijing_bei-jing-shi,47
5/25/2022,Beijing_bei-jing-shi,45
5/26/2022,Beijing_bei-jing-shi,29
5/27/2022,Beijing_bei-jing-shi,24
5/28/2022,Beijing_bei-jing-shi,21
5/29/2022,Beijing_bei-jing-shi,12
5/30/2022,Beijing_bei-jing-shi,18
5/31/2022,Beijing_bei-jing-shi,15
6/1/2022,Beijing_bei-jing-shi,14
6/2/2022,Beijing_bei-jing-shi,15
6/3/2022,Beijing_bei-jing-shi,6
6/4/2022,Beijing_bei-jing-shi,19
6/5/2022,Beijing_bei-jing-shi,6
6/6/2022,Beijing_bei-jing-shi,2
6/7/2022,Beijing_bei-jing-shi,8
6/8/2022,Beijing_bei-jing-shi,1
6/9/2022,Beijing_bei-jing-shi,8
6/10/2022,Beijing_bei-jing-shi,61
6/11/2022,Beijing_bei-jing-shi,65
6/12/2022,Beijing_bei-jing-shi,51
6/13/2022,Beijing_bei-jing-shi,74
6/14/2022,Beijing_bei-jing-shi,63
6/15/2022,Beijing_bei-jing-shi,18
6/16/2022,Beijing_bei-jing-shi,22
6/17/2022,Beijing_bei-jing-shi,9
6/18/2022,Beijing_bei-jing-shi,1
6/19/2022,Beijing_bei-jing-shi,5
6/20/2022,Beijing_bei-jing-shi,5
6/21/2022,Beijing_bei-jing-shi,6
6/22/2022,Beijing_bei-jing-shi,3
6/23/2022,Beijing_bei-jing-shi,3
6/24/2022,Beijing_bei-jing-shi,2
6/25/2022,Beijing_bei-jing-shi,1
6/26/2022,Beijing_bei-jing-shi,4
6/27/2022,Beijing_bei-jing-shi,0
6/28/2022,Beijing_bei-jing-shi,1
6/29/2022,Beijing_bei-jing-shi,1
6/30/2022,Beijing_bei-jing-shi,0
