date,city,cases
2022-02-01,Fujian_fu-tian-shi,0.0
2022-02-02,Fujian_fu-tian-shi,0.0
2022-02-03,Fujian_fu-tian-shi,0.0
2022-02-04,Fujian_fu-tian-shi,0.0
2022-02-05,Fujian_fu-tian-shi,0.0
2022-02-06,Fujian_fu-tian-shi,0.0
2022-02-07,Fujian_fu-tian-shi,0.0
2022-02-08,Fujian_fu-tian-shi,0.0
2022-02-09,Fujian_fu-tian-shi,0.0
2022-02-10,Fujian_fu-tian-shi,0.0
2022-02-11,Fujian_fu-tian-shi,0.0
2022-02-12,Fujian_fu-tian-shi,0.0
2022-02-13,Fujian_fu-tian-shi,0.0
2022-02-14,Fujian_fu-tian-shi,0.0
2022-02-15,Fujian_fu-tian-shi,0.0
2022-02-16,Fujian_fu-tian-shi,0.0
2022-02-17,Fujian_fu-tian-shi,0.0
2022-02-18,Fujian_fu-tian-shi,0.0
2022-02-19,Fujian_fu-tian-shi,0.0
2022-02-20,Fujian_fu-tian-shi,0.0
2022-02-21,Fujian_fu-tian-shi,0.0
2022-02-22,Fujian_fu-tian-shi,0.0
2022-02-23,Fujian_fu-tian-shi,0.0
2022-02-24,Fujian_fu-tian-shi,0.0
2022-02-25,Fujian_fu-tian-shi,0.0
2022-02-26,Fujian_fu-tian-shi,0.0
2022-02-27,Fujian_fu-tian-shi,0.0
2022-02-28,Fujian_fu-tian-shi,0.0
2022-03-01,Fujian_fu-tian-shi,0.0
2022-03-02,Fujian_fu-tian-shi,0.0
2022-03-03,Fujian_fu-tian-shi,0.0
2022-03-04,Fujian_fu-tian-shi,0.0
2022-03-05,Fujian_fu-tian-shi,0.0
2022-03-06,Fujian_fu-tian-shi,0.0
2022-03-07,Fujian_fu-tian-shi,0.0
2022-03-08,Fujian_fu-tian-shi,0.0
2022-03-09,Fujian_fu-tian-shi,0.0
2022-03-10,Fujian_fu-tian-shi,0.0
2022-03-11,Fujian_fu-tian-shi,0.0
2022-03-12,Fujian_fu-tian-shi,0.0
2022-03-13,Fujian_fu-tian-shi,0.0
2022-03-14,Fujian_fu-tian-shi,0.0
2022-03-15,Fujian_fu-tian-shi,0.0
2022-03-16,Fujian_fu-tian-shi,0.0
2022-03-17,Fujian_fu-tian-shi,1.0
2022-03-18,Fujian_fu-tian-shi,2.0
2022-03-19,Fujian_fu-tian-shi,13.0
2022-03-20,Fujian_fu-tian-shi,22.0
2022-03-21,Fujian_fu-tian-shi,18.0
2022-03-22,Fujian_fu-tian-shi,10.0
2022-03-23,Fujian_fu-tian-shi,6.0
2022-03-24,Fujian_fu-tian-shi,0.0
2022-03-25,Fujian_fu-tian-shi,0.0
2022-03-26,Fujian_fu-tian-shi,0.0
2022-03-27,Fujian_fu-tian-shi,0.0
2022-03-28,Fujian_fu-tian-shi,0.0
2022-03-29,Fujian_fu-tian-shi,2.0
2022-03-30,Fujian_fu-tian-shi,3.0
2022-03-31,Fujian_fu-tian-shi,1.0
2022-04-01,Fujian_fu-tian-shi,0.0
2022-04-02,Fujian_fu-tian-shi,1.0
2022-04-03,Fujian_fu-tian-shi,0.0
2022-04-04,Fujian_fu-tian-shi,0.0
2022-04-05,Fujian_fu-tian-shi,0.0
2022-04-06,Fujian_fu-tian-shi,0.0
2022-04-07,Fujian_fu-tian-shi,0.0
2022-04-08,Fujian_fu-tian-shi,0.0
2022-04-09,Fujian_fu-tian-shi,0.0
2022-04-10,Fujian_fu-tian-shi,0.0
2022-04-11,Fujian_fu-tian-shi,0.0
2022-04-12,Fujian_fu-tian-shi,0.0
2022-04-13,Fujian_fu-tian-shi,0.0
2022-04-14,Fujian_fu-tian-shi,0.0
2022-04-15,Fujian_fu-tian-shi,0.0
2022-04-16,Fujian_fu-tian-shi,0.0
2022-04-17,Fujian_fu-tian-shi,0.0
2022-04-18,Fujian_fu-tian-shi,0.0
2022-04-19,Fujian_fu-tian-shi,0.0
2022-04-20,Fujian_fu-tian-shi,0.0
2022-04-21,Fujian_fu-tian-shi,0.0
2022-04-22,Fujian_fu-tian-shi,0.0
2022-04-23,Fujian_fu-tian-shi,0.0
2022-04-24,Fujian_fu-tian-shi,0.0
2022-04-25,Fujian_fu-tian-shi,0.0
2022-04-26,Fujian_fu-tian-shi,0.0
2022-04-27,Fujian_fu-tian-shi,0.0
2022-04-28,Fujian_fu-tian-shi,0.0
2022-04-29,Fujian_fu-tian-shi,0.0
2022-04-30,Fujian_fu-tian-shi,0.0
2022-05-01,Fujian_fu-tian-shi,0.0
2022-05-02,Fujian_fu-tian-shi,0.0
2022-05-03,Fujian_fu-tian-shi,0.0
2022-05-04,Fujian_fu-tian-shi,0.0
2022-05-05,Fujian_fu-tian-shi,0.0
2022-05-06,Fujian_fu-tian-shi,0.0
2022-05-07,Fujian_fu-tian-shi,0.0
2022-05-08,Fujian_fu-tian-shi,0.0
2022-05-09,Fujian_fu-tian-shi,0.0
2022-05-10,Fujian_fu-tian-shi,0.0
2022-05-11,Fujian_fu-tian-shi,0.0
2022-05-12,Fujian_fu-tian-shi,0.0
2022-05-13,Fujian_fu-tian-shi,0.0
2022-05-14,Fujian_fu-tian-shi,0.0
2022-05-15,Fujian_fu-tian-shi,0.0
2022-05-16,Fujian_fu-tian-shi,0.0
2022-05-17,Fujian_fu-tian-shi,0.0
2022-05-18,Fujian_fu-tian-shi,0.0
2022-05-19,Fujian_fu-tian-shi,0.0
2022-05-20,Fujian_fu-tian-shi,0.0
2022-05-21,Fujian_fu-tian-shi,0.0
2022-05-22,Fujian_fu-tian-shi,0.0
2022-05-23,Fujian_fu-tian-shi,0.0
