date,city,cases
2022-02-01,Guangdong_dong-guan-shi,0.0
2022-02-02,Guangdong_dong-guan-shi,0.0
2022-02-03,Guangdong_dong-guan-shi,0.0
2022-02-04,Guangdong_dong-guan-shi,0.0
2022-02-05,Guangdong_dong-guan-shi,0.0
2022-02-06,Guangdong_dong-guan-shi,0.0
2022-02-07,Guangdong_dong-guan-shi,0.0
2022-02-08,Guangdong_dong-guan-shi,0.0
2022-02-09,Guangdong_dong-guan-shi,0.0
2022-02-10,Guangdong_dong-guan-shi,0.0
2022-02-11,Guangdong_dong-guan-shi,0.0
2022-02-12,Guangdong_dong-guan-shi,0.0
2022-02-13,Guangdong_dong-guan-shi,1.0
2022-02-14,Guangdong_dong-guan-shi,0.0
2022-02-15,Guangdong_dong-guan-shi,0.0
2022-02-16,Guangdong_dong-guan-shi,0.0
2022-02-17,Guangdong_dong-guan-shi,1.0
2022-02-18,Guangdong_dong-guan-shi,0.0
2022-02-19,Guangdong_dong-guan-shi,0.0
2022-02-20,Guangdong_dong-guan-shi,0.0
2022-02-21,Guangdong_dong-guan-shi,0.0
2022-02-22,Guangdong_dong-guan-shi,0.0
2022-02-23,Guangdong_dong-guan-shi,0.0
2022-02-24,Guangdong_dong-guan-shi,0.0
2022-02-25,Guangdong_dong-guan-shi,19.0
2022-02-26,Guangdong_dong-guan-shi,23.0
2022-02-27,Guangdong_dong-guan-shi,28.0
2022-02-28,Guangdong_dong-guan-shi,27.0
2022-03-01,Guangdong_dong-guan-shi,19.0
2022-03-02,Guangdong_dong-guan-shi,8.0
2022-03-03,Guangdong_dong-guan-shi,5.0
2022-03-04,Guangdong_dong-guan-shi,42.0
2022-03-05,Guangdong_dong-guan-shi,35.0
2022-03-06,Guangdong_dong-guan-shi,153.0
2022-03-07,Guangdong_dong-guan-shi,104.0
2022-03-08,Guangdong_dong-guan-shi,21.0
2022-03-09,Guangdong_dong-guan-shi,6.0
2022-03-10,Guangdong_dong-guan-shi,166.0
2022-03-11,Guangdong_dong-guan-shi,192.0
2022-03-12,Guangdong_dong-guan-shi,190.0
2022-03-13,Guangdong_dong-guan-shi,142.0
2022-03-14,Guangdong_dong-guan-shi,55.0
2022-03-15,Guangdong_dong-guan-shi,17.0
2022-03-16,Guangdong_dong-guan-shi,52.0
2022-03-17,Guangdong_dong-guan-shi,29.0
2022-03-18,Guangdong_dong-guan-shi,14.0
2022-03-19,Guangdong_dong-guan-shi,8.0
2022-03-20,Guangdong_dong-guan-shi,5.0
2022-03-21,Guangdong_dong-guan-shi,0.0
2022-03-22,Guangdong_dong-guan-shi,8.0
2022-03-23,Guangdong_dong-guan-shi,4.0
2022-03-24,Guangdong_dong-guan-shi,7.0
2022-03-25,Guangdong_dong-guan-shi,2.0
2022-03-26,Guangdong_dong-guan-shi,3.0
2022-03-27,Guangdong_dong-guan-shi,4.0
2022-03-28,Guangdong_dong-guan-shi,5.0
2022-03-29,Guangdong_dong-guan-shi,2.0
2022-03-30,Guangdong_dong-guan-shi,8.0
2022-03-31,Guangdong_dong-guan-shi,9.0
2022-04-01,Guangdong_dong-guan-shi,6.0
2022-04-02,Guangdong_dong-guan-shi,5.0
2022-04-03,Guangdong_dong-guan-shi,4.0
2022-04-04,Guangdong_dong-guan-shi,1.0
2022-04-05,Guangdong_dong-guan-shi,1.0
2022-04-06,Guangdong_dong-guan-shi,0.0
2022-04-07,Guangdong_dong-guan-shi,0.0
2022-04-08,Guangdong_dong-guan-shi,0.0
2022-04-09,Guangdong_dong-guan-shi,0.0
2022-04-10,Guangdong_dong-guan-shi,0.0
2022-04-11,Guangdong_dong-guan-shi,0.0
2022-04-12,Guangdong_dong-guan-shi,1.0
2022-04-13,Guangdong_dong-guan-shi,0.0
2022-04-14,Guangdong_dong-guan-shi,1.0
2022-04-15,Guangdong_dong-guan-shi,0.0
2022-04-16,Guangdong_dong-guan-shi,3.0
2022-04-17,Guangdong_dong-guan-shi,0.0
2022-04-18,Guangdong_dong-guan-shi,0.0
2022-04-19,Guangdong_dong-guan-shi,0.0
2022-04-20,Guangdong_dong-guan-shi,0.0
2022-04-21,Guangdong_dong-guan-shi,0.0
2022-04-22,Guangdong_dong-guan-shi,0.0
2022-04-23,Guangdong_dong-guan-shi,0.0
2022-04-24,Guangdong_dong-guan-shi,0.0
2022-04-25,Guangdong_dong-guan-shi,0.0
2022-04-26,Guangdong_dong-guan-shi,0.0
2022-04-27,Guangdong_dong-guan-shi,0.0
2022-04-28,Guangdong_dong-guan-shi,0.0
2022-04-29,Guangdong_dong-guan-shi,0.0
2022-04-30,Guangdong_dong-guan-shi,1.0
2022-05-01,Guangdong_dong-guan-shi,0.0
2022-05-02,Guangdong_dong-guan-shi,0.0
2022-05-03,Guangdong_dong-guan-shi,0.0
2022-05-04,Guangdong_dong-guan-shi,0.0
2022-05-05,Guangdong_dong-guan-shi,0.0
2022-05-06,Guangdong_dong-guan-shi,0.0
2022-05-07,Guangdong_dong-guan-shi,0.0
2022-05-08,Guangdong_dong-guan-shi,0.0
2022-05-09,Guangdong_dong-guan-shi,0.0
2022-05-10,Guangdong_dong-guan-shi,0.0
2022-05-11,Guangdong_dong-guan-shi,0.0
2022-05-12,Guangdong_dong-guan-shi,0.0
2022-05-13,Guangdong_dong-guan-shi,0.0
2022-05-14,Guangdong_dong-guan-shi,0.0
2022-05-15,Guangdong_dong-guan-shi,0.0
2022-05-16,Guangdong_dong-guan-shi,0.0
2022-05-17,Guangdong_dong-guan-shi,0.0
2022-05-18,Guangdong_dong-guan-shi,0.0
2022-05-19,Guangdong_dong-guan-shi,0.0
2022-05-20,Guangdong_dong-guan-shi,1.0
2022-05-21,Guangdong_dong-guan-shi,0.0
2022-05-22,Guangdong_dong-guan-shi,0.0
2022-05-23,Guangdong_dong-guan-shi,0.0
2022-05-24,Guangdong_dong-guan-shi,0.0
2022-05-25,Guangdong_dong-guan-shi,0.0
2022-05-26,Guangdong_dong-guan-shi,0.0
2022-05-27,Guangdong_dong-guan-shi,0.0
2022-05-28,Guangdong_dong-guan-shi,0.0
2022-05-29,Guangdong_dong-guan-shi,0.0
2022-05-30,Guangdong_dong-guan-shi,0.0
2022-05-31,Guangdong_dong-guan-shi,0.0
2022-06-01,Guangdong_dong-guan-shi,0.0
2022-06-02,Guangdong_dong-guan-shi,0.0
2022-06-03,Guangdong_dong-guan-shi,0.0
2022-06-04,Guangdong_dong-guan-shi,0.0
2022-06-05,Guangdong_dong-guan-shi,0.0
2022-06-06,Guangdong_dong-guan-shi,0.0
2022-06-07,Guangdong_dong-guan-shi,0.0
2022-06-08,Guangdong_dong-guan-shi,0.0
2022-06-09,Guangdong_dong-guan-shi,0.0
2022-06-10,Guangdong_dong-guan-shi,0.0
2022-06-11,Guangdong_dong-guan-shi,0.0
2022-06-12,Guangdong_dong-guan-shi,0.0
2022-06-13,Guangdong_dong-guan-shi,0.0
2022-06-14,Guangdong_dong-guan-shi,0.0
2022-06-15,Guangdong_dong-guan-shi,0.0
2022-06-16,Guangdong_dong-guan-shi,0.0
2022-06-17,Guangdong_dong-guan-shi,0.0
2022-06-18,Guangdong_dong-guan-shi,0.0
2022-06-19,Guangdong_dong-guan-shi,0.0
2022-06-20,Guangdong_dong-guan-shi,0.0
2022-06-21,Guangdong_dong-guan-shi,0.0
2022-06-22,Guangdong_dong-guan-shi,0.0
2022-06-23,Guangdong_dong-guan-shi,0.0
2022-06-24,Guangdong_dong-guan-shi,0.0
2022-06-25,Guangdong_dong-guan-shi,0.0
2022-06-26,Guangdong_dong-guan-shi,0.0
2022-06-27,Guangdong_dong-guan-shi,0.0
2022-06-28,Guangdong_dong-guan-shi,0.0
2022-06-29,Guangdong_dong-guan-shi,0.0
2022-06-30,Guangdong_dong-guan-shi,0.0
