date,city,cases
2022-02-01,Guangxi_fang-cheng-gang-shi,0.0
2022-02-02,Guangxi_fang-cheng-gang-shi,0.0
2022-02-03,Guangxi_fang-cheng-gang-shi,0.0
2022-02-04,Guangxi_fang-cheng-gang-shi,0.0
2022-02-05,Guangxi_fang-cheng-gang-shi,0.0
2022-02-06,Guangxi_fang-cheng-gang-shi,0.0
2022-02-07,Guangxi_fang-cheng-gang-shi,0.0
2022-02-08,Guangxi_fang-cheng-gang-shi,0.0
2022-02-09,Guangxi_fang-cheng-gang-shi,0.0
2022-02-10,Guangxi_fang-cheng-gang-shi,0.0
2022-02-11,Guangxi_fang-cheng-gang-shi,0.0
2022-02-12,Guangxi_fang-cheng-gang-shi,0.0
2022-02-13,Guangxi_fang-cheng-gang-shi,0.0
2022-02-14,Guangxi_fang-cheng-gang-shi,0.0
2022-02-15,Guangxi_fang-cheng-gang-shi,0.0
2022-02-16,Guangxi_fang-cheng-gang-shi,0.0
2022-02-17,Guangxi_fang-cheng-gang-shi,0.0
2022-02-18,Guangxi_fang-cheng-gang-shi,0.0
2022-02-19,Guangxi_fang-cheng-gang-shi,0.0
2022-02-20,Guangxi_fang-cheng-gang-shi,0.0
2022-02-21,Guangxi_fang-cheng-gang-shi,0.0
2022-02-22,Guangxi_fang-cheng-gang-shi,0.0
2022-02-23,Guangxi_fang-cheng-gang-shi,3.0
2022-02-24,Guangxi_fang-cheng-gang-shi,4.0
2022-02-25,Guangxi_fang-cheng-gang-shi,9.0
2022-02-26,Guangxi_fang-cheng-gang-shi,7.0
2022-02-27,Guangxi_fang-cheng-gang-shi,1.0
2022-02-28,Guangxi_fang-cheng-gang-shi,6.0
2022-03-01,Guangxi_fang-cheng-gang-shi,10.0
2022-03-02,Guangxi_fang-cheng-gang-shi,8.0
2022-03-03,Guangxi_fang-cheng-gang-shi,8.0
2022-03-04,Guangxi_fang-cheng-gang-shi,6.0
2022-03-05,Guangxi_fang-cheng-gang-shi,6.0
2022-03-06,Guangxi_fang-cheng-gang-shi,3.0
2022-03-07,Guangxi_fang-cheng-gang-shi,2.0
2022-03-08,Guangxi_fang-cheng-gang-shi,2.0
2022-03-09,Guangxi_fang-cheng-gang-shi,1.0
2022-03-10,Guangxi_fang-cheng-gang-shi,5.0
2022-03-11,Guangxi_fang-cheng-gang-shi,3.0
2022-03-12,Guangxi_fang-cheng-gang-shi,2.0
2022-03-13,Guangxi_fang-cheng-gang-shi,3.0
2022-03-14,Guangxi_fang-cheng-gang-shi,3.0
