date,city,cases
2022-02-01,Hainan_san-ya-shi,0.0
2022-02-02,Hainan_san-ya-shi,0.0
2022-02-03,Hainan_san-ya-shi,0.0
2022-02-04,Hainan_san-ya-shi,0.0
2022-02-05,Hainan_san-ya-shi,0.0
2022-02-06,Hainan_san-ya-shi,0.0
2022-02-07,Hainan_san-ya-shi,0.0
2022-02-08,Hainan_san-ya-shi,0.0
2022-02-09,Hainan_san-ya-shi,0.0
2022-02-10,Hainan_san-ya-shi,0.0
2022-02-11,Hainan_san-ya-shi,0.0
2022-02-12,Hainan_san-ya-shi,0.0
2022-02-13,Hainan_san-ya-shi,0.0
2022-02-14,Hainan_san-ya-shi,0.0
2022-02-15,Hainan_san-ya-shi,0.0
2022-02-16,Hainan_san-ya-shi,0.0
2022-02-17,Hainan_san-ya-shi,0.0
2022-02-18,Hainan_san-ya-shi,0.0
2022-02-19,Hainan_san-ya-shi,0.0
2022-02-20,Hainan_san-ya-shi,0.0
2022-02-21,Hainan_san-ya-shi,0.0
2022-02-22,Hainan_san-ya-shi,0.0
2022-02-23,Hainan_san-ya-shi,0.0
2022-02-24,Hainan_san-ya-shi,0.0
2022-02-25,Hainan_san-ya-shi,0.0
2022-02-26,Hainan_san-ya-shi,0.0
2022-02-27,Hainan_san-ya-shi,0.0
2022-02-28,Hainan_san-ya-shi,1.0
2022-03-01,Hainan_san-ya-shi,0.0
2022-03-02,Hainan_san-ya-shi,1.0
2022-03-03,Hainan_san-ya-shi,1.0
2022-03-04,Hainan_san-ya-shi,2.0
2022-03-05,Hainan_san-ya-shi,1.0
2022-03-06,Hainan_san-ya-shi,0.0
2022-03-07,Hainan_san-ya-shi,0.0
2022-03-08,Hainan_san-ya-shi,0.0
2022-03-09,Hainan_san-ya-shi,0.0
2022-03-10,Hainan_san-ya-shi,0.0
2022-03-11,Hainan_san-ya-shi,1.0
2022-03-12,Hainan_san-ya-shi,0.0
2022-03-13,Hainan_san-ya-shi,0.0
2022-03-14,Hainan_san-ya-shi,0.0
2022-03-15,Hainan_san-ya-shi,0.0
2022-03-16,Hainan_san-ya-shi,0.0
2022-03-17,Hainan_san-ya-shi,0.0
2022-03-18,Hainan_san-ya-shi,0.0
2022-03-19,Hainan_san-ya-shi,0.0
2022-03-20,Hainan_san-ya-shi,1.0
2022-03-21,Hainan_san-ya-shi,0.0
2022-03-22,Hainan_san-ya-shi,0.0
2022-03-23,Hainan_san-ya-shi,0.0
2022-03-24,Hainan_san-ya-shi,0.0
2022-03-25,Hainan_san-ya-shi,0.0
2022-03-26,Hainan_san-ya-shi,0.0
2022-03-27,Hainan_san-ya-shi,0.0
2022-03-28,Hainan_san-ya-shi,0.0
2022-03-29,Hainan_san-ya-shi,0.0
2022-03-30,Hainan_san-ya-shi,0.0
2022-03-31,Hainan_san-ya-shi,2.0
2022-04-01,Hainan_san-ya-shi,5.0
2022-04-02,Hainan_san-ya-shi,7.0
2022-04-03,Hainan_san-ya-shi,22.0
2022-04-04,Hainan_san-ya-shi,0.0
2022-04-05,Hainan_san-ya-shi,31.0
2022-04-06,Hainan_san-ya-shi,10.0
2022-04-07,Hainan_san-ya-shi,5.0
2022-04-08,Hainan_san-ya-shi,4.0
2022-04-09,Hainan_san-ya-shi,9.0
2022-04-10,Hainan_san-ya-shi,7.0
