date,city,cases
2022-02-01,Hebei_lang-fang-shi,0.0
2022-02-02,Hebei_lang-fang-shi,0.0
2022-02-03,Hebei_lang-fang-shi,0.0
2022-02-04,Hebei_lang-fang-shi,0.0
2022-02-05,Hebei_lang-fang-shi,2.0
2022-02-06,Hebei_lang-fang-shi,0.0
2022-02-07,Hebei_lang-fang-shi,0.0
2022-02-08,Hebei_lang-fang-shi,0.0
2022-02-09,Hebei_lang-fang-shi,0.0
2022-02-10,Hebei_lang-fang-shi,0.0
2022-02-11,Hebei_lang-fang-shi,0.0
2022-02-12,Hebei_lang-fang-shi,0.0
2022-02-13,Hebei_lang-fang-shi,0.0
2022-02-14,Hebei_lang-fang-shi,0.0
2022-02-15,Hebei_lang-fang-shi,0.0
2022-02-16,Hebei_lang-fang-shi,0.0
2022-02-17,Hebei_lang-fang-shi,0.0
2022-02-18,Hebei_lang-fang-shi,0.0
2022-02-19,Hebei_lang-fang-shi,0.0
2022-02-20,Hebei_lang-fang-shi,0.0
2022-02-21,Hebei_lang-fang-shi,0.0
2022-02-22,Hebei_lang-fang-shi,0.0
2022-02-23,Hebei_lang-fang-shi,0.0
2022-02-24,Hebei_lang-fang-shi,0.0
2022-02-25,Hebei_lang-fang-shi,0.0
2022-02-26,Hebei_lang-fang-shi,0.0
2022-02-27,Hebei_lang-fang-shi,0.0
2022-02-28,Hebei_lang-fang-shi,0.0
2022-03-01,Hebei_lang-fang-shi,0.0
2022-03-02,Hebei_lang-fang-shi,0.0
2022-03-03,Hebei_lang-fang-shi,0.0
2022-03-04,Hebei_lang-fang-shi,0.0
2022-03-05,Hebei_lang-fang-shi,0.0
2022-03-06,Hebei_lang-fang-shi,0.0
2022-03-07,Hebei_lang-fang-shi,0.0
2022-03-08,Hebei_lang-fang-shi,0.0
2022-03-09,Hebei_lang-fang-shi,3.0
2022-03-10,Hebei_lang-fang-shi,17.0
2022-03-11,Hebei_lang-fang-shi,26.0
2022-03-12,Hebei_lang-fang-shi,56.0
2022-03-13,Hebei_lang-fang-shi,175.0
2022-03-14,Hebei_lang-fang-shi,174.0
2022-03-15,Hebei_lang-fang-shi,257.0
2022-03-16,Hebei_lang-fang-shi,181.0
2022-03-17,Hebei_lang-fang-shi,209.0
2022-03-18,Hebei_lang-fang-shi,262.0
2022-03-19,Hebei_lang-fang-shi,546.0
2022-03-20,Hebei_lang-fang-shi,399.0
2022-03-21,Hebei_lang-fang-shi,176.0
2022-03-22,Hebei_lang-fang-shi,154.0
2022-03-23,Hebei_lang-fang-shi,149.0
2022-03-24,Hebei_lang-fang-shi,252.0
2022-03-25,Hebei_lang-fang-shi,143.0
2022-03-26,Hebei_lang-fang-shi,77.0
2022-03-27,Hebei_lang-fang-shi,38.0
2022-03-28,Hebei_lang-fang-shi,39.0
2022-03-29,Hebei_lang-fang-shi,24.0
2022-03-30,Hebei_lang-fang-shi,30.0
2022-03-31,Hebei_lang-fang-shi,18.0
