date,city,cases
2022-02-01,Henan_zhou-kou-shi,0.0
2022-02-02,Henan_zhou-kou-shi,0.0
2022-02-03,Henan_zhou-kou-shi,0.0
2022-02-04,Henan_zhou-kou-shi,0.0
2022-02-05,Henan_zhou-kou-shi,0.0
2022-02-06,Henan_zhou-kou-shi,0.0
2022-02-07,Henan_zhou-kou-shi,0.0
2022-02-08,Henan_zhou-kou-shi,0.0
2022-02-09,Henan_zhou-kou-shi,0.0
2022-02-10,Henan_zhou-kou-shi,0.0
2022-02-11,Henan_zhou-kou-shi,0.0
2022-02-12,Henan_zhou-kou-shi,0.0
2022-02-13,Henan_zhou-kou-shi,0.0
2022-02-14,Henan_zhou-kou-shi,0.0
2022-02-15,Henan_zhou-kou-shi,0.0
2022-02-16,Henan_zhou-kou-shi,0.0
2022-02-17,Henan_zhou-kou-shi,0.0
2022-02-18,Henan_zhou-kou-shi,0.0
2022-02-19,Henan_zhou-kou-shi,0.0
2022-02-20,Henan_zhou-kou-shi,0.0
2022-02-21,Henan_zhou-kou-shi,0.0
2022-02-22,Henan_zhou-kou-shi,0.0
2022-02-23,Henan_zhou-kou-shi,0.0
2022-02-24,Henan_zhou-kou-shi,0.0
2022-02-25,Henan_zhou-kou-shi,0.0
2022-02-26,Henan_zhou-kou-shi,0.0
2022-02-27,Henan_zhou-kou-shi,0.0
2022-02-28,Henan_zhou-kou-shi,0.0
2022-03-01,Henan_zhou-kou-shi,0.0
2022-03-02,Henan_zhou-kou-shi,0.0
2022-03-03,Henan_zhou-kou-shi,0.0
2022-03-04,Henan_zhou-kou-shi,0.0
2022-03-05,Henan_zhou-kou-shi,0.0
2022-03-06,Henan_zhou-kou-shi,0.0
2022-03-07,Henan_zhou-kou-shi,0.0
2022-03-08,Henan_zhou-kou-shi,0.0
2022-03-09,Henan_zhou-kou-shi,0.0
2022-03-10,Henan_zhou-kou-shi,0.0
2022-03-11,Henan_zhou-kou-shi,0.0
2022-03-12,Henan_zhou-kou-shi,0.0
2022-03-13,Henan_zhou-kou-shi,0.0
2022-03-14,Henan_zhou-kou-shi,0.0
2022-03-15,Henan_zhou-kou-shi,0.0
2022-03-16,Henan_zhou-kou-shi,0.0
2022-03-17,Henan_zhou-kou-shi,0.0
2022-03-18,Henan_zhou-kou-shi,0.0
2022-03-19,Henan_zhou-kou-shi,0.0
2022-03-20,Henan_zhou-kou-shi,0.0
2022-03-21,Henan_zhou-kou-shi,0.0
2022-03-22,Henan_zhou-kou-shi,5.0
2022-03-23,Henan_zhou-kou-shi,6.0
2022-03-24,Henan_zhou-kou-shi,9.0
2022-03-25,Henan_zhou-kou-shi,4.0
2022-03-26,Henan_zhou-kou-shi,16.0
2022-03-27,Henan_zhou-kou-shi,9.0
2022-03-28,Henan_zhou-kou-shi,4.0
2022-03-29,Henan_zhou-kou-shi,27.0
2022-03-30,Henan_zhou-kou-shi,29.0
2022-03-31,Henan_zhou-kou-shi,8.0
2022-04-01,Henan_zhou-kou-shi,11.0
2022-04-02,Henan_zhou-kou-shi,16.0
2022-04-03,Henan_zhou-kou-shi,13.0
2022-04-04,Henan_zhou-kou-shi,22.0
2022-04-05,Henan_zhou-kou-shi,30.0
2022-04-06,Henan_zhou-kou-shi,17.0
2022-04-07,Henan_zhou-kou-shi,16.0
2022-04-08,Henan_zhou-kou-shi,8.0
2022-04-09,Henan_zhou-kou-shi,2.0
2022-04-10,Henan_zhou-kou-shi,0.0
