date,city,cases
2022-02-01,Hubei_wu-han-shi,0.0
2022-02-02,Hubei_wu-han-shi,0.0
2022-02-03,Hubei_wu-han-shi,0.0
2022-02-04,Hubei_wu-han-shi,0.0
2022-02-05,Hubei_wu-han-shi,0.0
2022-02-06,Hubei_wu-han-shi,0.0
2022-02-07,Hubei_wu-han-shi,0.0
2022-02-08,Hubei_wu-han-shi,0.0
2022-02-09,Hubei_wu-han-shi,0.0
2022-02-10,Hubei_wu-han-shi,0.0
2022-02-11,Hubei_wu-han-shi,0.0
2022-02-12,Hubei_wu-han-shi,0.0
2022-02-13,Hubei_wu-han-shi,0.0
2022-02-14,Hubei_wu-han-shi,0.0
2022-02-15,Hubei_wu-han-shi,0.0
2022-02-16,Hubei_wu-han-shi,0.0
2022-02-17,Hubei_wu-han-shi,0.0
2022-02-18,Hubei_wu-han-shi,0.0
2022-02-19,Hubei_wu-han-shi,0.0
2022-02-20,Hubei_wu-han-shi,0.0
2022-02-21,Hubei_wu-han-shi,4.0
2022-02-22,Hubei_wu-han-shi,10.0
2022-02-23,Hubei_wu-han-shi,11.0
2022-02-24,Hubei_wu-han-shi,2.0
2022-02-25,Hubei_wu-han-shi,0.0
2022-02-26,Hubei_wu-han-shi,0.0
2022-02-27,Hubei_wu-han-shi,5.0
2022-02-28,Hubei_wu-han-shi,3.0
2022-03-01,Hubei_wu-han-shi,0.0
2022-03-02,Hubei_wu-han-shi,4.0
2022-03-03,Hubei_wu-han-shi,4.0
2022-03-04,Hubei_wu-han-shi,2.0
2022-03-05,Hubei_wu-han-shi,1.0
2022-03-06,Hubei_wu-han-shi,2.0
2022-03-07,Hubei_wu-han-shi,0.0
2022-03-08,Hubei_wu-han-shi,0.0
2022-03-09,Hubei_wu-han-shi,0.0
2022-03-10,Hubei_wu-han-shi,0.0
2022-03-11,Hubei_wu-han-shi,0.0
2022-03-12,Hubei_wu-han-shi,0.0
2022-03-13,Hubei_wu-han-shi,0.0
2022-03-14,Hubei_wu-han-shi,0.0
2022-03-15,Hubei_wu-han-shi,0.0
2022-03-16,Hubei_wu-han-shi,0.0
2022-03-17,Hubei_wu-han-shi,0.0
2022-03-18,Hubei_wu-han-shi,0.0
2022-03-19,Hubei_wu-han-shi,0.0
2022-03-20,Hubei_wu-han-shi,0.0
2022-03-21,Hubei_wu-han-shi,0.0
2022-03-22,Hubei_wu-han-shi,0.0
2022-03-23,Hubei_wu-han-shi,0.0
2022-03-24,Hubei_wu-han-shi,0.0
2022-03-25,Hubei_wu-han-shi,0.0
2022-03-26,Hubei_wu-han-shi,0.0
2022-03-27,Hubei_wu-han-shi,0.0
2022-03-28,Hubei_wu-han-shi,0.0
2022-03-29,Hubei_wu-han-shi,0.0
2022-03-30,Hubei_wu-han-shi,0.0
2022-03-31,Hubei_wu-han-shi,0.0
2022-04-01,Hubei_wu-han-shi,2.0
2022-04-02,Hubei_wu-han-shi,1.0
2022-04-03,Hubei_wu-han-shi,1.0
2022-04-04,Hubei_wu-han-shi,3.0
2022-04-05,Hubei_wu-han-shi,1.0
2022-04-06,Hubei_wu-han-shi,1.0
2022-04-07,Hubei_wu-han-shi,3.0
2022-04-08,Hubei_wu-han-shi,2.0
2022-04-09,Hubei_wu-han-shi,10.0
2022-04-10,Hubei_wu-han-shi,12.0
2022-04-11,Hubei_wu-han-shi,12.0
2022-04-12,Hubei_wu-han-shi,7.0
2022-04-13,Hubei_wu-han-shi,22.0
2022-04-14,Hubei_wu-han-shi,14.0
2022-04-15,Hubei_wu-han-shi,28.0
2022-04-16,Hubei_wu-han-shi,7.0
2022-04-17,Hubei_wu-han-shi,5.0
2022-04-18,Hubei_wu-han-shi,5.0
2022-04-19,Hubei_wu-han-shi,0.0
2022-04-20,Hubei_wu-han-shi,0.0
2022-04-21,Hubei_wu-han-shi,0.0
2022-04-22,Hubei_wu-han-shi,2.0
2022-04-23,Hubei_wu-han-shi,3.0
2022-04-24,Hubei_wu-han-shi,2.0
2022-04-25,Hubei_wu-han-shi,3.0
2022-04-26,Hubei_wu-han-shi,0.0
2022-04-27,Hubei_wu-han-shi,0.0
2022-04-28,Hubei_wu-han-shi,0.0
2022-04-29,Hubei_wu-han-shi,0.0
2022-04-30,Hubei_wu-han-shi,0.0
2022-05-01,Hubei_wu-han-shi,0.0
2022-05-02,Hubei_wu-han-shi,0.0
2022-05-03,Hubei_wu-han-shi,0.0
2022-05-04,Hubei_wu-han-shi,1.0
2022-05-05,Hubei_wu-han-shi,0.0
2022-05-06,Hubei_wu-han-shi,0.0
2022-05-07,Hubei_wu-han-shi,0.0
2022-05-08,Hubei_wu-han-shi,0.0
2022-05-09,Hubei_wu-han-shi,0.0
2022-05-10,Hubei_wu-han-shi,0.0
2022-05-11,Hubei_wu-han-shi,0.0
2022-05-12,Hubei_wu-han-shi,0.0
2022-05-13,Hubei_wu-han-shi,0.0
2022-05-14,Hubei_wu-han-shi,0.0
2022-05-15,Hubei_wu-han-shi,0.0
2022-05-16,Hubei_wu-han-shi,0.0
2022-05-17,Hubei_wu-han-shi,0.0
2022-05-18,Hubei_wu-han-shi,0.0
2022-05-19,Hubei_wu-han-shi,0.0
2022-05-20,Hubei_wu-han-shi,0.0
2022-05-21,Hubei_wu-han-shi,0.0
2022-05-22,Hubei_wu-han-shi,0.0
2022-05-23,Hubei_wu-han-shi,0.0
2022-05-24,Hubei_wu-han-shi,0.0
2022-05-25,Hubei_wu-han-shi,0.0
2022-05-26,Hubei_wu-han-shi,0.0
2022-05-27,Hubei_wu-han-shi,0.0
2022-05-28,Hubei_wu-han-shi,1.0
2022-05-29,Hubei_wu-han-shi,0.0
2022-05-30,Hubei_wu-han-shi,0.0
2022-05-31,Hubei_wu-han-shi,0.0
2022-06-01,Hubei_wu-han-shi,0.0
2022-06-02,Hubei_wu-han-shi,0.0
2022-06-03,Hubei_wu-han-shi,0.0
2022-06-04,Hubei_wu-han-shi,0.0
2022-06-05,Hubei_wu-han-shi,0.0
2022-06-06,Hubei_wu-han-shi,0.0
2022-06-07,Hubei_wu-han-shi,0.0
2022-06-08,Hubei_wu-han-shi,0.0
2022-06-09,Hubei_wu-han-shi,0.0
2022-06-10,Hubei_wu-han-shi,0.0
2022-06-11,Hubei_wu-han-shi,0.0
2022-06-12,Hubei_wu-han-shi,0.0
