date,city,cases
2022-02-01,Jiangsu_xu-zhou-shi,0.0
2022-02-02,Jiangsu_xu-zhou-shi,0.0
2022-02-03,Jiangsu_xu-zhou-shi,0.0
2022-02-04,Jiangsu_xu-zhou-shi,0.0
2022-02-05,Jiangsu_xu-zhou-shi,0.0
2022-02-06,Jiangsu_xu-zhou-shi,0.0
2022-02-07,Jiangsu_xu-zhou-shi,0.0
2022-02-08,Jiangsu_xu-zhou-shi,0.0
2022-02-09,Jiangsu_xu-zhou-shi,0.0
2022-02-10,Jiangsu_xu-zhou-shi,0.0
2022-02-11,Jiangsu_xu-zhou-shi,0.0
2022-02-12,Jiangsu_xu-zhou-shi,0.0
2022-02-13,Jiangsu_xu-zhou-shi,0.0
2022-02-14,Jiangsu_xu-zhou-shi,0.0
2022-02-15,Jiangsu_xu-zhou-shi,0.0
2022-02-16,Jiangsu_xu-zhou-shi,0.0
2022-02-17,Jiangsu_xu-zhou-shi,0.0
2022-02-18,Jiangsu_xu-zhou-shi,0.0
2022-02-19,Jiangsu_xu-zhou-shi,0.0
2022-02-20,Jiangsu_xu-zhou-shi,0.0
2022-02-21,Jiangsu_xu-zhou-shi,0.0
2022-02-22,Jiangsu_xu-zhou-shi,0.0
2022-02-23,Jiangsu_xu-zhou-shi,0.0
2022-02-24,Jiangsu_xu-zhou-shi,0.0
2022-02-25,Jiangsu_xu-zhou-shi,0.0
2022-02-26,Jiangsu_xu-zhou-shi,0.0
2022-02-27,Jiangsu_xu-zhou-shi,0.0
2022-02-28,Jiangsu_xu-zhou-shi,0.0
2022-03-01,Jiangsu_xu-zhou-shi,0.0
2022-03-02,Jiangsu_xu-zhou-shi,0.0
2022-03-03,Jiangsu_xu-zhou-shi,1.0
2022-03-04,Jiangsu_xu-zhou-shi,0.0
2022-03-05,Jiangsu_xu-zhou-shi,0.0
2022-03-06,Jiangsu_xu-zhou-shi,0.0
2022-03-07,Jiangsu_xu-zhou-shi,0.0
2022-03-08,Jiangsu_xu-zhou-shi,0.0
2022-03-09,Jiangsu_xu-zhou-shi,0.0
2022-03-10,Jiangsu_xu-zhou-shi,0.0
2022-03-11,Jiangsu_xu-zhou-shi,0.0
2022-03-12,Jiangsu_xu-zhou-shi,0.0
2022-03-13,Jiangsu_xu-zhou-shi,0.0
2022-03-14,Jiangsu_xu-zhou-shi,0.0
2022-03-15,Jiangsu_xu-zhou-shi,0.0
2022-03-16,Jiangsu_xu-zhou-shi,0.0
2022-03-17,Jiangsu_xu-zhou-shi,0.0
2022-03-18,Jiangsu_xu-zhou-shi,0.0
2022-03-19,Jiangsu_xu-zhou-shi,0.0
2022-03-20,Jiangsu_xu-zhou-shi,0.0
2022-03-21,Jiangsu_xu-zhou-shi,0.0
2022-03-22,Jiangsu_xu-zhou-shi,0.0
2022-03-23,Jiangsu_xu-zhou-shi,0.0
2022-03-24,Jiangsu_xu-zhou-shi,0.0
2022-03-25,Jiangsu_xu-zhou-shi,0.0
2022-03-26,Jiangsu_xu-zhou-shi,1.0
2022-03-27,Jiangsu_xu-zhou-shi,2.0
2022-03-28,Jiangsu_xu-zhou-shi,5.0
2022-03-29,Jiangsu_xu-zhou-shi,10.0
2022-03-30,Jiangsu_xu-zhou-shi,10.0
2022-03-31,Jiangsu_xu-zhou-shi,7.0
2022-04-01,Jiangsu_xu-zhou-shi,21.0
2022-04-02,Jiangsu_xu-zhou-shi,2.0
2022-04-03,Jiangsu_xu-zhou-shi,4.0
2022-04-04,Jiangsu_xu-zhou-shi,8.0
2022-04-05,Jiangsu_xu-zhou-shi,4.0
2022-04-06,Jiangsu_xu-zhou-shi,3.0
2022-04-07,Jiangsu_xu-zhou-shi,9.0
2022-04-08,Jiangsu_xu-zhou-shi,5.0
2022-04-09,Jiangsu_xu-zhou-shi,3.0
2022-04-10,Jiangsu_xu-zhou-shi,2.0
2022-04-11,Jiangsu_xu-zhou-shi,1.0
2022-04-12,Jiangsu_xu-zhou-shi,0.0
2022-04-13,Jiangsu_xu-zhou-shi,0.0
2022-04-14,Jiangsu_xu-zhou-shi,0.0
2022-04-15,Jiangsu_xu-zhou-shi,0.0
2022-04-16,Jiangsu_xu-zhou-shi,27.0
2022-04-17,Jiangsu_xu-zhou-shi,29.0
2022-04-18,Jiangsu_xu-zhou-shi,94.0
2022-04-19,Jiangsu_xu-zhou-shi,66.0
2022-04-20,Jiangsu_xu-zhou-shi,92.0
2022-04-21,Jiangsu_xu-zhou-shi,90.0
2022-04-22,Jiangsu_xu-zhou-shi,89.0
2022-04-23,Jiangsu_xu-zhou-shi,84.0
2022-04-24,Jiangsu_xu-zhou-shi,66.0
2022-04-25,Jiangsu_xu-zhou-shi,74.0
2022-04-26,Jiangsu_xu-zhou-shi,53.0
2022-04-27,Jiangsu_xu-zhou-shi,38.0
2022-04-28,Jiangsu_xu-zhou-shi,29.0
2022-04-29,Jiangsu_xu-zhou-shi,8.0
2022-04-30,Jiangsu_xu-zhou-shi,0.0
2022-05-01,Jiangsu_xu-zhou-shi,4.0
2022-05-02,Jiangsu_xu-zhou-shi,2.0
2022-05-03,Jiangsu_xu-zhou-shi,0.0
2022-05-04,Jiangsu_xu-zhou-shi,0.0
2022-05-05,Jiangsu_xu-zhou-shi,0.0
2022-05-06,Jiangsu_xu-zhou-shi,0.0
2022-05-07,Jiangsu_xu-zhou-shi,0.0
2022-05-08,Jiangsu_xu-zhou-shi,0.0
2022-05-09,Jiangsu_xu-zhou-shi,0.0
2022-05-10,Jiangsu_xu-zhou-shi,0.0
2022-05-11,Jiangsu_xu-zhou-shi,0.0
2022-05-12,Jiangsu_xu-zhou-shi,0.0
2022-05-13,Jiangsu_xu-zhou-shi,0.0
2022-05-14,Jiangsu_xu-zhou-shi,0.0
2022-05-15,Jiangsu_xu-zhou-shi,1.0
2022-05-16,Jiangsu_xu-zhou-shi,1.0
2022-05-17,Jiangsu_xu-zhou-shi,1.0
2022-05-18,Jiangsu_xu-zhou-shi,0.0
2022-05-19,Jiangsu_xu-zhou-shi,0.0
2022-05-20,Jiangsu_xu-zhou-shi,0.0
