date,city,cases
2022-02-01,Jilin_ji-lin-shi,0.0
2022-02-02,Jilin_ji-lin-shi,0.0
2022-02-03,Jilin_ji-lin-shi,0.0
2022-02-04,Jilin_ji-lin-shi,0.0
2022-02-05,Jilin_ji-lin-shi,0.0
2022-02-06,Jilin_ji-lin-shi,0.0
2022-02-07,Jilin_ji-lin-shi,0.0
2022-02-08,Jilin_ji-lin-shi,0.0
2022-02-09,Jilin_ji-lin-shi,0.0
2022-02-10,Jilin_ji-lin-shi,0.0
2022-02-11,Jilin_ji-lin-shi,0.0
2022-02-12,Jilin_ji-lin-shi,0.0
2022-02-13,Jilin_ji-lin-shi,0.0
2022-02-14,Jilin_ji-lin-shi,0.0
2022-02-15,Jilin_ji-lin-shi,0.0
2022-02-16,Jilin_ji-lin-shi,0.0
2022-02-17,Jilin_ji-lin-shi,0.0
2022-02-18,Jilin_ji-lin-shi,0.0
2022-02-19,Jilin_ji-lin-shi,0.0
2022-02-20,Jilin_ji-lin-shi,0.0
2022-02-21,Jilin_ji-lin-shi,0.0
2022-02-22,Jilin_ji-lin-shi,0.0
2022-02-23,Jilin_ji-lin-shi,0.0
2022-02-24,Jilin_ji-lin-shi,0.0
2022-02-25,Jilin_ji-lin-shi,0.0
2022-02-26,Jilin_ji-lin-shi,0.0
2022-02-27,Jilin_ji-lin-shi,0.0
2022-02-28,Jilin_ji-lin-shi,0.0
2022-03-01,Jilin_ji-lin-shi,0.0
2022-03-02,Jilin_ji-lin-shi,0.0
2022-03-03,Jilin_ji-lin-shi,8.0
2022-03-04,Jilin_ji-lin-shi,32.0
2022-03-05,Jilin_ji-lin-shi,37.0
2022-03-06,Jilin_ji-lin-shi,47.0
2022-03-07,Jilin_ji-lin-shi,47.0
2022-03-08,Jilin_ji-lin-shi,138.0
2022-03-09,Jilin_ji-lin-shi,283.0
2022-03-10,Jilin_ji-lin-shi,216.0
2022-03-11,Jilin_ji-lin-shi,233.0
2022-03-12,Jilin_ji-lin-shi,1268.0
2022-03-13,Jilin_ji-lin-shi,573.0
2022-03-14,Jilin_ji-lin-shi,3580.0
2022-03-15,Jilin_ji-lin-shi,769.0
2022-03-16,Jilin_ji-lin-shi,855.0
2022-03-17,Jilin_ji-lin-shi,1984.0
2022-03-18,Jilin_ji-lin-shi,1432.0
2022-03-19,Jilin_ji-lin-shi,614.0
2022-03-20,Jilin_ji-lin-shi,997.0
2022-03-21,Jilin_ji-lin-shi,996.0
2022-03-22,Jilin_ji-lin-shi,853.0
2022-03-23,Jilin_ji-lin-shi,1047.0
2022-03-24,Jilin_ji-lin-shi,1136.0
2022-03-25,Jilin_ji-lin-shi,1527.0
2022-03-26,Jilin_ji-lin-shi,943.0
2022-03-27,Jilin_ji-lin-shi,938.0
2022-03-28,Jilin_ji-lin-shi,926.0
2022-03-29,Jilin_ji-lin-shi,948.0
2022-03-30,Jilin_ji-lin-shi,741.0
2022-03-31,Jilin_ji-lin-shi,702.0
2022-04-01,Jilin_ji-lin-shi,527.0
2022-04-02,Jilin_ji-lin-shi,627.0
2022-04-03,Jilin_ji-lin-shi,637.0
2022-04-04,Jilin_ji-lin-shi,514.0
2022-04-05,Jilin_ji-lin-shi,248.0
2022-04-06,Jilin_ji-lin-shi,234.0
2022-04-07,Jilin_ji-lin-shi,228.0
2022-04-08,Jilin_ji-lin-shi,143.0
2022-04-09,Jilin_ji-lin-shi,115.0
2022-04-10,Jilin_ji-lin-shi,112.0
2022-04-11,Jilin_ji-lin-shi,107.0
2022-04-12,Jilin_ji-lin-shi,98.0
2022-04-13,Jilin_ji-lin-shi,85.0
2022-04-14,Jilin_ji-lin-shi,70.0
2022-04-15,Jilin_ji-lin-shi,53.0
2022-04-16,Jilin_ji-lin-shi,41.0
2022-04-17,Jilin_ji-lin-shi,35.0
2022-04-18,Jilin_ji-lin-shi,19.0
2022-04-19,Jilin_ji-lin-shi,18.0
2022-04-20,Jilin_ji-lin-shi,18.0
2022-04-21,Jilin_ji-lin-shi,17.0
2022-04-22,Jilin_ji-lin-shi,16.0
2022-04-23,Jilin_ji-lin-shi,15.0
2022-04-24,Jilin_ji-lin-shi,8.0
2022-04-25,Jilin_ji-lin-shi,9.0
2022-04-26,Jilin_ji-lin-shi,6.0
2022-04-27,Jilin_ji-lin-shi,8.0
2022-04-28,Jilin_ji-lin-shi,5.0
2022-04-29,Jilin_ji-lin-shi,6.0
2022-04-30,Jilin_ji-lin-shi,3.0
2022-05-01,Jilin_ji-lin-shi,3.0
2022-05-02,Jilin_ji-lin-shi,1.0
2022-05-03,Jilin_ji-lin-shi,2.0
2022-05-04,Jilin_ji-lin-shi,3.0
2022-05-05,Jilin_ji-lin-shi,3.0
2022-05-06,Jilin_ji-lin-shi,2.0
2022-05-07,Jilin_ji-lin-shi,3.0
2022-05-08,Jilin_ji-lin-shi,0.0
2022-05-09,Jilin_ji-lin-shi,0.0
2022-05-10,Jilin_ji-lin-shi,1.0
2022-05-11,Jilin_ji-lin-shi,1.0
2022-05-12,Jilin_ji-lin-shi,0.0
2022-05-13,Jilin_ji-lin-shi,0.0
2022-05-14,Jilin_ji-lin-shi,0.0
2022-05-15,Jilin_ji-lin-shi,0.0
2022-05-16,Jilin_ji-lin-shi,0.0
2022-05-17,Jilin_ji-lin-shi,0.0
2022-05-18,Jilin_ji-lin-shi,0.0
2022-05-19,Jilin_ji-lin-shi,0.0
2022-05-20,Jilin_ji-lin-shi,0.0
2022-05-21,Jilin_ji-lin-shi,0.0
2022-05-22,Jilin_ji-lin-shi,0.0
2022-05-23,Jilin_ji-lin-shi,0.0
2022-05-24,Jilin_ji-lin-shi,0.0
2022-05-25,Jilin_ji-lin-shi,0.0
2022-05-26,Jilin_ji-lin-shi,0.0
2022-05-27,Jilin_ji-lin-shi,0.0
2022-05-28,Jilin_ji-lin-shi,0.0
2022-05-29,Jilin_ji-lin-shi,0.0
2022-05-30,Jilin_ji-lin-shi,0.0
2022-05-31,Jilin_ji-lin-shi,0.0
2022-06-01,Jilin_ji-lin-shi,0.0
2022-06-02,Jilin_ji-lin-shi,0.0
2022-06-03,Jilin_ji-lin-shi,0.0
2022-06-04,Jilin_ji-lin-shi,0.0
2022-06-05,Jilin_ji-lin-shi,0.0
2022-06-06,Jilin_ji-lin-shi,0.0
2022-06-07,Jilin_ji-lin-shi,0.0
2022-06-08,Jilin_ji-lin-shi,0.0
2022-06-09,Jilin_ji-lin-shi,0.0
2022-06-10,Jilin_ji-lin-shi,0.0
2022-06-11,Jilin_ji-lin-shi,0.0
2022-06-12,Jilin_ji-lin-shi,0.0
2022-06-13,Jilin_ji-lin-shi,0.0
2022-06-14,Jilin_ji-lin-shi,0.0
2022-06-15,Jilin_ji-lin-shi,0.0
2022-06-16,Jilin_ji-lin-shi,0.0
2022-06-17,Jilin_ji-lin-shi,0.0
2022-06-18,Jilin_ji-lin-shi,0.0
2022-06-19,Jilin_ji-lin-shi,1.0
2022-06-20,Jilin_ji-lin-shi,10.0
2022-06-21,Jilin_ji-lin-shi,0.0
2022-06-22,Jilin_ji-lin-shi,7.0
2022-06-23,Jilin_ji-lin-shi,7.0
2022-06-24,Jilin_ji-lin-shi,1.0
2022-06-25,Jilin_ji-lin-shi,0.0
2022-06-26,Jilin_ji-lin-shi,0.0
2022-06-27,Jilin_ji-lin-shi,0.0
2022-06-28,Jilin_ji-lin-shi,0.0
2022-06-29,Jilin_ji-lin-shi,0.0
2022-06-30,Jilin_ji-lin-shi,0.0
