date,city,cases
2022-02-01,Liaoning_shen-yang-shi,0.0
2022-02-02,Liaoning_shen-yang-shi,0.0
2022-02-03,Liaoning_shen-yang-shi,0.0
2022-02-04,Liaoning_shen-yang-shi,0.0
2022-02-05,Liaoning_shen-yang-shi,0.0
2022-02-06,Liaoning_shen-yang-shi,0.0
2022-02-07,Liaoning_shen-yang-shi,0.0
2022-02-08,Liaoning_shen-yang-shi,0.0
2022-02-09,Liaoning_shen-yang-shi,1.0
2022-02-10,Liaoning_shen-yang-shi,3.0
2022-02-11,Liaoning_shen-yang-shi,0.0
2022-02-12,Liaoning_shen-yang-shi,0.0
2022-02-13,Liaoning_shen-yang-shi,0.0
2022-02-14,Liaoning_shen-yang-shi,1.0
2022-02-15,Liaoning_shen-yang-shi,0.0
2022-02-16,Liaoning_shen-yang-shi,0.0
2022-02-17,Liaoning_shen-yang-shi,0.0
2022-02-18,Liaoning_shen-yang-shi,0.0
2022-02-19,Liaoning_shen-yang-shi,0.0
2022-02-20,Liaoning_shen-yang-shi,0.0
2022-02-21,Liaoning_shen-yang-shi,0.0
2022-02-22,Liaoning_shen-yang-shi,0.0
2022-02-23,Liaoning_shen-yang-shi,0.0
2022-02-24,Liaoning_shen-yang-shi,0.0
2022-02-25,Liaoning_shen-yang-shi,0.0
2022-02-26,Liaoning_shen-yang-shi,0.0
2022-02-27,Liaoning_shen-yang-shi,0.0
2022-02-28,Liaoning_shen-yang-shi,0.0
2022-03-01,Liaoning_shen-yang-shi,0.0
2022-03-02,Liaoning_shen-yang-shi,0.0
2022-03-03,Liaoning_shen-yang-shi,0.0
2022-03-04,Liaoning_shen-yang-shi,0.0
2022-03-05,Liaoning_shen-yang-shi,0.0
2022-03-06,Liaoning_shen-yang-shi,2.0
2022-03-07,Liaoning_shen-yang-shi,8.0
2022-03-08,Liaoning_shen-yang-shi,2.0
2022-03-09,Liaoning_shen-yang-shi,6.0
2022-03-10,Liaoning_shen-yang-shi,4.0
2022-03-11,Liaoning_shen-yang-shi,0.0
