date,city,cases
2022-02-01,Liaoning_ying-kou-shi,0.0
2022-02-02,Liaoning_ying-kou-shi,0.0
2022-02-03,Liaoning_ying-kou-shi,0.0
2022-02-04,Liaoning_ying-kou-shi,0.0
2022-02-05,Liaoning_ying-kou-shi,0.0
2022-02-06,Liaoning_ying-kou-shi,0.0
2022-02-07,Liaoning_ying-kou-shi,0.0
2022-02-08,Liaoning_ying-kou-shi,0.0
2022-02-09,Liaoning_ying-kou-shi,0.0
2022-02-10,Liaoning_ying-kou-shi,0.0
2022-02-11,Liaoning_ying-kou-shi,0.0
2022-02-12,Liaoning_ying-kou-shi,0.0
2022-02-13,Liaoning_ying-kou-shi,0.0
2022-02-14,Liaoning_ying-kou-shi,0.0
2022-02-15,Liaoning_ying-kou-shi,0.0
2022-02-16,Liaoning_ying-kou-shi,0.0
2022-02-17,Liaoning_ying-kou-shi,0.0
2022-02-18,Liaoning_ying-kou-shi,0.0
2022-02-19,Liaoning_ying-kou-shi,0.0
2022-02-20,Liaoning_ying-kou-shi,0.0
2022-02-21,Liaoning_ying-kou-shi,0.0
2022-02-22,Liaoning_ying-kou-shi,0.0
2022-02-23,Liaoning_ying-kou-shi,0.0
2022-02-24,Liaoning_ying-kou-shi,0.0
2022-02-25,Liaoning_ying-kou-shi,0.0
2022-02-26,Liaoning_ying-kou-shi,0.0
2022-02-27,Liaoning_ying-kou-shi,0.0
2022-02-28,Liaoning_ying-kou-shi,0.0
2022-03-01,Liaoning_ying-kou-shi,0.0
2022-03-02,Liaoning_ying-kou-shi,0.0
2022-03-03,Liaoning_ying-kou-shi,0.0
2022-03-04,Liaoning_ying-kou-shi,0.0
2022-03-05,Liaoning_ying-kou-shi,0.0
2022-03-06,Liaoning_ying-kou-shi,0.0
2022-03-07,Liaoning_ying-kou-shi,0.0
2022-03-08,Liaoning_ying-kou-shi,0.0
2022-03-09,Liaoning_ying-kou-shi,0.0
2022-03-10,Liaoning_ying-kou-shi,0.0
2022-03-11,Liaoning_ying-kou-shi,0.0
2022-03-12,Liaoning_ying-kou-shi,0.0
2022-03-13,Liaoning_ying-kou-shi,5.0
2022-03-14,Liaoning_ying-kou-shi,9.0
2022-03-15,Liaoning_ying-kou-shi,11.0
2022-03-16,Liaoning_ying-kou-shi,25.0
2022-03-17,Liaoning_ying-kou-shi,71.0
2022-03-18,Liaoning_ying-kou-shi,12.0
2022-03-19,Liaoning_ying-kou-shi,44.0
2022-03-20,Liaoning_ying-kou-shi,37.0
2022-03-21,Liaoning_ying-kou-shi,157.0
2022-03-22,Liaoning_ying-kou-shi,45.0
2022-03-23,Liaoning_ying-kou-shi,64.0
2022-03-24,Liaoning_ying-kou-shi,52.0
2022-03-25,Liaoning_ying-kou-shi,49.0
2022-03-26,Liaoning_ying-kou-shi,32.0
2022-03-27,Liaoning_ying-kou-shi,39.0
2022-03-28,Liaoning_ying-kou-shi,21.0
2022-03-29,Liaoning_ying-kou-shi,17.0
2022-03-30,Liaoning_ying-kou-shi,9.0
2022-03-31,Liaoning_ying-kou-shi,5.0
2022-04-01,Liaoning_ying-kou-shi,5.0
2022-04-02,Liaoning_ying-kou-shi,3.0
2022-04-03,Liaoning_ying-kou-shi,7.0
2022-04-04,Liaoning_ying-kou-shi,3.0
2022-04-05,Liaoning_ying-kou-shi,0.0
2022-04-06,Liaoning_ying-kou-shi,0.0
2022-04-07,Liaoning_ying-kou-shi,0.0
2022-04-08,Liaoning_ying-kou-shi,3.0
2022-04-09,Liaoning_ying-kou-shi,0.0
2022-04-10,Liaoning_ying-kou-shi,0.0
2022-04-11,Liaoning_ying-kou-shi,0.0
2022-04-12,Liaoning_ying-kou-shi,0.0
2022-04-13,Liaoning_ying-kou-shi,0.0
2022-04-14,Liaoning_ying-kou-shi,0.0
2022-04-15,Liaoning_ying-kou-shi,0.0
2022-04-16,Liaoning_ying-kou-shi,0.0
2022-04-17,Liaoning_ying-kou-shi,0.0
2022-04-18,Liaoning_ying-kou-shi,0.0
2022-04-19,Liaoning_ying-kou-shi,0.0
2022-04-20,Liaoning_ying-kou-shi,0.0
2022-04-21,Liaoning_ying-kou-shi,0.0
2022-04-22,Liaoning_ying-kou-shi,0.0
2022-04-23,Liaoning_ying-kou-shi,0.0
2022-04-24,Liaoning_ying-kou-shi,0.0
2022-04-25,Liaoning_ying-kou-shi,0.0
2022-04-26,Liaoning_ying-kou-shi,0.0
2022-04-27,Liaoning_ying-kou-shi,0.0
2022-04-28,Liaoning_ying-kou-shi,0.0
2022-04-29,Liaoning_ying-kou-shi,0.0
2022-04-30,Liaoning_ying-kou-shi,0.0
2022-05-01,Liaoning_ying-kou-shi,29.0
2022-05-02,Liaoning_ying-kou-shi,45.0
2022-05-03,Liaoning_ying-kou-shi,112.0
2022-05-04,Liaoning_ying-kou-shi,62.0
2022-05-05,Liaoning_ying-kou-shi,24.0
2022-05-06,Liaoning_ying-kou-shi,69.0
2022-05-07,Liaoning_ying-kou-shi,61.0
2022-05-08,Liaoning_ying-kou-shi,39.0
2022-05-09,Liaoning_ying-kou-shi,35.0
2022-05-10,Liaoning_ying-kou-shi,50.0
2022-05-11,Liaoning_ying-kou-shi,78.0
2022-05-12,Liaoning_ying-kou-shi,50.0
2022-05-13,Liaoning_ying-kou-shi,30.0
2022-05-14,Liaoning_ying-kou-shi,15.0
2022-05-15,Liaoning_ying-kou-shi,7.0
2022-05-16,Liaoning_ying-kou-shi,0.0
2022-05-17,Liaoning_ying-kou-shi,0.0
2022-05-18,Liaoning_ying-kou-shi,0.0
2022-05-19,Liaoning_ying-kou-shi,2.0
2022-05-20,Liaoning_ying-kou-shi,0.0
2022-05-21,Liaoning_ying-kou-shi,0.0
2022-05-22,Liaoning_ying-kou-shi,0.0
2022-05-23,Liaoning_ying-kou-shi,0.0
2022-05-24,Liaoning_ying-kou-shi,0.0
2022-05-25,Liaoning_ying-kou-shi,0.0
2022-05-26,Liaoning_ying-kou-shi,0.0
2022-05-27,Liaoning_ying-kou-shi,0.0
2022-05-28,Liaoning_ying-kou-shi,0.0
2022-05-29,Liaoning_ying-kou-shi,0.0
2022-05-30,Liaoning_ying-kou-shi,0.0
2022-05-31,Liaoning_ying-kou-shi,0.0
2022-06-01,Liaoning_ying-kou-shi,0.0
2022-06-02,Liaoning_ying-kou-shi,0.0
2022-06-03,Liaoning_ying-kou-shi,0.0
2022-06-04,Liaoning_ying-kou-shi,0.0
2022-06-05,Liaoning_ying-kou-shi,0.0
2022-06-06,Liaoning_ying-kou-shi,0.0
2022-06-07,Liaoning_ying-kou-shi,0.0
2022-06-08,Liaoning_ying-kou-shi,0.0
2022-06-09,Liaoning_ying-kou-shi,0.0
2022-06-10,Liaoning_ying-kou-shi,0.0
2022-06-11,Liaoning_ying-kou-shi,0.0
2022-06-12,Liaoning_ying-kou-shi,0.0
2022-06-13,Liaoning_ying-kou-shi,0.0
2022-06-14,Liaoning_ying-kou-shi,0.0
2022-06-15,Liaoning_ying-kou-shi,0.0
2022-06-16,Liaoning_ying-kou-shi,0.0
2022-06-17,Liaoning_ying-kou-shi,0.0
2022-06-18,Liaoning_ying-kou-shi,0.0
2022-06-19,Liaoning_ying-kou-shi,0.0
2022-06-20,Liaoning_ying-kou-shi,0.0
2022-06-21,Liaoning_ying-kou-shi,0.0
2022-06-22,Liaoning_ying-kou-shi,0.0
2022-06-23,Liaoning_ying-kou-shi,0.0
2022-06-24,Liaoning_ying-kou-shi,0.0
2022-06-25,Liaoning_ying-kou-shi,0.0
2022-06-26,Liaoning_ying-kou-shi,0.0
2022-06-27,Liaoning_ying-kou-shi,0.0
2022-06-28,Liaoning_ying-kou-shi,0.0
2022-06-29,Liaoning_ying-kou-shi,0.0
2022-06-30,Liaoning_ying-kou-shi,0.0
