date,city,cases
2022-02-01,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-02,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-03,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-04,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-05,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-06,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-07,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-08,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-09,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-10,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-11,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-12,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-13,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-14,Neimenggu_hu-he-hao-te-shi,0.0
2022-02-15,Neimenggu_hu-he-hao-te-shi,2.0
2022-02-16,Neimenggu_hu-he-hao-te-shi,3.0
2022-02-17,Neimenggu_hu-he-hao-te-shi,21.0
2022-02-18,Neimenggu_hu-he-hao-te-shi,42.0
2022-02-19,Neimenggu_hu-he-hao-te-shi,63.0
2022-02-20,Neimenggu_hu-he-hao-te-shi,30.0
2022-02-21,Neimenggu_hu-he-hao-te-shi,18.0
2022-02-22,Neimenggu_hu-he-hao-te-shi,39.0
2022-02-23,Neimenggu_hu-he-hao-te-shi,37.0
2022-02-24,Neimenggu_hu-he-hao-te-shi,28.0
2022-02-25,Neimenggu_hu-he-hao-te-shi,30.0
2022-02-26,Neimenggu_hu-he-hao-te-shi,35.0
2022-02-27,Neimenggu_hu-he-hao-te-shi,11.0
2022-02-28,Neimenggu_hu-he-hao-te-shi,13.0
2022-03-01,Neimenggu_hu-he-hao-te-shi,16.0
2022-03-02,Neimenggu_hu-he-hao-te-shi,6.0
2022-03-03,Neimenggu_hu-he-hao-te-shi,9.0
2022-03-04,Neimenggu_hu-he-hao-te-shi,5.0
2022-03-05,Neimenggu_hu-he-hao-te-shi,7.0
2022-03-06,Neimenggu_hu-he-hao-te-shi,3.0
2022-03-07,Neimenggu_hu-he-hao-te-shi,2.0
2022-03-08,Neimenggu_hu-he-hao-te-shi,2.0
2022-03-09,Neimenggu_hu-he-hao-te-shi,3.0
2022-03-10,Neimenggu_hu-he-hao-te-shi,1.0
2022-03-11,Neimenggu_hu-he-hao-te-shi,1.0
2022-03-12,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-13,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-14,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-15,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-16,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-17,Neimenggu_hu-he-hao-te-shi,5.0
2022-03-18,Neimenggu_hu-he-hao-te-shi,5.0
2022-03-19,Neimenggu_hu-he-hao-te-shi,7.0
2022-03-20,Neimenggu_hu-he-hao-te-shi,7.0
2022-03-21,Neimenggu_hu-he-hao-te-shi,4.0
2022-03-22,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-23,Neimenggu_hu-he-hao-te-shi,1.0
2022-03-24,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-25,Neimenggu_hu-he-hao-te-shi,3.0
2022-03-26,Neimenggu_hu-he-hao-te-shi,2.0
2022-03-27,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-28,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-29,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-30,Neimenggu_hu-he-hao-te-shi,0.0
2022-03-31,Neimenggu_hu-he-hao-te-shi,2.0
2022-04-01,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-02,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-03,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-04,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-05,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-06,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-07,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-08,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-09,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-10,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-11,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-12,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-13,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-14,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-15,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-16,Neimenggu_hu-he-hao-te-shi,1.0
2022-04-17,Neimenggu_hu-he-hao-te-shi,0.0
2022-04-18,Neimenggu_hu-he-hao-te-shi,0.0
