date,city,cases
2022-02-01,Shaanxi_bao-ji-shi,0.0
2022-02-02,Shaanxi_bao-ji-shi,0.0
2022-02-03,Shaanxi_bao-ji-shi,0.0
2022-02-04,Shaanxi_bao-ji-shi,0.0
2022-02-05,Shaanxi_bao-ji-shi,0.0
2022-02-06,Shaanxi_bao-ji-shi,0.0
2022-02-07,Shaanxi_bao-ji-shi,0.0
2022-02-08,Shaanxi_bao-ji-shi,0.0
2022-02-09,Shaanxi_bao-ji-shi,0.0
2022-02-10,Shaanxi_bao-ji-shi,0.0
2022-02-11,Shaanxi_bao-ji-shi,0.0
2022-02-12,Shaanxi_bao-ji-shi,0.0
2022-02-13,Shaanxi_bao-ji-shi,0.0
2022-02-14,Shaanxi_bao-ji-shi,0.0
2022-02-15,Shaanxi_bao-ji-shi,0.0
2022-02-16,Shaanxi_bao-ji-shi,0.0
2022-02-17,Shaanxi_bao-ji-shi,0.0
2022-02-18,Shaanxi_bao-ji-shi,0.0
2022-02-19,Shaanxi_bao-ji-shi,0.0
2022-02-20,Shaanxi_bao-ji-shi,0.0
2022-02-21,Shaanxi_bao-ji-shi,0.0
2022-02-22,Shaanxi_bao-ji-shi,0.0
2022-02-23,Shaanxi_bao-ji-shi,0.0
2022-02-24,Shaanxi_bao-ji-shi,0.0
2022-02-25,Shaanxi_bao-ji-shi,0.0
2022-02-26,Shaanxi_bao-ji-shi,0.0
2022-02-27,Shaanxi_bao-ji-shi,0.0
2022-02-28,Shaanxi_bao-ji-shi,0.0
2022-03-01,Shaanxi_bao-ji-shi,0.0
2022-03-02,Shaanxi_bao-ji-shi,0.0
2022-03-03,Shaanxi_bao-ji-shi,0.0
2022-03-04,Shaanxi_bao-ji-shi,0.0
2022-03-05,Shaanxi_bao-ji-shi,0.0
2022-03-06,Shaanxi_bao-ji-shi,0.0
2022-03-07,Shaanxi_bao-ji-shi,0.0
2022-03-08,Shaanxi_bao-ji-shi,6.0
2022-03-09,Shaanxi_bao-ji-shi,7.0
2022-03-10,Shaanxi_bao-ji-shi,8.0
2022-03-11,Shaanxi_bao-ji-shi,12.0
2022-03-12,Shaanxi_bao-ji-shi,32.0
2022-03-13,Shaanxi_bao-ji-shi,45.0
2022-03-14,Shaanxi_bao-ji-shi,40.0
2022-03-15,Shaanxi_bao-ji-shi,13.0
2022-03-16,Shaanxi_bao-ji-shi,14.0
2022-03-17,Shaanxi_bao-ji-shi,20.0
2022-03-18,Shaanxi_bao-ji-shi,7.0
2022-03-19,Shaanxi_bao-ji-shi,11.0
2022-03-20,Shaanxi_bao-ji-shi,10.0
2022-03-21,Shaanxi_bao-ji-shi,7.0
2022-03-22,Shaanxi_bao-ji-shi,2.0
2022-03-23,Shaanxi_bao-ji-shi,0.0
2022-03-24,Shaanxi_bao-ji-shi,3.0
2022-03-25,Shaanxi_bao-ji-shi,3.0
2022-03-26,Shaanxi_bao-ji-shi,0.0
2022-03-27,Shaanxi_bao-ji-shi,0.0
2022-03-28,Shaanxi_bao-ji-shi,1.0
2022-03-29,Shaanxi_bao-ji-shi,0.0
2022-03-30,Shaanxi_bao-ji-shi,0.0
2022-03-31,Shaanxi_bao-ji-shi,0.0
2022-04-01,Shaanxi_bao-ji-shi,0.0
2022-04-02,Shaanxi_bao-ji-shi,2.0
2022-04-03,Shaanxi_bao-ji-shi,0.0
2022-04-04,Shaanxi_bao-ji-shi,0.0
2022-04-05,Shaanxi_bao-ji-shi,1.0
2022-04-06,Shaanxi_bao-ji-shi,0.0
2022-04-07,Shaanxi_bao-ji-shi,0.0
2022-04-08,Shaanxi_bao-ji-shi,0.0
2022-04-09,Shaanxi_bao-ji-shi,0.0
2022-04-10,Shaanxi_bao-ji-shi,0.0
2022-04-11,Shaanxi_bao-ji-shi,0.0
2022-04-12,Shaanxi_bao-ji-shi,0.0
2022-04-13,Shaanxi_bao-ji-shi,0.0
2022-04-14,Shaanxi_bao-ji-shi,0.0
2022-04-15,Shaanxi_bao-ji-shi,0.0
2022-04-16,Shaanxi_bao-ji-shi,0.0
2022-04-17,Shaanxi_bao-ji-shi,0.0
2022-04-18,Shaanxi_bao-ji-shi,0.0
2022-04-19,Shaanxi_bao-ji-shi,0.0
2022-04-20,Shaanxi_bao-ji-shi,0.0
2022-04-21,Shaanxi_bao-ji-shi,0.0
2022-04-22,Shaanxi_bao-ji-shi,0.0
2022-04-23,Shaanxi_bao-ji-shi,0.0
2022-04-24,Shaanxi_bao-ji-shi,0.0
2022-04-25,Shaanxi_bao-ji-shi,0.0
2022-04-26,Shaanxi_bao-ji-shi,0.0
2022-04-27,Shaanxi_bao-ji-shi,0.0
2022-04-28,Shaanxi_bao-ji-shi,0.0
2022-04-29,Shaanxi_bao-ji-shi,0.0
2022-04-30,Shaanxi_bao-ji-shi,0.0
2022-05-01,Shaanxi_bao-ji-shi,0.0
2022-05-02,Shaanxi_bao-ji-shi,0.0
2022-05-03,Shaanxi_bao-ji-shi,0.0
2022-05-04,Shaanxi_bao-ji-shi,0.0
2022-05-05,Shaanxi_bao-ji-shi,0.0
2022-05-06,Shaanxi_bao-ji-shi,0.0
2022-05-07,Shaanxi_bao-ji-shi,0.0
2022-05-08,Shaanxi_bao-ji-shi,0.0
2022-05-09,Shaanxi_bao-ji-shi,0.0
2022-05-10,Shaanxi_bao-ji-shi,0.0
2022-05-11,Shaanxi_bao-ji-shi,0.0
2022-05-12,Shaanxi_bao-ji-shi,0.0
2022-05-13,Shaanxi_bao-ji-shi,0.0
2022-05-14,Shaanxi_bao-ji-shi,0.0
2022-05-15,Shaanxi_bao-ji-shi,0.0
2022-05-16,Shaanxi_bao-ji-shi,0.0
2022-05-17,Shaanxi_bao-ji-shi,0.0
2022-05-18,Shaanxi_bao-ji-shi,0.0
2022-05-19,Shaanxi_bao-ji-shi,0.0
2022-05-20,Shaanxi_bao-ji-shi,0.0
2022-05-21,Shaanxi_bao-ji-shi,0.0
2022-05-22,Shaanxi_bao-ji-shi,0.0
2022-05-23,Shaanxi_bao-ji-shi,0.0
2022-05-24,Shaanxi_bao-ji-shi,0.0
2022-05-25,Shaanxi_bao-ji-shi,0.0
2022-05-26,Shaanxi_bao-ji-shi,0.0
2022-05-27,Shaanxi_bao-ji-shi,0.0
2022-05-28,Shaanxi_bao-ji-shi,0.0
2022-05-29,Shaanxi_bao-ji-shi,0.0
2022-05-30,Shaanxi_bao-ji-shi,0.0
2022-05-31,Shaanxi_bao-ji-shi,0.0
2022-06-01,Shaanxi_bao-ji-shi,0.0
2022-06-02,Shaanxi_bao-ji-shi,0.0
2022-06-03,Shaanxi_bao-ji-shi,0.0
2022-06-04,Shaanxi_bao-ji-shi,0.0
2022-06-05,Shaanxi_bao-ji-shi,0.0
2022-06-06,Shaanxi_bao-ji-shi,0.0
2022-06-07,Shaanxi_bao-ji-shi,0.0
2022-06-08,Shaanxi_bao-ji-shi,0.0
2022-06-09,Shaanxi_bao-ji-shi,0.0
2022-06-10,Shaanxi_bao-ji-shi,0.0
2022-06-11,Shaanxi_bao-ji-shi,0.0
2022-06-12,Shaanxi_bao-ji-shi,0.0
2022-06-13,Shaanxi_bao-ji-shi,0.0
2022-06-14,Shaanxi_bao-ji-shi,0.0
2022-06-15,Shaanxi_bao-ji-shi,0.0
2022-06-16,Shaanxi_bao-ji-shi,0.0
2022-06-17,Shaanxi_bao-ji-shi,0.0
2022-06-18,Shaanxi_bao-ji-shi,0.0
2022-06-19,Shaanxi_bao-ji-shi,0.0
2022-06-20,Shaanxi_bao-ji-shi,0.0
2022-06-21,Shaanxi_bao-ji-shi,0.0
2022-06-22,Shaanxi_bao-ji-shi,0.0
2022-06-23,Shaanxi_bao-ji-shi,0.0
2022-06-24,Shaanxi_bao-ji-shi,0.0
2022-06-25,Shaanxi_bao-ji-shi,0.0
2022-06-26,Shaanxi_bao-ji-shi,0.0
2022-06-27,Shaanxi_bao-ji-shi,0.0
2022-06-28,Shaanxi_bao-ji-shi,0.0
2022-06-29,Shaanxi_bao-ji-shi,0.0
2022-06-30,Shaanxi_bao-ji-shi,0.0
