date,city,cases
2022-02-01,Shanghai_shang-hai-shi,0.0
2022-02-02,Shanghai_shang-hai-shi,0.0
2022-02-03,Shanghai_shang-hai-shi,0.0
2022-02-04,Shanghai_shang-hai-shi,0.0
2022-02-05,Shanghai_shang-hai-shi,0.0
2022-02-06,Shanghai_shang-hai-shi,0.0
2022-02-07,Shanghai_shang-hai-shi,0.0
2022-02-08,Shanghai_shang-hai-shi,0.0
2022-02-09,Shanghai_shang-hai-shi,0.0
2022-02-10,Shanghai_shang-hai-shi,0.0
2022-02-11,Shanghai_shang-hai-shi,0.0
2022-02-12,Shanghai_shang-hai-shi,0.0
2022-02-13,Shanghai_shang-hai-shi,0.0
2022-02-14,Shanghai_shang-hai-shi,0.0
2022-02-15,Shanghai_shang-hai-shi,0.0
2022-02-16,Shanghai_shang-hai-shi,0.0
2022-02-17,Shanghai_shang-hai-shi,0.0
2022-02-18,Shanghai_shang-hai-shi,0.0
2022-02-19,Shanghai_shang-hai-shi,0.0
2022-02-20,Shanghai_shang-hai-shi,2.0
2022-02-21,Shanghai_shang-hai-shi,0.0
2022-02-22,Shanghai_shang-hai-shi,0.0
2022-02-23,Shanghai_shang-hai-shi,0.0
2022-02-24,Shanghai_shang-hai-shi,1.0
2022-02-25,Shanghai_shang-hai-shi,1.0
2022-02-26,Shanghai_shang-hai-shi,1.0
2022-02-27,Shanghai_shang-hai-shi,1.0
2022-02-28,Shanghai_shang-hai-shi,3.0
2022-03-01,Shanghai_shang-hai-shi,2.0
2022-03-02,Shanghai_shang-hai-shi,8.0
2022-03-03,Shanghai_shang-hai-shi,16.0
2022-03-04,Shanghai_shang-hai-shi,19.0
2022-03-05,Shanghai_shang-hai-shi,28.0
2022-03-06,Shanghai_shang-hai-shi,48.0
2022-03-07,Shanghai_shang-hai-shi,55.0
2022-03-08,Shanghai_shang-hai-shi,65.0
2022-03-09,Shanghai_shang-hai-shi,80.0
2022-03-10,Shanghai_shang-hai-shi,75.0
2022-03-11,Shanghai_shang-hai-shi,83.0
2022-03-12,Shanghai_shang-hai-shi,65.0
2022-03-13,Shanghai_shang-hai-shi,169.0
2022-03-14,Shanghai_shang-hai-shi,139.0
2022-03-15,Shanghai_shang-hai-shi,202.0
2022-03-16,Shanghai_shang-hai-shi,158.0
2022-03-17,Shanghai_shang-hai-shi,260.0
2022-03-18,Shanghai_shang-hai-shi,374.0
2022-03-19,Shanghai_shang-hai-shi,509.0
2022-03-20,Shanghai_shang-hai-shi,758.0
2022-03-21,Shanghai_shang-hai-shi,896.0
2022-03-22,Shanghai_shang-hai-shi,981.0
2022-03-23,Shanghai_shang-hai-shi,983.0
2022-03-24,Shanghai_shang-hai-shi,1609.0
2022-03-25,Shanghai_shang-hai-shi,2269.0
2022-03-26,Shanghai_shang-hai-shi,2678.0
2022-03-27,Shanghai_shang-hai-shi,3500.0
2022-03-28,Shanghai_shang-hai-shi,4477.0
2022-03-29,Shanghai_shang-hai-shi,5982.0
2022-03-30,Shanghai_shang-hai-shi,5653.0
2022-03-31,Shanghai_shang-hai-shi,4502.0
2022-04-01,Shanghai_shang-hai-shi,6311.0
2022-04-02,Shanghai_shang-hai-shi,8226.0
2022-04-03,Shanghai_shang-hai-shi,9006.0
2022-04-04,Shanghai_shang-hai-shi,13354.0
2022-04-05,Shanghai_shang-hai-shi,17077.0
2022-04-06,Shanghai_shang-hai-shi,19982.0
2022-04-07,Shanghai_shang-hai-shi,21222.0
2022-04-08,Shanghai_shang-hai-shi,23624.0
2022-04-09,Shanghai_shang-hai-shi,24943.0
2022-04-10,Shanghai_shang-hai-shi,26087.0
2022-04-11,Shanghai_shang-hai-shi,23342.0
2022-04-12,Shanghai_shang-hai-shi,26330.0
2022-04-13,Shanghai_shang-hai-shi,27719.0
2022-04-14,Shanghai_shang-hai-shi,23072.0
2022-04-15,Shanghai_shang-hai-shi,23513.0
2022-04-16,Shanghai_shang-hai-shi,24820.0
2022-04-17,Shanghai_shang-hai-shi,22248.0
2022-04-18,Shanghai_shang-hai-shi,20416.0
2022-04-19,Shanghai_shang-hai-shi,18901.0
2022-04-20,Shanghai_shang-hai-shi,18495.0
2022-04-21,Shanghai_shang-hai-shi,17629.0
2022-04-22,Shanghai_shang-hai-shi,23370.0
2022-04-23,Shanghai_shang-hai-shi,21058.0
2022-04-24,Shanghai_shang-hai-shi,19455.0
2022-04-25,Shanghai_shang-hai-shi,16980.0
2022-04-26,Shanghai_shang-hai-shi,13562.0
2022-04-27,Shanghai_shang-hai-shi,10622.0
2022-04-28,Shanghai_shang-hai-shi,15032.0
2022-04-29,Shanghai_shang-hai-shi,10181.0
2022-04-30,Shanghai_shang-hai-shi,7872.0
2022-05-01,Shanghai_shang-hai-shi,7333.0
2022-05-02,Shanghai_shang-hai-shi,5669.0
2022-05-03,Shanghai_shang-hai-shi,4982.0
2022-05-04,Shanghai_shang-hai-shi,4651.0
2022-05-05,Shanghai_shang-hai-shi,4269.0
2022-05-06,Shanghai_shang-hai-shi,4214.0
2022-05-07,Shanghai_shang-hai-shi,3975.0
2022-05-08,Shanghai_shang-hai-shi,3947.0
2022-05-09,Shanghai_shang-hai-shi,3014.0
2022-05-10,Shanghai_shang-hai-shi,1487.0
2022-05-11,Shanghai_shang-hai-shi,1449.0
2022-05-12,Shanghai_shang-hai-shi,2096.0
2022-05-13,Shanghai_shang-hai-shi,1681.0
2022-05-14,Shanghai_shang-hai-shi,1369.0
2022-05-15,Shanghai_shang-hai-shi,938.0
2022-05-16,Shanghai_shang-hai-shi,823.0
2022-05-17,Shanghai_shang-hai-shi,855.0
2022-05-18,Shanghai_shang-hai-shi,719.0
2022-05-19,Shanghai_shang-hai-shi,858.0
2022-05-20,Shanghai_shang-hai-shi,868.0
2022-05-21,Shanghai_shang-hai-shi,622.0
2022-05-22,Shanghai_shang-hai-shi,558.0
2022-05-23,Shanghai_shang-hai-shi,480.0
2022-05-24,Shanghai_shang-hai-shi,387.0
2022-05-25,Shanghai_shang-hai-shi,338.0
2022-05-26,Shanghai_shang-hai-shi,264.0
2022-05-27,Shanghai_shang-hai-shi,170.0
2022-05-28,Shanghai_shang-hai-shi,122.0
2022-05-29,Shanghai_shang-hai-shi,67.0
2022-05-30,Shanghai_shang-hai-shi,31.0
2022-05-31,Shanghai_shang-hai-shi,15.0
2022-06-01,Shanghai_shang-hai-shi,13.0
2022-06-02,Shanghai_shang-hai-shi,16.0
2022-06-03,Shanghai_shang-hai-shi,14.0
