date,city,cases
2022-02-01,Tianjin_tian-jin-shi,12.0
2022-02-02,Tianjin_tian-jin-shi,9.0
2022-02-03,Tianjin_tian-jin-shi,4.0
2022-02-04,Tianjin_tian-jin-shi,2.0
2022-02-05,Tianjin_tian-jin-shi,2.0
2022-02-06,Tianjin_tian-jin-shi,1.0
2022-02-07,Tianjin_tian-jin-shi,1.0
2022-02-08,Tianjin_tian-jin-shi,0.0
2022-02-09,Tianjin_tian-jin-shi,0.0
2022-02-10,Tianjin_tian-jin-shi,0.0
2022-02-11,Tianjin_tian-jin-shi,0.0
2022-02-12,Tianjin_tian-jin-shi,1.0
2022-02-13,Tianjin_tian-jin-shi,0.0
2022-02-14,Tianjin_tian-jin-shi,0.0
2022-02-15,Tianjin_tian-jin-shi,0.0
2022-02-16,Tianjin_tian-jin-shi,0.0
2022-02-17,Tianjin_tian-jin-shi,0.0
2022-02-18,Tianjin_tian-jin-shi,0.0
2022-02-19,Tianjin_tian-jin-shi,0.0
2022-02-20,Tianjin_tian-jin-shi,0.0
2022-02-21,Tianjin_tian-jin-shi,0.0
2022-02-22,Tianjin_tian-jin-shi,0.0
2022-02-23,Tianjin_tian-jin-shi,0.0
2022-02-24,Tianjin_tian-jin-shi,1.0
2022-02-25,Tianjin_tian-jin-shi,0.0
2022-02-26,Tianjin_tian-jin-shi,4.0
2022-02-27,Tianjin_tian-jin-shi,10.0
2022-02-28,Tianjin_tian-jin-shi,6.0
2022-03-01,Tianjin_tian-jin-shi,1.0
2022-03-02,Tianjin_tian-jin-shi,1.0
2022-03-03,Tianjin_tian-jin-shi,1.0
2022-03-04,Tianjin_tian-jin-shi,3.0
2022-03-05,Tianjin_tian-jin-shi,0.0
2022-03-06,Tianjin_tian-jin-shi,0.0
2022-03-07,Tianjin_tian-jin-shi,3.0
2022-03-08,Tianjin_tian-jin-shi,12.0
2022-03-09,Tianjin_tian-jin-shi,21.0
2022-03-10,Tianjin_tian-jin-shi,18.0
2022-03-11,Tianjin_tian-jin-shi,41.0
2022-03-12,Tianjin_tian-jin-shi,26.0
2022-03-13,Tianjin_tian-jin-shi,52.0
2022-03-14,Tianjin_tian-jin-shi,55.0
2022-03-15,Tianjin_tian-jin-shi,68.0
2022-03-16,Tianjin_tian-jin-shi,55.0
2022-03-17,Tianjin_tian-jin-shi,63.0
2022-03-18,Tianjin_tian-jin-shi,28.0
2022-03-19,Tianjin_tian-jin-shi,21.0
2022-03-20,Tianjin_tian-jin-shi,25.0
2022-03-21,Tianjin_tian-jin-shi,36.0
2022-03-22,Tianjin_tian-jin-shi,47.0
2022-03-23,Tianjin_tian-jin-shi,77.0
2022-03-24,Tianjin_tian-jin-shi,67.0
2022-03-25,Tianjin_tian-jin-shi,67.0
2022-03-26,Tianjin_tian-jin-shi,46.0
2022-03-27,Tianjin_tian-jin-shi,16.0
2022-03-28,Tianjin_tian-jin-shi,17.0
2022-03-29,Tianjin_tian-jin-shi,8.0
2022-03-30,Tianjin_tian-jin-shi,6.0
2022-03-31,Tianjin_tian-jin-shi,4.0
2022-04-01,Tianjin_tian-jin-shi,1.0
2022-04-02,Tianjin_tian-jin-shi,4.0
2022-04-03,Tianjin_tian-jin-shi,2.0
2022-04-04,Tianjin_tian-jin-shi,6.0
2022-04-05,Tianjin_tian-jin-shi,8.0
2022-04-06,Tianjin_tian-jin-shi,4.0
2022-04-07,Tianjin_tian-jin-shi,0.0
2022-04-08,Tianjin_tian-jin-shi,1.0
2022-04-09,Tianjin_tian-jin-shi,1.0
2022-04-10,Tianjin_tian-jin-shi,0.0
2022-04-11,Tianjin_tian-jin-shi,1.0
2022-04-12,Tianjin_tian-jin-shi,2.0
2022-04-13,Tianjin_tian-jin-shi,0.0
2022-04-14,Tianjin_tian-jin-shi,2.0
2022-04-15,Tianjin_tian-jin-shi,0.0
2022-04-16,Tianjin_tian-jin-shi,0.0
2022-04-17,Tianjin_tian-jin-shi,0.0
2022-04-18,Tianjin_tian-jin-shi,0.0
2022-04-19,Tianjin_tian-jin-shi,0.0
2022-04-20,Tianjin_tian-jin-shi,0.0
2022-04-21,Tianjin_tian-jin-shi,0.0
2022-04-22,Tianjin_tian-jin-shi,0.0
2022-04-23,Tianjin_tian-jin-shi,0.0
2022-04-24,Tianjin_tian-jin-shi,1.0
2022-04-25,Tianjin_tian-jin-shi,2.0
2022-04-26,Tianjin_tian-jin-shi,0.0
2022-04-27,Tianjin_tian-jin-shi,0.0
2022-04-28,Tianjin_tian-jin-shi,0.0
2022-04-29,Tianjin_tian-jin-shi,0.0
2022-04-30,Tianjin_tian-jin-shi,1.0
2022-05-01,Tianjin_tian-jin-shi,0.0
2022-05-02,Tianjin_tian-jin-shi,0.0
2022-05-03,Tianjin_tian-jin-shi,0.0
2022-05-04,Tianjin_tian-jin-shi,0.0
2022-05-05,Tianjin_tian-jin-shi,0.0
2022-05-06,Tianjin_tian-jin-shi,0.0
2022-05-07,Tianjin_tian-jin-shi,0.0
2022-05-08,Tianjin_tian-jin-shi,0.0
2022-05-09,Tianjin_tian-jin-shi,0.0
2022-05-10,Tianjin_tian-jin-shi,0.0
2022-05-11,Tianjin_tian-jin-shi,0.0
2022-05-12,Tianjin_tian-jin-shi,1.0
2022-05-13,Tianjin_tian-jin-shi,2.0
2022-05-14,Tianjin_tian-jin-shi,0.0
2022-05-15,Tianjin_tian-jin-shi,4.0
2022-05-16,Tianjin_tian-jin-shi,30.0
2022-05-17,Tianjin_tian-jin-shi,55.0
2022-05-18,Tianjin_tian-jin-shi,33.0
2022-05-19,Tianjin_tian-jin-shi,19.0
2022-05-20,Tianjin_tian-jin-shi,23.0
2022-05-21,Tianjin_tian-jin-shi,56.0
2022-05-22,Tianjin_tian-jin-shi,47.0
2022-05-23,Tianjin_tian-jin-shi,24.0
2022-05-24,Tianjin_tian-jin-shi,18.0
2022-05-25,Tianjin_tian-jin-shi,20.0
2022-05-26,Tianjin_tian-jin-shi,10.0
2022-05-27,Tianjin_tian-jin-shi,7.0
2022-05-28,Tianjin_tian-jin-shi,11.0
2022-05-29,Tianjin_tian-jin-shi,6.0
2022-05-30,Tianjin_tian-jin-shi,5.0
2022-05-31,Tianjin_tian-jin-shi,0.0
2022-06-01,Tianjin_tian-jin-shi,5.0
2022-06-02,Tianjin_tian-jin-shi,3.0
2022-06-03,Tianjin_tian-jin-shi,0.0
2022-06-04,Tianjin_tian-jin-shi,0.0
2022-06-05,Tianjin_tian-jin-shi,0.0
2022-06-06,Tianjin_tian-jin-shi,0.0
2022-06-07,Tianjin_tian-jin-shi,0.0
2022-06-08,Tianjin_tian-jin-shi,0.0
2022-06-09,Tianjin_tian-jin-shi,0.0
2022-06-10,Tianjin_tian-jin-shi,0.0
2022-06-11,Tianjin_tian-jin-shi,0.0
2022-06-12,Tianjin_tian-jin-shi,0.0
2022-06-13,Tianjin_tian-jin-shi,0.0
2022-06-14,Tianjin_tian-jin-shi,0.0
2022-06-15,Tianjin_tian-jin-shi,0.0
2022-06-16,Tianjin_tian-jin-shi,0.0
2022-06-17,Tianjin_tian-jin-shi,0.0
2022-06-18,Tianjin_tian-jin-shi,0.0
2022-06-19,Tianjin_tian-jin-shi,0.0
2022-06-20,Tianjin_tian-jin-shi,0.0
2022-06-21,Tianjin_tian-jin-shi,0.0
2022-06-22,Tianjin_tian-jin-shi,0.0
2022-06-23,Tianjin_tian-jin-shi,0.0
2022-06-24,Tianjin_tian-jin-shi,0.0
2022-06-25,Tianjin_tian-jin-shi,0.0
2022-06-26,Tianjin_tian-jin-shi,0.0
2022-06-27,Tianjin_tian-jin-shi,4.0
2022-06-28,Tianjin_tian-jin-shi,9.0
2022-06-29,Tianjin_tian-jin-shi,0.0
2022-06-30,Tianjin_tian-jin-shi,2.0
