date,city,cases
2022-07-01,Anhui_chi-zhou-shi,0.0
2022-07-02,Anhui_chi-zhou-shi,0.0
2022-07-03,Anhui_chi-zhou-shi,0.0
2022-07-04,Anhui_chi-zhou-shi,0.0
2022-07-05,Anhui_chi-zhou-shi,0.0
2022-07-06,Anhui_chi-zhou-shi,0.0
2022-07-07,Anhui_chi-zhou-shi,0.0
2022-07-08,Anhui_chi-zhou-shi,0.0
2022-07-09,Anhui_chi-zhou-shi,0.0
2022-07-10,Anhui_chi-zhou-shi,0.0
2022-07-11,Anhui_chi-zhou-shi,0.0
2022-07-12,Anhui_chi-zhou-shi,0.0
2022-07-13,Anhui_chi-zhou-shi,0.0
2022-07-14,Anhui_chi-zhou-shi,0.0
2022-07-15,Anhui_chi-zhou-shi,0.0
2022-07-16,Anhui_chi-zhou-shi,0.0
2022-07-17,Anhui_chi-zhou-shi,0.0
2022-07-18,Anhui_chi-zhou-shi,0.0
2022-07-19,Anhui_chi-zhou-shi,0.0
2022-07-20,Anhui_chi-zhou-shi,0.0
2022-07-21,Anhui_chi-zhou-shi,0.0
2022-07-22,Anhui_chi-zhou-shi,0.0
2022-07-23,Anhui_chi-zhou-shi,0.0
2022-07-24,Anhui_chi-zhou-shi,0.0
2022-07-25,Anhui_chi-zhou-shi,0.0
2022-07-26,Anhui_chi-zhou-shi,0.0
2022-07-27,Anhui_chi-zhou-shi,0.0
2022-07-28,Anhui_chi-zhou-shi,0.0
2022-07-29,Anhui_chi-zhou-shi,0.0
2022-07-30,Anhui_chi-zhou-shi,0.0
2022-07-31,Anhui_chi-zhou-shi,0.0
2022-08-01,Anhui_chi-zhou-shi,0.0
2022-08-02,Anhui_chi-zhou-shi,0.0
2022-08-03,Anhui_chi-zhou-shi,0.0
2022-08-04,Anhui_chi-zhou-shi,0.0
2022-08-05,Anhui_chi-zhou-shi,0.0
2022-08-06,Anhui_chi-zhou-shi,0.0
2022-08-07,Anhui_chi-zhou-shi,0.0
2022-08-08,Anhui_chi-zhou-shi,0.0
2022-08-09,Anhui_chi-zhou-shi,0.0
2022-08-10,Anhui_chi-zhou-shi,0.0
2022-08-11,Anhui_chi-zhou-shi,0.0
2022-08-12,Anhui_chi-zhou-shi,0.0
2022-08-13,Anhui_chi-zhou-shi,0.0
2022-08-14,Anhui_chi-zhou-shi,0.0
2022-08-15,Anhui_chi-zhou-shi,0.0
2022-08-16,Anhui_chi-zhou-shi,0.0
2022-08-17,Anhui_chi-zhou-shi,0.0
2022-08-18,Anhui_chi-zhou-shi,0.0
2022-08-19,Anhui_chi-zhou-shi,0.0
2022-08-20,Anhui_chi-zhou-shi,0.0
2022-08-21,Anhui_chi-zhou-shi,0.0
2022-08-22,Anhui_chi-zhou-shi,0.0
2022-08-23,Anhui_chi-zhou-shi,0.0
2022-08-24,Anhui_chi-zhou-shi,0.0
2022-08-25,Anhui_chi-zhou-shi,0.0
2022-08-26,Anhui_chi-zhou-shi,0.0
2022-08-27,Anhui_chi-zhou-shi,0.0
2022-08-28,Anhui_chi-zhou-shi,0.0
2022-08-29,Anhui_chi-zhou-shi,0.0
2022-08-30,Anhui_chi-zhou-shi,0.0
2022-08-31,Anhui_chi-zhou-shi,0.0
2022-09-01,Anhui_chi-zhou-shi,0.0
2022-09-02,Anhui_chi-zhou-shi,0.0
2022-09-03,Anhui_chi-zhou-shi,0.0
2022-09-04,Anhui_chi-zhou-shi,0.0
2022-09-05,Anhui_chi-zhou-shi,0.0
2022-09-06,Anhui_chi-zhou-shi,0.0
2022-09-07,Anhui_chi-zhou-shi,0.0
2022-09-08,Anhui_chi-zhou-shi,0.0
