date,city,cases
2022-07-01,Anhui_su-zhou-shi,134.0
2022-07-02,Anhui_su-zhou-shi,292.0
2022-07-03,Anhui_su-zhou-shi,287.0
2022-07-04,Anhui_su-zhou-shi,231.0
2022-07-05,Anhui_su-zhou-shi,220.0
2022-07-06,Anhui_su-zhou-shi,167.0
2022-07-07,Anhui_su-zhou-shi,157.0
2022-07-08,Anhui_su-zhou-shi,139.0
2022-07-09,Anhui_su-zhou-shi,82.0
2022-07-10,Anhui_su-zhou-shi,39.0
2022-07-11,Anhui_su-zhou-shi,24.0
2022-07-12,Anhui_su-zhou-shi,10.0
2022-07-13,Anhui_su-zhou-shi,0.0
2022-07-14,Anhui_su-zhou-shi,0.0
2022-07-15,Anhui_su-zhou-shi,0.0
2022-07-16,Anhui_su-zhou-shi,0.0
2022-07-17,Anhui_su-zhou-shi,0.0
2022-07-18,Anhui_su-zhou-shi,0.0
2022-07-19,Anhui_su-zhou-shi,2.0
2022-07-20,Anhui_su-zhou-shi,5.0
2022-07-21,Anhui_su-zhou-shi,3.0
2022-07-22,Anhui_su-zhou-shi,1.0
2022-07-23,Anhui_su-zhou-shi,7.0
2022-07-24,Anhui_su-zhou-shi,4.0
2022-07-25,Anhui_su-zhou-shi,0.0
2022-07-26,Anhui_su-zhou-shi,2.0
2022-07-27,Anhui_su-zhou-shi,2.0
2022-07-28,Anhui_su-zhou-shi,0.0
2022-07-29,Anhui_su-zhou-shi,0.0
2022-07-30,Anhui_su-zhou-shi,0.0
2022-07-31,Anhui_su-zhou-shi,0.0
2022-08-01,Anhui_su-zhou-shi,0.0
2022-08-02,Anhui_su-zhou-shi,0.0
2022-08-03,Anhui_su-zhou-shi,0.0
2022-08-04,Anhui_su-zhou-shi,0.0
2022-08-05,Anhui_su-zhou-shi,0.0
2022-08-06,Anhui_su-zhou-shi,0.0
2022-08-07,Anhui_su-zhou-shi,0.0
2022-08-08,Anhui_su-zhou-shi,0.0
2022-08-09,Anhui_su-zhou-shi,0.0
2022-08-10,Anhui_su-zhou-shi,0.0
2022-08-11,Anhui_su-zhou-shi,0.0
2022-08-12,Anhui_su-zhou-shi,0.0
2022-08-13,Anhui_su-zhou-shi,0.0
2022-08-14,Anhui_su-zhou-shi,0.0
2022-08-15,Anhui_su-zhou-shi,0.0
2022-08-16,Anhui_su-zhou-shi,0.0
2022-08-17,Anhui_su-zhou-shi,0.0
2022-08-18,Anhui_su-zhou-shi,0.0
2022-08-19,Anhui_su-zhou-shi,0.0
2022-08-20,Anhui_su-zhou-shi,0.0
2022-08-21,Anhui_su-zhou-shi,0.0
2022-08-22,Anhui_su-zhou-shi,0.0
2022-08-23,Anhui_su-zhou-shi,0.0
2022-08-24,Anhui_su-zhou-shi,0.0
2022-08-25,Anhui_su-zhou-shi,0.0
2022-08-26,Anhui_su-zhou-shi,0.0
2022-08-27,Anhui_su-zhou-shi,0.0
2022-08-28,Anhui_su-zhou-shi,1.0
2022-08-29,Anhui_su-zhou-shi,0.0
2022-08-30,Anhui_su-zhou-shi,1.0
2022-08-31,Anhui_su-zhou-shi,0.0
2022-09-01,Anhui_su-zhou-shi,0.0
2022-09-02,Anhui_su-zhou-shi,0.0
2022-09-03,Anhui_su-zhou-shi,0.0
2022-09-04,Anhui_su-zhou-shi,0.0
2022-09-05,Anhui_su-zhou-shi,0.0
2022-09-06,Anhui_su-zhou-shi,0.0
2022-09-07,Anhui_su-zhou-shi,0.0
2022-09-08,Anhui_su-zhou-shi,0.0
2022-09-09,Anhui_su-zhou-shi,0.0
2022-09-10,Anhui_su-zhou-shi,0.0
2022-09-11,Anhui_su-zhou-shi,0.0
2022-09-12,Anhui_su-zhou-shi,0.0
2022-09-13,Anhui_su-zhou-shi,0.0
2022-09-14,Anhui_su-zhou-shi,0.0
2022-09-15,Anhui_su-zhou-shi,0.0
2022-09-16,Anhui_su-zhou-shi,0.0
2022-09-17,Anhui_su-zhou-shi,0.0
2022-09-18,Anhui_su-zhou-shi,0.0
2022-09-19,Anhui_su-zhou-shi,0.0
2022-09-20,Anhui_su-zhou-shi,0.0
2022-09-21,Anhui_su-zhou-shi,0.0
2022-09-22,Anhui_su-zhou-shi,0.0
2022-09-23,Anhui_su-zhou-shi,0.0
2022-09-24,Anhui_su-zhou-shi,0.0
2022-09-25,Anhui_su-zhou-shi,0.0
2022-09-26,Anhui_su-zhou-shi,0.0
2022-09-27,Anhui_su-zhou-shi,0.0
2022-09-28,Anhui_su-zhou-shi,0.0
2022-09-29,Anhui_su-zhou-shi,0.0
2022-09-30,Anhui_su-zhou-shi,0.0
2022-10-01,Anhui_su-zhou-shi,0.0
2022-10-02,Anhui_su-zhou-shi,2.0
2022-10-03,Anhui_su-zhou-shi,0.0
2022-10-04,Anhui_su-zhou-shi,0.0
2022-10-05,Anhui_su-zhou-shi,0.0
2022-10-06,Anhui_su-zhou-shi,1.0
2022-10-07,Anhui_su-zhou-shi,3.0
2022-10-08,Anhui_su-zhou-shi,1.0
2022-10-09,Anhui_su-zhou-shi,3.0
2022-10-10,Anhui_su-zhou-shi,1.0
2022-10-11,Anhui_su-zhou-shi,3.0
2022-10-12,Anhui_su-zhou-shi,3.0
2022-10-13,Anhui_su-zhou-shi,2.0
2022-10-14,Anhui_su-zhou-shi,1.0
2022-10-15,Anhui_su-zhou-shi,0.0
2022-10-16,Anhui_su-zhou-shi,0.0
2022-10-17,Anhui_su-zhou-shi,0.0
2022-10-18,Anhui_su-zhou-shi,0.0
2022-10-19,Anhui_su-zhou-shi,0.0
2022-10-20,Anhui_su-zhou-shi,0.0
2022-10-21,Anhui_su-zhou-shi,0.0
2022-10-22,Anhui_su-zhou-shi,0.0
2022-10-23,Anhui_su-zhou-shi,0.0
2022-10-24,Anhui_su-zhou-shi,0.0
2022-10-25,Anhui_su-zhou-shi,0.0
2022-10-26,Anhui_su-zhou-shi,0.0
2022-10-27,Anhui_su-zhou-shi,0.0
2022-10-28,Anhui_su-zhou-shi,0.0
2022-10-29,Anhui_su-zhou-shi,0.0
2022-10-30,Anhui_su-zhou-shi,0.0
2022-10-31,Anhui_su-zhou-shi,0.0
2022-11-01,Anhui_su-zhou-shi,0.0
2022-11-02,Anhui_su-zhou-shi,0.0
2022-11-03,Anhui_su-zhou-shi,0.0
2022-11-04,Anhui_su-zhou-shi,0.0
2022-11-05,Anhui_su-zhou-shi,0.0
