date,city,cases
2022-07-01,Chongqing_zhong-qing-shi,0.0
2022-07-02,Chongqing_zhong-qing-shi,0.0
2022-07-03,Chongqing_zhong-qing-shi,0.0
2022-07-04,Chongqing_zhong-qing-shi,0.0
2022-07-05,Chongqing_zhong-qing-shi,0.0
2022-07-06,Chongqing_zhong-qing-shi,0.0
2022-07-07,Chongqing_zhong-qing-shi,0.0
2022-07-08,Chongqing_zhong-qing-shi,0.0
2022-07-09,Chongqing_zhong-qing-shi,0.0
2022-07-10,Chongqing_zhong-qing-shi,0.0
2022-07-11,Chongqing_zhong-qing-shi,0.0
2022-07-12,Chongqing_zhong-qing-shi,0.0
2022-07-13,Chongqing_zhong-qing-shi,1.0
2022-07-14,Chongqing_zhong-qing-shi,0.0
2022-07-15,Chongqing_zhong-qing-shi,1.0
2022-07-16,Chongqing_zhong-qing-shi,0.0
2022-07-17,Chongqing_zhong-qing-shi,0.0
2022-07-18,Chongqing_zhong-qing-shi,1.0
2022-07-19,Chongqing_zhong-qing-shi,0.0
2022-07-20,Chongqing_zhong-qing-shi,2.0
2022-07-21,Chongqing_zhong-qing-shi,6.0
2022-07-22,Chongqing_zhong-qing-shi,4.0
2022-07-23,Chongqing_zhong-qing-shi,4.0
2022-07-24,Chongqing_zhong-qing-shi,1.0
2022-07-25,Chongqing_zhong-qing-shi,3.0
2022-07-26,Chongqing_zhong-qing-shi,3.0
2022-07-27,Chongqing_zhong-qing-shi,0.0
2022-07-28,Chongqing_zhong-qing-shi,0.0
2022-07-29,Chongqing_zhong-qing-shi,0.0
2022-07-30,Chongqing_zhong-qing-shi,0.0
2022-07-31,Chongqing_zhong-qing-shi,0.0
2022-08-01,Chongqing_zhong-qing-shi,0.0
2022-08-02,Chongqing_zhong-qing-shi,0.0
2022-08-03,Chongqing_zhong-qing-shi,2.0
2022-08-04,Chongqing_zhong-qing-shi,12.0
2022-08-05,Chongqing_zhong-qing-shi,5.0
2022-08-06,Chongqing_zhong-qing-shi,7.0
2022-08-07,Chongqing_zhong-qing-shi,4.0
2022-08-08,Chongqing_zhong-qing-shi,4.0
2022-08-09,Chongqing_zhong-qing-shi,3.0
2022-08-10,Chongqing_zhong-qing-shi,4.0
2022-08-11,Chongqing_zhong-qing-shi,2.0
2022-08-12,Chongqing_zhong-qing-shi,7.0
2022-08-13,Chongqing_zhong-qing-shi,4.0
2022-08-14,Chongqing_zhong-qing-shi,3.0
2022-08-15,Chongqing_zhong-qing-shi,1.0
2022-08-16,Chongqing_zhong-qing-shi,3.0
2022-08-17,Chongqing_zhong-qing-shi,4.0
2022-08-18,Chongqing_zhong-qing-shi,12.0
2022-08-19,Chongqing_zhong-qing-shi,18.0
2022-08-20,Chongqing_zhong-qing-shi,12.0
2022-08-21,Chongqing_zhong-qing-shi,22.0
2022-08-22,Chongqing_zhong-qing-shi,31.0
2022-08-23,Chongqing_zhong-qing-shi,40.0
2022-08-24,Chongqing_zhong-qing-shi,43.0
2022-08-25,Chongqing_zhong-qing-shi,20.0
2022-08-26,Chongqing_zhong-qing-shi,33.0
2022-08-27,Chongqing_zhong-qing-shi,19.0
2022-08-28,Chongqing_zhong-qing-shi,28.0
2022-08-29,Chongqing_zhong-qing-shi,23.0
2022-08-30,Chongqing_zhong-qing-shi,12.0
2022-08-31,Chongqing_zhong-qing-shi,16.0
2022-09-01,Chongqing_zhong-qing-shi,10.0
2022-09-02,Chongqing_zhong-qing-shi,6.0
2022-09-03,Chongqing_zhong-qing-shi,2.0
2022-09-04,Chongqing_zhong-qing-shi,0.0
2022-09-05,Chongqing_zhong-qing-shi,2.0
2022-09-06,Chongqing_zhong-qing-shi,1.0
2022-09-07,Chongqing_zhong-qing-shi,0.0
2022-09-08,Chongqing_zhong-qing-shi,1.0
2022-09-09,Chongqing_zhong-qing-shi,2.0
2022-09-10,Chongqing_zhong-qing-shi,2.0
2022-09-11,Chongqing_zhong-qing-shi,2.0
2022-09-12,Chongqing_zhong-qing-shi,1.0
2022-09-13,Chongqing_zhong-qing-shi,1.0
2022-09-14,Chongqing_zhong-qing-shi,2.0
2022-09-15,Chongqing_zhong-qing-shi,4.0
2022-09-16,Chongqing_zhong-qing-shi,4.0
2022-09-17,Chongqing_zhong-qing-shi,2.0
2022-09-18,Chongqing_zhong-qing-shi,2.0
2022-09-19,Chongqing_zhong-qing-shi,1.0
2022-09-20,Chongqing_zhong-qing-shi,0.0
2022-09-21,Chongqing_zhong-qing-shi,5.0
2022-09-22,Chongqing_zhong-qing-shi,1.0
2022-09-23,Chongqing_zhong-qing-shi,0.0
2022-09-24,Chongqing_zhong-qing-shi,2.0
2022-09-25,Chongqing_zhong-qing-shi,2.0
2022-09-26,Chongqing_zhong-qing-shi,3.0
2022-09-27,Chongqing_zhong-qing-shi,1.0
2022-09-28,Chongqing_zhong-qing-shi,0.0
2022-09-29,Chongqing_zhong-qing-shi,1.0
2022-09-30,Chongqing_zhong-qing-shi,3.0
2022-10-01,Chongqing_zhong-qing-shi,1.0
2022-10-02,Chongqing_zhong-qing-shi,4.0
2022-10-03,Chongqing_zhong-qing-shi,6.0
2022-10-04,Chongqing_zhong-qing-shi,24.0
2022-10-05,Chongqing_zhong-qing-shi,37.0
2022-10-06,Chongqing_zhong-qing-shi,49.0
2022-10-07,Chongqing_zhong-qing-shi,40.0
2022-10-08,Chongqing_zhong-qing-shi,26.0
2022-10-09,Chongqing_zhong-qing-shi,27.0
2022-10-10,Chongqing_zhong-qing-shi,50.0
2022-10-11,Chongqing_zhong-qing-shi,44.0
2022-10-12,Chongqing_zhong-qing-shi,30.0
2022-10-13,Chongqing_zhong-qing-shi,24.0
2022-10-14,Chongqing_zhong-qing-shi,29.0
2022-10-15,Chongqing_zhong-qing-shi,12.0
2022-10-16,Chongqing_zhong-qing-shi,15.0
2022-10-17,Chongqing_zhong-qing-shi,10.0
2022-10-18,Chongqing_zhong-qing-shi,26.0
2022-10-19,Chongqing_zhong-qing-shi,25.0
2022-10-20,Chongqing_zhong-qing-shi,9.0
2022-10-21,Chongqing_zhong-qing-shi,7.0
2022-10-22,Chongqing_zhong-qing-shi,4.0
2022-10-23,Chongqing_zhong-qing-shi,9.0
2022-10-24,Chongqing_zhong-qing-shi,13.0
2022-10-25,Chongqing_zhong-qing-shi,19.0
2022-10-26,Chongqing_zhong-qing-shi,35.0
2022-10-27,Chongqing_zhong-qing-shi,29.0
2022-10-28,Chongqing_zhong-qing-shi,40.0
2022-10-29,Chongqing_zhong-qing-shi,23.0
2022-10-30,Chongqing_zhong-qing-shi,37.0
2022-10-31,Chongqing_zhong-qing-shi,13.0
2022-11-01,Chongqing_zhong-qing-shi,16.0
2022-11-02,Chongqing_zhong-qing-shi,17.0
2022-11-03,Chongqing_zhong-qing-shi,80.0
2022-11-04,Chongqing_zhong-qing-shi,80.0
2022-11-05,Chongqing_zhong-qing-shi,101.0
2022-11-06,Chongqing_zhong-qing-shi,126.0
2022-11-07,Chongqing_zhong-qing-shi,281.0
2022-11-08,Chongqing_zhong-qing-shi,490.0
2022-11-09,Chongqing_zhong-qing-shi,756.0
2022-11-10,Chongqing_zhong-qing-shi,783.0
2022-11-11,Chongqing_zhong-qing-shi,1241.0
2022-11-12,Chongqing_zhong-qing-shi,1820.0
2022-11-13,Chongqing_zhong-qing-shi,2297.0
2022-11-14,Chongqing_zhong-qing-shi,2951.0
2022-11-15,Chongqing_zhong-qing-shi,2814.0
2022-11-16,Chongqing_zhong-qing-shi,4072.0
2022-11-17,Chongqing_zhong-qing-shi,4666.0
2022-11-18,Chongqing_zhong-qing-shi,4744.0
2022-11-19,Chongqing_zhong-qing-shi,4710.0
2022-11-20,Chongqing_zhong-qing-shi,6129.0
2022-11-21,Chongqing_zhong-qing-shi,6335.0
2022-11-22,Chongqing_zhong-qing-shi,6943.0
2022-11-23,Chongqing_zhong-qing-shi,7846.0
2022-11-24,Chongqing_zhong-qing-shi,6500.0
2022-11-25,Chongqing_zhong-qing-shi,7721.0
2022-11-26,Chongqing_zhong-qing-shi,8861.0
2022-11-27,Chongqing_zhong-qing-shi,9685.0
2022-11-28,Chongqing_zhong-qing-shi,8792.0
2022-11-29,Chongqing_zhong-qing-shi,7833.0
2022-11-30,Chongqing_zhong-qing-shi,6639.0
2022-12-01,Chongqing_zhong-qing-shi,6536.0
2022-12-02,Chongqing_zhong-qing-shi,5845.0
2022-12-03,Chongqing_zhong-qing-shi,5372.0
2022-12-04,Chongqing_zhong-qing-shi,4822.0
2022-12-05,Chongqing_zhong-qing-shi,4168.0
2022-12-06,Chongqing_zhong-qing-shi,3765.0
2022-12-07,Chongqing_zhong-qing-shi,3161.0
2022-12-08,Chongqing_zhong-qing-shi,2767.0
2022-12-09,Chongqing_zhong-qing-shi,2488.0
2022-12-10,Chongqing_zhong-qing-shi,1987.0
2022-12-11,Chongqing_zhong-qing-shi,1845.0
2022-12-12,Chongqing_zhong-qing-shi,1578.0
2022-12-13,Chongqing_zhong-qing-shi,179.0
2022-12-14,Chongqing_zhong-qing-shi,143.0
2022-12-15,Chongqing_zhong-qing-shi,154.0
2022-12-16,Chongqing_zhong-qing-shi,178.0
2022-12-17,Chongqing_zhong-qing-shi,183.0
2022-12-18,Chongqing_zhong-qing-shi,198.0
2022-12-19,Chongqing_zhong-qing-shi,189.0
2022-12-20,Chongqing_zhong-qing-shi,0.0
