date,city,cases
2022-07-01,Gansu_bai-yin-shi,0.0
2022-07-02,Gansu_bai-yin-shi,0.0
2022-07-03,Gansu_bai-yin-shi,0.0
2022-07-04,Gansu_bai-yin-shi,0.0
2022-07-05,Gansu_bai-yin-shi,0.0
2022-07-06,Gansu_bai-yin-shi,0.0
2022-07-07,Gansu_bai-yin-shi,0.0
2022-07-08,Gansu_bai-yin-shi,0.0
2022-07-09,Gansu_bai-yin-shi,0.0
2022-07-10,Gansu_bai-yin-shi,1.0
2022-07-11,Gansu_bai-yin-shi,0.0
2022-07-12,Gansu_bai-yin-shi,3.0
2022-07-13,Gansu_bai-yin-shi,1.0
2022-07-14,Gansu_bai-yin-shi,6.0
2022-07-15,Gansu_bai-yin-shi,4.0
2022-07-16,Gansu_bai-yin-shi,5.0
2022-07-17,Gansu_bai-yin-shi,1.0
2022-07-18,Gansu_bai-yin-shi,2.0
2022-07-19,Gansu_bai-yin-shi,0.0
2022-07-20,Gansu_bai-yin-shi,3.0
2022-07-21,Gansu_bai-yin-shi,1.0
2022-07-22,Gansu_bai-yin-shi,0.0
2022-07-23,Gansu_bai-yin-shi,0.0
2022-07-24,Gansu_bai-yin-shi,0.0
2022-07-25,Gansu_bai-yin-shi,0.0
2022-07-26,Gansu_bai-yin-shi,0.0
2022-07-27,Gansu_bai-yin-shi,0.0
2022-07-28,Gansu_bai-yin-shi,2.0
2022-07-29,Gansu_bai-yin-shi,0.0
2022-07-30,Gansu_bai-yin-shi,0.0
2022-07-31,Gansu_bai-yin-shi,1.0
2022-08-01,Gansu_bai-yin-shi,1.0
2022-08-02,Gansu_bai-yin-shi,1.0
2022-08-03,Gansu_bai-yin-shi,0.0
2022-08-04,Gansu_bai-yin-shi,0.0
2022-08-05,Gansu_bai-yin-shi,0.0
2022-08-06,Gansu_bai-yin-shi,0.0
2022-08-07,Gansu_bai-yin-shi,0.0
2022-08-08,Gansu_bai-yin-shi,0.0
2022-08-09,Gansu_bai-yin-shi,0.0
2022-08-10,Gansu_bai-yin-shi,0.0
2022-08-11,Gansu_bai-yin-shi,0.0
2022-08-12,Gansu_bai-yin-shi,0.0
2022-08-13,Gansu_bai-yin-shi,0.0
2022-08-14,Gansu_bai-yin-shi,0.0
2022-08-15,Gansu_bai-yin-shi,0.0
2022-08-16,Gansu_bai-yin-shi,0.0
2022-08-17,Gansu_bai-yin-shi,0.0
2022-08-18,Gansu_bai-yin-shi,0.0
2022-08-19,Gansu_bai-yin-shi,0.0
2022-08-20,Gansu_bai-yin-shi,0.0
2022-08-21,Gansu_bai-yin-shi,0.0
2022-08-22,Gansu_bai-yin-shi,0.0
2022-08-23,Gansu_bai-yin-shi,0.0
2022-08-24,Gansu_bai-yin-shi,0.0
2022-08-25,Gansu_bai-yin-shi,0.0
2022-08-26,Gansu_bai-yin-shi,0.0
2022-08-27,Gansu_bai-yin-shi,0.0
2022-08-28,Gansu_bai-yin-shi,0.0
2022-08-29,Gansu_bai-yin-shi,0.0
2022-08-30,Gansu_bai-yin-shi,0.0
2022-08-31,Gansu_bai-yin-shi,0.0
2022-09-01,Gansu_bai-yin-shi,0.0
2022-09-02,Gansu_bai-yin-shi,0.0
2022-09-03,Gansu_bai-yin-shi,0.0
2022-09-04,Gansu_bai-yin-shi,0.0
2022-09-05,Gansu_bai-yin-shi,0.0
2022-09-06,Gansu_bai-yin-shi,0.0
2022-09-07,Gansu_bai-yin-shi,0.0
2022-09-08,Gansu_bai-yin-shi,0.0
2022-09-09,Gansu_bai-yin-shi,0.0
2022-09-10,Gansu_bai-yin-shi,0.0
2022-09-11,Gansu_bai-yin-shi,0.0
2022-09-12,Gansu_bai-yin-shi,0.0
2022-09-13,Gansu_bai-yin-shi,0.0
2022-09-14,Gansu_bai-yin-shi,0.0
2022-09-15,Gansu_bai-yin-shi,0.0
2022-09-16,Gansu_bai-yin-shi,0.0
2022-09-17,Gansu_bai-yin-shi,0.0
2022-09-18,Gansu_bai-yin-shi,0.0
2022-09-19,Gansu_bai-yin-shi,0.0
2022-09-20,Gansu_bai-yin-shi,0.0
2022-09-21,Gansu_bai-yin-shi,0.0
2022-09-22,Gansu_bai-yin-shi,1.0
2022-09-23,Gansu_bai-yin-shi,2.0
2022-09-24,Gansu_bai-yin-shi,2.0
2022-09-25,Gansu_bai-yin-shi,0.0
2022-09-26,Gansu_bai-yin-shi,2.0
2022-09-27,Gansu_bai-yin-shi,1.0
2022-09-28,Gansu_bai-yin-shi,0.0
2022-09-29,Gansu_bai-yin-shi,2.0
2022-09-30,Gansu_bai-yin-shi,0.0
2022-10-01,Gansu_bai-yin-shi,3.0
2022-10-02,Gansu_bai-yin-shi,0.0
2022-10-03,Gansu_bai-yin-shi,1.0
2022-10-04,Gansu_bai-yin-shi,0.0
2022-10-05,Gansu_bai-yin-shi,2.0
2022-10-06,Gansu_bai-yin-shi,4.0
2022-10-07,Gansu_bai-yin-shi,0.0
2022-10-08,Gansu_bai-yin-shi,5.0
2022-10-09,Gansu_bai-yin-shi,1.0
2022-10-10,Gansu_bai-yin-shi,0.0
2022-10-11,Gansu_bai-yin-shi,0.0
2022-10-12,Gansu_bai-yin-shi,0.0
2022-10-13,Gansu_bai-yin-shi,0.0
2022-10-14,Gansu_bai-yin-shi,2.0
2022-10-15,Gansu_bai-yin-shi,0.0
2022-10-16,Gansu_bai-yin-shi,0.0
2022-10-17,Gansu_bai-yin-shi,0.0
