date,city,cases
2022-07-01,Gansu_lan-zhou-shi,0.0
2022-07-02,Gansu_lan-zhou-shi,0.0
2022-07-03,Gansu_lan-zhou-shi,0.0
2022-07-04,Gansu_lan-zhou-shi,0.0
2022-07-05,Gansu_lan-zhou-shi,0.0
2022-07-06,Gansu_lan-zhou-shi,0.0
2022-07-07,Gansu_lan-zhou-shi,0.0
2022-07-08,Gansu_lan-zhou-shi,5.0
2022-07-09,Gansu_lan-zhou-shi,13.0
2022-07-10,Gansu_lan-zhou-shi,26.0
2022-07-11,Gansu_lan-zhou-shi,17.0
2022-07-12,Gansu_lan-zhou-shi,61.0
2022-07-13,Gansu_lan-zhou-shi,86.0
2022-07-14,Gansu_lan-zhou-shi,46.0
2022-07-15,Gansu_lan-zhou-shi,88.0
2022-07-16,Gansu_lan-zhou-shi,121.0
2022-07-17,Gansu_lan-zhou-shi,152.0
2022-07-18,Gansu_lan-zhou-shi,182.0
2022-07-19,Gansu_lan-zhou-shi,228.0
2022-07-20,Gansu_lan-zhou-shi,232.0
2022-07-21,Gansu_lan-zhou-shi,252.0
2022-07-22,Gansu_lan-zhou-shi,195.0
2022-07-23,Gansu_lan-zhou-shi,169.0
2022-07-24,Gansu_lan-zhou-shi,120.0
2022-07-25,Gansu_lan-zhou-shi,113.0
2022-07-26,Gansu_lan-zhou-shi,80.0
2022-07-27,Gansu_lan-zhou-shi,56.0
2022-07-28,Gansu_lan-zhou-shi,33.0
2022-07-29,Gansu_lan-zhou-shi,35.0
2022-07-30,Gansu_lan-zhou-shi,13.0
2022-07-31,Gansu_lan-zhou-shi,13.0
2022-08-01,Gansu_lan-zhou-shi,8.0
2022-08-02,Gansu_lan-zhou-shi,10.0
2022-08-03,Gansu_lan-zhou-shi,3.0
2022-08-04,Gansu_lan-zhou-shi,2.0
2022-08-05,Gansu_lan-zhou-shi,0.0
2022-08-06,Gansu_lan-zhou-shi,0.0
2022-08-07,Gansu_lan-zhou-shi,0.0
2022-08-08,Gansu_lan-zhou-shi,0.0
2022-08-09,Gansu_lan-zhou-shi,0.0
2022-08-10,Gansu_lan-zhou-shi,0.0
2022-08-11,Gansu_lan-zhou-shi,0.0
2022-08-12,Gansu_lan-zhou-shi,0.0
2022-08-13,Gansu_lan-zhou-shi,0.0
2022-08-14,Gansu_lan-zhou-shi,0.0
2022-08-15,Gansu_lan-zhou-shi,1.0
2022-08-16,Gansu_lan-zhou-shi,1.0
2022-08-17,Gansu_lan-zhou-shi,1.0
2022-08-18,Gansu_lan-zhou-shi,1.0
2022-08-19,Gansu_lan-zhou-shi,3.0
2022-08-20,Gansu_lan-zhou-shi,4.0
2022-08-21,Gansu_lan-zhou-shi,1.0
2022-08-22,Gansu_lan-zhou-shi,3.0
2022-08-23,Gansu_lan-zhou-shi,0.0
2022-08-24,Gansu_lan-zhou-shi,0.0
2022-08-25,Gansu_lan-zhou-shi,3.0
2022-08-26,Gansu_lan-zhou-shi,3.0
2022-08-27,Gansu_lan-zhou-shi,4.0
2022-08-28,Gansu_lan-zhou-shi,9.0
2022-08-29,Gansu_lan-zhou-shi,8.0
2022-08-30,Gansu_lan-zhou-shi,9.0
2022-08-31,Gansu_lan-zhou-shi,3.0
2022-09-01,Gansu_lan-zhou-shi,0.0
2022-09-02,Gansu_lan-zhou-shi,0.0
2022-09-03,Gansu_lan-zhou-shi,2.0
2022-09-04,Gansu_lan-zhou-shi,0.0
2022-09-05,Gansu_lan-zhou-shi,0.0
2022-09-06,Gansu_lan-zhou-shi,0.0
2022-09-07,Gansu_lan-zhou-shi,0.0
2022-09-08,Gansu_lan-zhou-shi,0.0
2022-09-09,Gansu_lan-zhou-shi,3.0
2022-09-10,Gansu_lan-zhou-shi,7.0
2022-09-11,Gansu_lan-zhou-shi,4.0
2022-09-12,Gansu_lan-zhou-shi,9.0
2022-09-13,Gansu_lan-zhou-shi,7.0
2022-09-14,Gansu_lan-zhou-shi,7.0
2022-09-15,Gansu_lan-zhou-shi,2.0
2022-09-16,Gansu_lan-zhou-shi,2.0
2022-09-17,Gansu_lan-zhou-shi,0.0
2022-09-18,Gansu_lan-zhou-shi,0.0
2022-09-19,Gansu_lan-zhou-shi,0.0
2022-09-20,Gansu_lan-zhou-shi,1.0
2022-09-21,Gansu_lan-zhou-shi,3.0
2022-09-22,Gansu_lan-zhou-shi,0.0
2022-09-23,Gansu_lan-zhou-shi,1.0
2022-09-24,Gansu_lan-zhou-shi,0.0
2022-09-25,Gansu_lan-zhou-shi,0.0
2022-09-26,Gansu_lan-zhou-shi,1.0
2022-09-27,Gansu_lan-zhou-shi,0.0
2022-09-28,Gansu_lan-zhou-shi,1.0
2022-09-29,Gansu_lan-zhou-shi,5.0
2022-09-30,Gansu_lan-zhou-shi,3.0
2022-10-01,Gansu_lan-zhou-shi,1.0
2022-10-02,Gansu_lan-zhou-shi,3.0
2022-10-03,Gansu_lan-zhou-shi,5.0
2022-10-04,Gansu_lan-zhou-shi,6.0
2022-10-05,Gansu_lan-zhou-shi,4.0
2022-10-06,Gansu_lan-zhou-shi,1.0
2022-10-07,Gansu_lan-zhou-shi,14.0
2022-10-08,Gansu_lan-zhou-shi,53.0
2022-10-09,Gansu_lan-zhou-shi,67.0
2022-10-10,Gansu_lan-zhou-shi,51.0
2022-10-11,Gansu_lan-zhou-shi,39.0
2022-10-12,Gansu_lan-zhou-shi,19.0
2022-10-13,Gansu_lan-zhou-shi,5.0
2022-10-14,Gansu_lan-zhou-shi,1.0
2022-10-15,Gansu_lan-zhou-shi,5.0
2022-10-16,Gansu_lan-zhou-shi,2.0
2022-10-17,Gansu_lan-zhou-shi,8.0
2022-10-18,Gansu_lan-zhou-shi,2.0
2022-10-19,Gansu_lan-zhou-shi,8.0
2022-10-20,Gansu_lan-zhou-shi,10.0
2022-10-21,Gansu_lan-zhou-shi,7.0
2022-10-22,Gansu_lan-zhou-shi,5.0
2022-10-23,Gansu_lan-zhou-shi,8.0
2022-10-24,Gansu_lan-zhou-shi,12.0
2022-10-25,Gansu_lan-zhou-shi,8.0
2022-10-26,Gansu_lan-zhou-shi,19.0
2022-10-27,Gansu_lan-zhou-shi,13.0
2022-10-28,Gansu_lan-zhou-shi,42.0
2022-10-29,Gansu_lan-zhou-shi,52.0
2022-10-30,Gansu_lan-zhou-shi,34.0
2022-10-31,Gansu_lan-zhou-shi,34.0
2022-11-01,Gansu_lan-zhou-shi,51.0
2022-11-02,Gansu_lan-zhou-shi,50.0
2022-11-03,Gansu_lan-zhou-shi,63.0
2022-11-04,Gansu_lan-zhou-shi,54.0
2022-11-05,Gansu_lan-zhou-shi,57.0
2022-11-06,Gansu_lan-zhou-shi,47.0
2022-11-07,Gansu_lan-zhou-shi,75.0
2022-11-08,Gansu_lan-zhou-shi,133.0
2022-11-09,Gansu_lan-zhou-shi,199.0
2022-11-10,Gansu_lan-zhou-shi,204.0
2022-11-11,Gansu_lan-zhou-shi,342.0
2022-11-12,Gansu_lan-zhou-shi,582.0
