date,city,cases
2022-07-01,Guangdong_shen-zhen-shi,1.0
2022-07-02,Guangdong_shen-zhen-shi,0.0
2022-07-03,Guangdong_shen-zhen-shi,0.0
2022-07-04,Guangdong_shen-zhen-shi,1.0
2022-07-05,Guangdong_shen-zhen-shi,0.0
2022-07-06,Guangdong_shen-zhen-shi,2.0
2022-07-07,Guangdong_shen-zhen-shi,6.0
2022-07-08,Guangdong_shen-zhen-shi,1.0
2022-07-09,Guangdong_shen-zhen-shi,3.0
2022-07-10,Guangdong_shen-zhen-shi,3.0
2022-07-11,Guangdong_shen-zhen-shi,4.0
2022-07-12,Guangdong_shen-zhen-shi,2.0
2022-07-13,Guangdong_shen-zhen-shi,3.0
2022-07-14,Guangdong_shen-zhen-shi,2.0
2022-07-15,Guangdong_shen-zhen-shi,5.0
2022-07-16,Guangdong_shen-zhen-shi,4.0
2022-07-17,Guangdong_shen-zhen-shi,9.0
2022-07-18,Guangdong_shen-zhen-shi,8.0
2022-07-19,Guangdong_shen-zhen-shi,19.0
2022-07-20,Guangdong_shen-zhen-shi,22.0
2022-07-21,Guangdong_shen-zhen-shi,20.0
2022-07-22,Guangdong_shen-zhen-shi,31.0
2022-07-23,Guangdong_shen-zhen-shi,20.0
2022-07-24,Guangdong_shen-zhen-shi,22.0
2022-07-25,Guangdong_shen-zhen-shi,20.0
2022-07-26,Guangdong_shen-zhen-shi,5.0
2022-07-27,Guangdong_shen-zhen-shi,12.0
2022-07-28,Guangdong_shen-zhen-shi,4.0
2022-07-29,Guangdong_shen-zhen-shi,3.0
2022-07-30,Guangdong_shen-zhen-shi,3.0
2022-07-31,Guangdong_shen-zhen-shi,1.0
2022-08-01,Guangdong_shen-zhen-shi,1.0
2022-08-02,Guangdong_shen-zhen-shi,1.0
2022-08-03,Guangdong_shen-zhen-shi,0.0
2022-08-04,Guangdong_shen-zhen-shi,0.0
2022-08-05,Guangdong_shen-zhen-shi,0.0
2022-08-06,Guangdong_shen-zhen-shi,0.0
2022-08-07,Guangdong_shen-zhen-shi,0.0
2022-08-08,Guangdong_shen-zhen-shi,0.0
2022-08-09,Guangdong_shen-zhen-shi,0.0
2022-08-10,Guangdong_shen-zhen-shi,0.0
2022-08-11,Guangdong_shen-zhen-shi,1.0
2022-08-12,Guangdong_shen-zhen-shi,3.0
