date,city,cases
2022-07-01,Guangxi_nan-ning-shi,0.0
2022-07-02,Guangxi_nan-ning-shi,0.0
2022-07-03,Guangxi_nan-ning-shi,0.0
2022-07-04,Guangxi_nan-ning-shi,0.0
2022-07-05,Guangxi_nan-ning-shi,0.0
2022-07-06,Guangxi_nan-ning-shi,0.0
2022-07-07,Guangxi_nan-ning-shi,0.0
2022-07-08,Guangxi_nan-ning-shi,0.0
2022-07-09,Guangxi_nan-ning-shi,0.0
2022-07-10,Guangxi_nan-ning-shi,0.0
2022-07-11,Guangxi_nan-ning-shi,0.0
2022-07-12,Guangxi_nan-ning-shi,0.0
2022-07-13,Guangxi_nan-ning-shi,1.0
2022-07-14,Guangxi_nan-ning-shi,2.0
2022-07-15,Guangxi_nan-ning-shi,6.0
2022-07-16,Guangxi_nan-ning-shi,2.0
2022-07-17,Guangxi_nan-ning-shi,1.0
2022-07-18,Guangxi_nan-ning-shi,1.0
2022-07-19,Guangxi_nan-ning-shi,2.0
2022-07-20,Guangxi_nan-ning-shi,0.0
2022-07-21,Guangxi_nan-ning-shi,2.0
2022-07-22,Guangxi_nan-ning-shi,0.0
2022-07-23,Guangxi_nan-ning-shi,0.0
2022-07-24,Guangxi_nan-ning-shi,0.0
2022-07-25,Guangxi_nan-ning-shi,1.0
2022-07-26,Guangxi_nan-ning-shi,1.0
2022-07-27,Guangxi_nan-ning-shi,0.0
2022-07-28,Guangxi_nan-ning-shi,1.0
2022-07-29,Guangxi_nan-ning-shi,0.0
2022-07-30,Guangxi_nan-ning-shi,1.0
2022-07-31,Guangxi_nan-ning-shi,0.0
2022-08-01,Guangxi_nan-ning-shi,4.0
2022-08-02,Guangxi_nan-ning-shi,1.0
2022-08-03,Guangxi_nan-ning-shi,1.0
2022-08-04,Guangxi_nan-ning-shi,1.0
2022-08-05,Guangxi_nan-ning-shi,0.0
2022-08-06,Guangxi_nan-ning-shi,0.0
2022-08-07,Guangxi_nan-ning-shi,0.0
2022-08-08,Guangxi_nan-ning-shi,0.0
2022-08-09,Guangxi_nan-ning-shi,0.0
