date,city,cases
2022-07-01,Hainan_le-dong-xian,0.0
2022-07-02,Hainan_le-dong-xian,0.0
2022-07-03,Hainan_le-dong-xian,0.0
2022-07-04,Hainan_le-dong-xian,0.0
2022-07-05,Hainan_le-dong-xian,0.0
2022-07-06,Hainan_le-dong-xian,0.0
2022-07-07,Hainan_le-dong-xian,0.0
2022-07-08,Hainan_le-dong-xian,0.0
2022-07-09,Hainan_le-dong-xian,0.0
2022-07-10,Hainan_le-dong-xian,0.0
2022-07-11,Hainan_le-dong-xian,0.0
2022-07-12,Hainan_le-dong-xian,0.0
2022-07-13,Hainan_le-dong-xian,0.0
2022-07-14,Hainan_le-dong-xian,0.0
2022-07-15,Hainan_le-dong-xian,0.0
2022-07-16,Hainan_le-dong-xian,0.0
2022-07-17,Hainan_le-dong-xian,0.0
2022-07-18,Hainan_le-dong-xian,0.0
2022-07-19,Hainan_le-dong-xian,0.0
2022-07-20,Hainan_le-dong-xian,0.0
2022-07-21,Hainan_le-dong-xian,0.0
2022-07-22,Hainan_le-dong-xian,0.0
2022-07-23,Hainan_le-dong-xian,0.0
2022-07-24,Hainan_le-dong-xian,0.0
2022-07-25,Hainan_le-dong-xian,0.0
2022-07-26,Hainan_le-dong-xian,0.0
2022-07-27,Hainan_le-dong-xian,0.0
2022-07-28,Hainan_le-dong-xian,0.0
2022-07-29,Hainan_le-dong-xian,0.0
2022-07-30,Hainan_le-dong-xian,0.0
2022-07-31,Hainan_le-dong-xian,0.0
2022-08-01,Hainan_le-dong-xian,0.0
2022-08-02,Hainan_le-dong-xian,0.0
2022-08-03,Hainan_le-dong-xian,0.0
2022-08-04,Hainan_le-dong-xian,1.0
2022-08-05,Hainan_le-dong-xian,5.0
2022-08-06,Hainan_le-dong-xian,3.0
2022-08-07,Hainan_le-dong-xian,2.0
2022-08-08,Hainan_le-dong-xian,8.0
2022-08-09,Hainan_le-dong-xian,7.0
2022-08-10,Hainan_le-dong-xian,4.0
2022-08-11,Hainan_le-dong-xian,19.0
2022-08-12,Hainan_le-dong-xian,25.0
2022-08-13,Hainan_le-dong-xian,32.0
2022-08-14,Hainan_le-dong-xian,223.0
2022-08-15,Hainan_le-dong-xian,97.0
2022-08-16,Hainan_le-dong-xian,190.0
2022-08-17,Hainan_le-dong-xian,216.0
2022-08-18,Hainan_le-dong-xian,248.0
2022-08-19,Hainan_le-dong-xian,76.0
2022-08-20,Hainan_le-dong-xian,36.0
2022-08-21,Hainan_le-dong-xian,47.0
2022-08-22,Hainan_le-dong-xian,69.0
2022-08-23,Hainan_le-dong-xian,35.0
2022-08-24,Hainan_le-dong-xian,25.0
2022-08-25,Hainan_le-dong-xian,19.0
2022-08-26,Hainan_le-dong-xian,19.0
2022-08-27,Hainan_le-dong-xian,11.0
2022-08-28,Hainan_le-dong-xian,4.0
2022-08-29,Hainan_le-dong-xian,2.0
2022-08-30,Hainan_le-dong-xian,2.0
2022-08-31,Hainan_le-dong-xian,16.0
2022-09-01,Hainan_le-dong-xian,2.0
2022-09-02,Hainan_le-dong-xian,3.0
2022-09-03,Hainan_le-dong-xian,0.0
2022-09-04,Hainan_le-dong-xian,2.0
2022-09-05,Hainan_le-dong-xian,0.0
2022-09-06,Hainan_le-dong-xian,1.0
2022-09-07,Hainan_le-dong-xian,0.0
2022-09-08,Hainan_le-dong-xian,0.0
2022-09-09,Hainan_le-dong-xian,0.0
2022-09-10,Hainan_le-dong-xian,0.0
2022-09-11,Hainan_le-dong-xian,0.0
2022-09-12,Hainan_le-dong-xian,0.0
2022-09-13,Hainan_le-dong-xian,0.0
2022-09-14,Hainan_le-dong-xian,0.0
2022-09-15,Hainan_le-dong-xian,0.0
2022-09-16,Hainan_le-dong-xian,0.0
