date,city,cases
2022-07-01,Hainan_lin-gao-xian,0.0
2022-07-02,Hainan_lin-gao-xian,0.0
2022-07-03,Hainan_lin-gao-xian,0.0
2022-07-04,Hainan_lin-gao-xian,0.0
2022-07-05,Hainan_lin-gao-xian,0.0
2022-07-06,Hainan_lin-gao-xian,0.0
2022-07-07,Hainan_lin-gao-xian,0.0
2022-07-08,Hainan_lin-gao-xian,0.0
2022-07-09,Hainan_lin-gao-xian,0.0
2022-07-10,Hainan_lin-gao-xian,0.0
2022-07-11,Hainan_lin-gao-xian,0.0
2022-07-12,Hainan_lin-gao-xian,0.0
2022-07-13,Hainan_lin-gao-xian,0.0
2022-07-14,Hainan_lin-gao-xian,0.0
2022-07-15,Hainan_lin-gao-xian,0.0
2022-07-16,Hainan_lin-gao-xian,0.0
2022-07-17,Hainan_lin-gao-xian,0.0
2022-07-18,Hainan_lin-gao-xian,0.0
2022-07-19,Hainan_lin-gao-xian,0.0
2022-07-20,Hainan_lin-gao-xian,0.0
2022-07-21,Hainan_lin-gao-xian,0.0
2022-07-22,Hainan_lin-gao-xian,0.0
2022-07-23,Hainan_lin-gao-xian,0.0
2022-07-24,Hainan_lin-gao-xian,0.0
2022-07-25,Hainan_lin-gao-xian,0.0
2022-07-26,Hainan_lin-gao-xian,0.0
2022-07-27,Hainan_lin-gao-xian,0.0
2022-07-28,Hainan_lin-gao-xian,0.0
2022-07-29,Hainan_lin-gao-xian,0.0
2022-07-30,Hainan_lin-gao-xian,0.0
2022-07-31,Hainan_lin-gao-xian,0.0
2022-08-01,Hainan_lin-gao-xian,0.0
2022-08-02,Hainan_lin-gao-xian,0.0
2022-08-03,Hainan_lin-gao-xian,1.0
2022-08-04,Hainan_lin-gao-xian,2.0
2022-08-05,Hainan_lin-gao-xian,3.0
2022-08-06,Hainan_lin-gao-xian,10.0
2022-08-07,Hainan_lin-gao-xian,3.0
2022-08-08,Hainan_lin-gao-xian,5.0
2022-08-09,Hainan_lin-gao-xian,31.0
2022-08-10,Hainan_lin-gao-xian,14.0
2022-08-11,Hainan_lin-gao-xian,10.0
2022-08-12,Hainan_lin-gao-xian,26.0
2022-08-13,Hainan_lin-gao-xian,26.0
2022-08-14,Hainan_lin-gao-xian,21.0
2022-08-15,Hainan_lin-gao-xian,85.0
2022-08-16,Hainan_lin-gao-xian,28.0
2022-08-17,Hainan_lin-gao-xian,15.0
2022-08-18,Hainan_lin-gao-xian,20.0
2022-08-19,Hainan_lin-gao-xian,9.0
2022-08-20,Hainan_lin-gao-xian,13.0
2022-08-21,Hainan_lin-gao-xian,7.0
2022-08-22,Hainan_lin-gao-xian,6.0
2022-08-23,Hainan_lin-gao-xian,3.0
2022-08-24,Hainan_lin-gao-xian,1.0
2022-08-25,Hainan_lin-gao-xian,3.0
2022-08-26,Hainan_lin-gao-xian,0.0
2022-08-27,Hainan_lin-gao-xian,0.0
2022-08-28,Hainan_lin-gao-xian,2.0
2022-08-29,Hainan_lin-gao-xian,0.0
2022-08-30,Hainan_lin-gao-xian,0.0
2022-08-31,Hainan_lin-gao-xian,0.0
2022-09-01,Hainan_lin-gao-xian,0.0
2022-09-02,Hainan_lin-gao-xian,0.0
2022-09-03,Hainan_lin-gao-xian,0.0
2022-09-04,Hainan_lin-gao-xian,0.0
2022-09-05,Hainan_lin-gao-xian,0.0
2022-09-06,Hainan_lin-gao-xian,0.0
2022-09-07,Hainan_lin-gao-xian,0.0
2022-09-08,Hainan_lin-gao-xian,0.0
2022-09-09,Hainan_lin-gao-xian,0.0
2022-09-10,Hainan_lin-gao-xian,0.0
2022-09-11,Hainan_lin-gao-xian,0.0
2022-09-12,Hainan_lin-gao-xian,0.0
2022-09-13,Hainan_lin-gao-xian,0.0
2022-09-14,Hainan_lin-gao-xian,0.0
2022-09-15,Hainan_lin-gao-xian,0.0
2022-09-16,Hainan_lin-gao-xian,0.0
2022-09-17,Hainan_lin-gao-xian,0.0
2022-09-18,Hainan_lin-gao-xian,0.0
2022-09-19,Hainan_lin-gao-xian,0.0
2022-09-20,Hainan_lin-gao-xian,0.0
2022-09-21,Hainan_lin-gao-xian,0.0
2022-09-22,Hainan_lin-gao-xian,0.0
2022-09-23,Hainan_lin-gao-xian,0.0
2022-09-24,Hainan_lin-gao-xian,0.0
2022-09-25,Hainan_lin-gao-xian,0.0
2022-09-26,Hainan_lin-gao-xian,0.0
2022-09-27,Hainan_lin-gao-xian,0.0
2022-09-28,Hainan_lin-gao-xian,0.0
2022-09-29,Hainan_lin-gao-xian,0.0
2022-09-30,Hainan_lin-gao-xian,0.0
2022-10-01,Hainan_lin-gao-xian,0.0
2022-10-02,Hainan_lin-gao-xian,0.0
2022-10-03,Hainan_lin-gao-xian,0.0
2022-10-04,Hainan_lin-gao-xian,0.0
2022-10-05,Hainan_lin-gao-xian,0.0
2022-10-06,Hainan_lin-gao-xian,0.0
2022-10-07,Hainan_lin-gao-xian,0.0
2022-10-08,Hainan_lin-gao-xian,0.0
2022-10-09,Hainan_lin-gao-xian,0.0
2022-10-10,Hainan_lin-gao-xian,0.0
2022-10-11,Hainan_lin-gao-xian,0.0
2022-10-12,Hainan_lin-gao-xian,0.0
2022-10-13,Hainan_lin-gao-xian,0.0
2022-10-14,Hainan_lin-gao-xian,0.0
2022-10-15,Hainan_lin-gao-xian,0.0
2022-10-16,Hainan_lin-gao-xian,0.0
2022-10-17,Hainan_lin-gao-xian,0.0
2022-10-18,Hainan_lin-gao-xian,0.0
2022-10-19,Hainan_lin-gao-xian,0.0
2022-10-20,Hainan_lin-gao-xian,0.0
2022-10-21,Hainan_lin-gao-xian,0.0
2022-10-22,Hainan_lin-gao-xian,0.0
2022-10-23,Hainan_lin-gao-xian,0.0
2022-10-24,Hainan_lin-gao-xian,0.0
2022-10-25,Hainan_lin-gao-xian,0.0
2022-10-26,Hainan_lin-gao-xian,0.0
2022-10-27,Hainan_lin-gao-xian,0.0
2022-10-28,Hainan_lin-gao-xian,0.0
2022-10-29,Hainan_lin-gao-xian,0.0
2022-10-30,Hainan_lin-gao-xian,0.0
2022-10-31,Hainan_lin-gao-xian,0.0
2022-11-01,Hainan_lin-gao-xian,0.0
2022-11-02,Hainan_lin-gao-xian,0.0
2022-11-03,Hainan_lin-gao-xian,0.0
2022-11-04,Hainan_lin-gao-xian,0.0
2022-11-05,Hainan_lin-gao-xian,0.0
2022-11-06,Hainan_lin-gao-xian,0.0
2022-11-07,Hainan_lin-gao-xian,0.0
2022-11-08,Hainan_lin-gao-xian,0.0
2022-11-09,Hainan_lin-gao-xian,0.0
2022-11-10,Hainan_lin-gao-xian,0.0
2022-11-11,Hainan_lin-gao-xian,0.0
2022-11-12,Hainan_lin-gao-xian,0.0
2022-11-13,Hainan_lin-gao-xian,0.0
2022-11-14,Hainan_lin-gao-xian,0.0
2022-11-15,Hainan_lin-gao-xian,0.0
2022-11-16,Hainan_lin-gao-xian,0.0
2022-11-17,Hainan_lin-gao-xian,0.0
2022-11-18,Hainan_lin-gao-xian,0.0
2022-11-19,Hainan_lin-gao-xian,0.0
2022-11-20,Hainan_lin-gao-xian,0.0
2022-11-21,Hainan_lin-gao-xian,0.0
2022-11-22,Hainan_lin-gao-xian,0.0
2022-11-23,Hainan_lin-gao-xian,0.0
2022-11-24,Hainan_lin-gao-xian,0.0
2022-11-25,Hainan_lin-gao-xian,0.0
2022-11-26,Hainan_lin-gao-xian,0.0
2022-11-27,Hainan_lin-gao-xian,0.0
2022-11-28,Hainan_lin-gao-xian,0.0
2022-11-29,Hainan_lin-gao-xian,0.0
2022-11-30,Hainan_lin-gao-xian,0.0
2022-12-01,Hainan_lin-gao-xian,0.0
2022-12-02,Hainan_lin-gao-xian,0.0
2022-12-03,Hainan_lin-gao-xian,0.0
2022-12-04,Hainan_lin-gao-xian,0.0
2022-12-05,Hainan_lin-gao-xian,0.0
2022-12-06,Hainan_lin-gao-xian,0.0
2022-12-07,Hainan_lin-gao-xian,0.0
2022-12-08,Hainan_lin-gao-xian,0.0
2022-12-09,Hainan_lin-gao-xian,0.0
2022-12-10,Hainan_lin-gao-xian,0.0
2022-12-11,Hainan_lin-gao-xian,0.0
2022-12-12,Hainan_lin-gao-xian,0.0
2022-12-13,Hainan_lin-gao-xian,0.0
2022-12-14,Hainan_lin-gao-xian,0.0
2022-12-15,Hainan_lin-gao-xian,0.0
2022-12-16,Hainan_lin-gao-xian,0.0
2022-12-17,Hainan_lin-gao-xian,0.0
2022-12-18,Hainan_lin-gao-xian,0.0
2022-12-19,Hainan_lin-gao-xian,0.0
2022-12-20,Hainan_lin-gao-xian,0.0
