date,city,cases
2022-07-01,Hainan_wan-ning-shi,0.0
2022-07-02,Hainan_wan-ning-shi,0.0
2022-07-03,Hainan_wan-ning-shi,0.0
2022-07-04,Hainan_wan-ning-shi,0.0
2022-07-05,Hainan_wan-ning-shi,0.0
2022-07-06,Hainan_wan-ning-shi,0.0
2022-07-07,Hainan_wan-ning-shi,0.0
2022-07-08,Hainan_wan-ning-shi,0.0
2022-07-09,Hainan_wan-ning-shi,0.0
2022-07-10,Hainan_wan-ning-shi,0.0
2022-07-11,Hainan_wan-ning-shi,0.0
2022-07-12,Hainan_wan-ning-shi,0.0
2022-07-13,Hainan_wan-ning-shi,0.0
2022-07-14,Hainan_wan-ning-shi,0.0
2022-07-15,Hainan_wan-ning-shi,0.0
2022-07-16,Hainan_wan-ning-shi,0.0
2022-07-17,Hainan_wan-ning-shi,0.0
2022-07-18,Hainan_wan-ning-shi,0.0
2022-07-19,Hainan_wan-ning-shi,0.0
2022-07-20,Hainan_wan-ning-shi,0.0
2022-07-21,Hainan_wan-ning-shi,0.0
2022-07-22,Hainan_wan-ning-shi,0.0
2022-07-23,Hainan_wan-ning-shi,0.0
2022-07-24,Hainan_wan-ning-shi,0.0
2022-07-25,Hainan_wan-ning-shi,0.0
2022-07-26,Hainan_wan-ning-shi,0.0
2022-07-27,Hainan_wan-ning-shi,0.0
2022-07-28,Hainan_wan-ning-shi,0.0
2022-07-29,Hainan_wan-ning-shi,0.0
2022-07-30,Hainan_wan-ning-shi,0.0
2022-07-31,Hainan_wan-ning-shi,0.0
2022-08-01,Hainan_wan-ning-shi,0.0
2022-08-02,Hainan_wan-ning-shi,0.0
2022-08-03,Hainan_wan-ning-shi,0.0
2022-08-04,Hainan_wan-ning-shi,0.0
2022-08-05,Hainan_wan-ning-shi,0.0
2022-08-06,Hainan_wan-ning-shi,10.0
2022-08-07,Hainan_wan-ning-shi,9.0
2022-08-08,Hainan_wan-ning-shi,9.0
2022-08-09,Hainan_wan-ning-shi,12.0
2022-08-10,Hainan_wan-ning-shi,19.0
2022-08-11,Hainan_wan-ning-shi,16.0
2022-08-12,Hainan_wan-ning-shi,38.0
2022-08-13,Hainan_wan-ning-shi,27.0
2022-08-14,Hainan_wan-ning-shi,63.0
2022-08-15,Hainan_wan-ning-shi,39.0
2022-08-16,Hainan_wan-ning-shi,31.0
