date,city,cases
2022-07-01,Heilongjiang_da-qing-shi,0.0
2022-07-02,Heilongjiang_da-qing-shi,0.0
2022-07-03,Heilongjiang_da-qing-shi,0.0
2022-07-04,Heilongjiang_da-qing-shi,0.0
2022-07-05,Heilongjiang_da-qing-shi,0.0
2022-07-06,Heilongjiang_da-qing-shi,0.0
2022-07-07,Heilongjiang_da-qing-shi,0.0
2022-07-08,Heilongjiang_da-qing-shi,0.0
2022-07-09,Heilongjiang_da-qing-shi,0.0
2022-07-10,Heilongjiang_da-qing-shi,0.0
2022-07-11,Heilongjiang_da-qing-shi,0.0
2022-07-12,Heilongjiang_da-qing-shi,0.0
2022-07-13,Heilongjiang_da-qing-shi,0.0
2022-07-14,Heilongjiang_da-qing-shi,0.0
2022-07-15,Heilongjiang_da-qing-shi,0.0
2022-07-16,Heilongjiang_da-qing-shi,0.0
2022-07-17,Heilongjiang_da-qing-shi,0.0
2022-07-18,Heilongjiang_da-qing-shi,0.0
2022-07-19,Heilongjiang_da-qing-shi,0.0
2022-07-20,Heilongjiang_da-qing-shi,0.0
2022-07-21,Heilongjiang_da-qing-shi,0.0
2022-07-22,Heilongjiang_da-qing-shi,0.0
2022-07-23,Heilongjiang_da-qing-shi,0.0
2022-07-24,Heilongjiang_da-qing-shi,0.0
2022-07-25,Heilongjiang_da-qing-shi,0.0
2022-07-26,Heilongjiang_da-qing-shi,0.0
2022-07-27,Heilongjiang_da-qing-shi,0.0
2022-07-28,Heilongjiang_da-qing-shi,0.0
2022-07-29,Heilongjiang_da-qing-shi,0.0
2022-07-30,Heilongjiang_da-qing-shi,0.0
2022-07-31,Heilongjiang_da-qing-shi,0.0
2022-08-01,Heilongjiang_da-qing-shi,0.0
2022-08-02,Heilongjiang_da-qing-shi,0.0
2022-08-03,Heilongjiang_da-qing-shi,0.0
2022-08-04,Heilongjiang_da-qing-shi,0.0
2022-08-05,Heilongjiang_da-qing-shi,0.0
2022-08-06,Heilongjiang_da-qing-shi,0.0
2022-08-07,Heilongjiang_da-qing-shi,0.0
2022-08-08,Heilongjiang_da-qing-shi,0.0
2022-08-09,Heilongjiang_da-qing-shi,0.0
2022-08-10,Heilongjiang_da-qing-shi,0.0
2022-08-11,Heilongjiang_da-qing-shi,0.0
2022-08-12,Heilongjiang_da-qing-shi,0.0
2022-08-13,Heilongjiang_da-qing-shi,0.0
2022-08-14,Heilongjiang_da-qing-shi,0.0
2022-08-15,Heilongjiang_da-qing-shi,0.0
2022-08-16,Heilongjiang_da-qing-shi,0.0
2022-08-17,Heilongjiang_da-qing-shi,0.0
2022-08-18,Heilongjiang_da-qing-shi,0.0
2022-08-19,Heilongjiang_da-qing-shi,0.0
2022-08-20,Heilongjiang_da-qing-shi,4.0
2022-08-21,Heilongjiang_da-qing-shi,6.0
2022-08-22,Heilongjiang_da-qing-shi,1.0
2022-08-23,Heilongjiang_da-qing-shi,4.0
2022-08-24,Heilongjiang_da-qing-shi,1.0
2022-08-25,Heilongjiang_da-qing-shi,5.0
2022-08-26,Heilongjiang_da-qing-shi,11.0
2022-08-27,Heilongjiang_da-qing-shi,5.0
