date,city,cases
2022-07-01,Heilongjiang_jia-mu-si-shi,0.0
2022-07-02,Heilongjiang_jia-mu-si-shi,0.0
2022-07-03,Heilongjiang_jia-mu-si-shi,0.0
2022-07-04,Heilongjiang_jia-mu-si-shi,0.0
2022-07-05,Heilongjiang_jia-mu-si-shi,0.0
2022-07-06,Heilongjiang_jia-mu-si-shi,0.0
2022-07-07,Heilongjiang_jia-mu-si-shi,0.0
2022-07-08,Heilongjiang_jia-mu-si-shi,0.0
2022-07-09,Heilongjiang_jia-mu-si-shi,0.0
2022-07-10,Heilongjiang_jia-mu-si-shi,0.0
2022-07-11,Heilongjiang_jia-mu-si-shi,0.0
2022-07-12,Heilongjiang_jia-mu-si-shi,0.0
2022-07-13,Heilongjiang_jia-mu-si-shi,0.0
2022-07-14,Heilongjiang_jia-mu-si-shi,0.0
2022-07-15,Heilongjiang_jia-mu-si-shi,0.0
2022-07-16,Heilongjiang_jia-mu-si-shi,1.0
2022-07-17,Heilongjiang_jia-mu-si-shi,0.0
2022-07-18,Heilongjiang_jia-mu-si-shi,0.0
2022-07-19,Heilongjiang_jia-mu-si-shi,0.0
2022-07-20,Heilongjiang_jia-mu-si-shi,0.0
2022-07-21,Heilongjiang_jia-mu-si-shi,0.0
2022-07-22,Heilongjiang_jia-mu-si-shi,0.0
2022-07-23,Heilongjiang_jia-mu-si-shi,0.0
2022-07-24,Heilongjiang_jia-mu-si-shi,0.0
2022-07-25,Heilongjiang_jia-mu-si-shi,0.0
2022-07-26,Heilongjiang_jia-mu-si-shi,0.0
2022-07-27,Heilongjiang_jia-mu-si-shi,0.0
2022-07-28,Heilongjiang_jia-mu-si-shi,0.0
2022-07-29,Heilongjiang_jia-mu-si-shi,0.0
2022-07-30,Heilongjiang_jia-mu-si-shi,0.0
2022-07-31,Heilongjiang_jia-mu-si-shi,0.0
2022-08-01,Heilongjiang_jia-mu-si-shi,0.0
2022-08-02,Heilongjiang_jia-mu-si-shi,0.0
2022-08-03,Heilongjiang_jia-mu-si-shi,0.0
2022-08-04,Heilongjiang_jia-mu-si-shi,0.0
2022-08-05,Heilongjiang_jia-mu-si-shi,0.0
2022-08-06,Heilongjiang_jia-mu-si-shi,0.0
2022-08-07,Heilongjiang_jia-mu-si-shi,0.0
2022-08-08,Heilongjiang_jia-mu-si-shi,0.0
2022-08-09,Heilongjiang_jia-mu-si-shi,0.0
2022-08-10,Heilongjiang_jia-mu-si-shi,0.0
2022-08-11,Heilongjiang_jia-mu-si-shi,0.0
2022-08-12,Heilongjiang_jia-mu-si-shi,0.0
2022-08-13,Heilongjiang_jia-mu-si-shi,0.0
2022-08-14,Heilongjiang_jia-mu-si-shi,0.0
2022-08-15,Heilongjiang_jia-mu-si-shi,0.0
2022-08-16,Heilongjiang_jia-mu-si-shi,0.0
2022-08-17,Heilongjiang_jia-mu-si-shi,0.0
2022-08-18,Heilongjiang_jia-mu-si-shi,0.0
2022-08-19,Heilongjiang_jia-mu-si-shi,0.0
2022-08-20,Heilongjiang_jia-mu-si-shi,0.0
2022-08-21,Heilongjiang_jia-mu-si-shi,0.0
2022-08-22,Heilongjiang_jia-mu-si-shi,0.0
2022-08-23,Heilongjiang_jia-mu-si-shi,0.0
2022-08-24,Heilongjiang_jia-mu-si-shi,0.0
2022-08-25,Heilongjiang_jia-mu-si-shi,0.0
2022-08-26,Heilongjiang_jia-mu-si-shi,0.0
2022-08-27,Heilongjiang_jia-mu-si-shi,0.0
2022-08-28,Heilongjiang_jia-mu-si-shi,0.0
2022-08-29,Heilongjiang_jia-mu-si-shi,0.0
2022-08-30,Heilongjiang_jia-mu-si-shi,0.0
2022-08-31,Heilongjiang_jia-mu-si-shi,0.0
2022-09-01,Heilongjiang_jia-mu-si-shi,0.0
2022-09-02,Heilongjiang_jia-mu-si-shi,0.0
2022-09-03,Heilongjiang_jia-mu-si-shi,0.0
2022-09-04,Heilongjiang_jia-mu-si-shi,0.0
2022-09-05,Heilongjiang_jia-mu-si-shi,0.0
2022-09-06,Heilongjiang_jia-mu-si-shi,0.0
2022-09-07,Heilongjiang_jia-mu-si-shi,0.0
2022-09-08,Heilongjiang_jia-mu-si-shi,0.0
2022-09-09,Heilongjiang_jia-mu-si-shi,0.0
2022-09-10,Heilongjiang_jia-mu-si-shi,0.0
2022-09-11,Heilongjiang_jia-mu-si-shi,0.0
2022-09-12,Heilongjiang_jia-mu-si-shi,0.0
2022-09-13,Heilongjiang_jia-mu-si-shi,0.0
2022-09-14,Heilongjiang_jia-mu-si-shi,0.0
2022-09-15,Heilongjiang_jia-mu-si-shi,0.0
2022-09-16,Heilongjiang_jia-mu-si-shi,0.0
2022-09-17,Heilongjiang_jia-mu-si-shi,0.0
2022-09-18,Heilongjiang_jia-mu-si-shi,9.0
2022-09-19,Heilongjiang_jia-mu-si-shi,40.0
2022-09-20,Heilongjiang_jia-mu-si-shi,100.0
2022-09-21,Heilongjiang_jia-mu-si-shi,77.0
2022-09-22,Heilongjiang_jia-mu-si-shi,151.0
2022-09-23,Heilongjiang_jia-mu-si-shi,100.0
