date,city,cases
2022-07-01,Heilongjiang_sui-hua-shi,0.0
2022-07-02,Heilongjiang_sui-hua-shi,0.0
2022-07-03,Heilongjiang_sui-hua-shi,0.0
2022-07-04,Heilongjiang_sui-hua-shi,0.0
2022-07-05,Heilongjiang_sui-hua-shi,0.0
2022-07-06,Heilongjiang_sui-hua-shi,0.0
2022-07-07,Heilongjiang_sui-hua-shi,0.0
2022-07-08,Heilongjiang_sui-hua-shi,0.0
2022-07-09,Heilongjiang_sui-hua-shi,0.0
2022-07-10,Heilongjiang_sui-hua-shi,0.0
2022-07-11,Heilongjiang_sui-hua-shi,0.0
2022-07-12,Heilongjiang_sui-hua-shi,0.0
2022-07-13,Heilongjiang_sui-hua-shi,0.0
2022-07-14,Heilongjiang_sui-hua-shi,0.0
2022-07-15,Heilongjiang_sui-hua-shi,0.0
2022-07-16,Heilongjiang_sui-hua-shi,0.0
2022-07-17,Heilongjiang_sui-hua-shi,0.0
2022-07-18,Heilongjiang_sui-hua-shi,0.0
2022-07-19,Heilongjiang_sui-hua-shi,0.0
2022-07-20,Heilongjiang_sui-hua-shi,0.0
2022-07-21,Heilongjiang_sui-hua-shi,0.0
2022-07-22,Heilongjiang_sui-hua-shi,0.0
2022-07-23,Heilongjiang_sui-hua-shi,0.0
2022-07-24,Heilongjiang_sui-hua-shi,0.0
2022-07-25,Heilongjiang_sui-hua-shi,0.0
2022-07-26,Heilongjiang_sui-hua-shi,0.0
2022-07-27,Heilongjiang_sui-hua-shi,0.0
2022-07-28,Heilongjiang_sui-hua-shi,0.0
2022-07-29,Heilongjiang_sui-hua-shi,0.0
2022-07-30,Heilongjiang_sui-hua-shi,0.0
2022-07-31,Heilongjiang_sui-hua-shi,0.0
2022-08-01,Heilongjiang_sui-hua-shi,0.0
2022-08-02,Heilongjiang_sui-hua-shi,0.0
2022-08-03,Heilongjiang_sui-hua-shi,0.0
2022-08-04,Heilongjiang_sui-hua-shi,0.0
2022-08-05,Heilongjiang_sui-hua-shi,0.0
2022-08-06,Heilongjiang_sui-hua-shi,0.0
2022-08-07,Heilongjiang_sui-hua-shi,0.0
2022-08-08,Heilongjiang_sui-hua-shi,0.0
2022-08-09,Heilongjiang_sui-hua-shi,0.0
2022-08-10,Heilongjiang_sui-hua-shi,0.0
2022-08-11,Heilongjiang_sui-hua-shi,0.0
2022-08-12,Heilongjiang_sui-hua-shi,0.0
2022-08-13,Heilongjiang_sui-hua-shi,0.0
2022-08-14,Heilongjiang_sui-hua-shi,0.0
2022-08-15,Heilongjiang_sui-hua-shi,0.0
2022-08-16,Heilongjiang_sui-hua-shi,0.0
2022-08-17,Heilongjiang_sui-hua-shi,0.0
2022-08-18,Heilongjiang_sui-hua-shi,0.0
2022-08-19,Heilongjiang_sui-hua-shi,0.0
2022-08-20,Heilongjiang_sui-hua-shi,0.0
2022-08-21,Heilongjiang_sui-hua-shi,0.0
2022-08-22,Heilongjiang_sui-hua-shi,0.0
2022-08-23,Heilongjiang_sui-hua-shi,0.0
2022-08-24,Heilongjiang_sui-hua-shi,0.0
2022-08-25,Heilongjiang_sui-hua-shi,0.0
2022-08-26,Heilongjiang_sui-hua-shi,0.0
2022-08-27,Heilongjiang_sui-hua-shi,0.0
2022-08-28,Heilongjiang_sui-hua-shi,1.0
2022-08-29,Heilongjiang_sui-hua-shi,1.0
2022-08-30,Heilongjiang_sui-hua-shi,1.0
2022-08-31,Heilongjiang_sui-hua-shi,0.0
2022-09-01,Heilongjiang_sui-hua-shi,9.0
2022-09-02,Heilongjiang_sui-hua-shi,11.0
2022-09-03,Heilongjiang_sui-hua-shi,6.0
2022-09-04,Heilongjiang_sui-hua-shi,16.0
2022-09-05,Heilongjiang_sui-hua-shi,1.0
2022-09-06,Heilongjiang_sui-hua-shi,8.0
2022-09-07,Heilongjiang_sui-hua-shi,2.0
2022-09-08,Heilongjiang_sui-hua-shi,2.0
2022-09-09,Heilongjiang_sui-hua-shi,0.0
2022-09-10,Heilongjiang_sui-hua-shi,3.0
2022-09-11,Heilongjiang_sui-hua-shi,0.0
2022-09-12,Heilongjiang_sui-hua-shi,0.0
2022-09-13,Heilongjiang_sui-hua-shi,0.0
2022-09-14,Heilongjiang_sui-hua-shi,0.0
2022-09-15,Heilongjiang_sui-hua-shi,0.0
2022-09-16,Heilongjiang_sui-hua-shi,0.0
2022-09-17,Heilongjiang_sui-hua-shi,0.0
2022-09-18,Heilongjiang_sui-hua-shi,0.0
2022-09-19,Heilongjiang_sui-hua-shi,0.0
2022-09-20,Heilongjiang_sui-hua-shi,0.0
2022-09-21,Heilongjiang_sui-hua-shi,0.0
2022-09-22,Heilongjiang_sui-hua-shi,0.0
2022-09-23,Heilongjiang_sui-hua-shi,0.0
2022-09-24,Heilongjiang_sui-hua-shi,0.0
2022-09-25,Heilongjiang_sui-hua-shi,0.0
2022-09-26,Heilongjiang_sui-hua-shi,0.0
2022-09-27,Heilongjiang_sui-hua-shi,0.0
2022-09-28,Heilongjiang_sui-hua-shi,0.0
2022-09-29,Heilongjiang_sui-hua-shi,0.0
2022-09-30,Heilongjiang_sui-hua-shi,0.0
2022-10-01,Heilongjiang_sui-hua-shi,0.0
2022-10-02,Heilongjiang_sui-hua-shi,0.0
2022-10-03,Heilongjiang_sui-hua-shi,0.0
2022-10-04,Heilongjiang_sui-hua-shi,0.0
2022-10-05,Heilongjiang_sui-hua-shi,0.0
2022-10-06,Heilongjiang_sui-hua-shi,0.0
2022-10-07,Heilongjiang_sui-hua-shi,0.0
2022-10-08,Heilongjiang_sui-hua-shi,2.0
2022-10-09,Heilongjiang_sui-hua-shi,1.0
2022-10-10,Heilongjiang_sui-hua-shi,3.0
2022-10-11,Heilongjiang_sui-hua-shi,8.0
2022-10-12,Heilongjiang_sui-hua-shi,8.0
2022-10-13,Heilongjiang_sui-hua-shi,51.0
2022-10-14,Heilongjiang_sui-hua-shi,23.0
2022-10-15,Heilongjiang_sui-hua-shi,3.0
2022-10-16,Heilongjiang_sui-hua-shi,1.0
2022-10-17,Heilongjiang_sui-hua-shi,2.0
2022-10-18,Heilongjiang_sui-hua-shi,0.0
2022-10-19,Heilongjiang_sui-hua-shi,0.0
2022-10-20,Heilongjiang_sui-hua-shi,4.0
2022-10-21,Heilongjiang_sui-hua-shi,3.0
2022-10-22,Heilongjiang_sui-hua-shi,5.0
2022-10-23,Heilongjiang_sui-hua-shi,6.0
2022-10-24,Heilongjiang_sui-hua-shi,0.0
2022-10-25,Heilongjiang_sui-hua-shi,0.0
2022-10-26,Heilongjiang_sui-hua-shi,2.0
2022-10-27,Heilongjiang_sui-hua-shi,30.0
2022-10-28,Heilongjiang_sui-hua-shi,3.0
2022-10-29,Heilongjiang_sui-hua-shi,6.0
2022-10-30,Heilongjiang_sui-hua-shi,8.0
2022-10-31,Heilongjiang_sui-hua-shi,8.0
2022-11-01,Heilongjiang_sui-hua-shi,5.0
2022-11-02,Heilongjiang_sui-hua-shi,181.0
2022-11-03,Heilongjiang_sui-hua-shi,318.0
2022-11-04,Heilongjiang_sui-hua-shi,207.0
2022-11-05,Heilongjiang_sui-hua-shi,288.0
2022-11-06,Heilongjiang_sui-hua-shi,273.0
2022-11-07,Heilongjiang_sui-hua-shi,274.0
2022-11-08,Heilongjiang_sui-hua-shi,397.0
2022-11-09,Heilongjiang_sui-hua-shi,306.0
2022-11-10,Heilongjiang_sui-hua-shi,236.0
2022-11-11,Heilongjiang_sui-hua-shi,199.0
2022-11-12,Heilongjiang_sui-hua-shi,361.0
2022-11-13,Heilongjiang_sui-hua-shi,344.0
2022-11-14,Heilongjiang_sui-hua-shi,349.0
2022-11-15,Heilongjiang_sui-hua-shi,289.0
2022-11-16,Heilongjiang_sui-hua-shi,226.0
2022-11-17,Heilongjiang_sui-hua-shi,269.0
2022-11-18,Heilongjiang_sui-hua-shi,226.0
2022-11-19,Heilongjiang_sui-hua-shi,210.0
2022-11-20,Heilongjiang_sui-hua-shi,168.0
2022-11-21,Heilongjiang_sui-hua-shi,161.0
2022-11-22,Heilongjiang_sui-hua-shi,115.0
2022-11-23,Heilongjiang_sui-hua-shi,160.0
2022-11-24,Heilongjiang_sui-hua-shi,100.0
2022-11-25,Heilongjiang_sui-hua-shi,110.0
2022-11-26,Heilongjiang_sui-hua-shi,78.0
2022-11-27,Heilongjiang_sui-hua-shi,51.0
2022-11-28,Heilongjiang_sui-hua-shi,96.0
2022-11-29,Heilongjiang_sui-hua-shi,77.0
2022-11-30,Heilongjiang_sui-hua-shi,53.0
2022-12-01,Heilongjiang_sui-hua-shi,63.0
2022-12-02,Heilongjiang_sui-hua-shi,81.0
2022-12-03,Heilongjiang_sui-hua-shi,88.0
2022-12-04,Heilongjiang_sui-hua-shi,101.0
