date,city,cases
2022-07-01,Henan_an-yang-shi,0.0
2022-07-02,Henan_an-yang-shi,0.0
2022-07-03,Henan_an-yang-shi,0.0
2022-07-04,Henan_an-yang-shi,0.0
2022-07-05,Henan_an-yang-shi,0.0
2022-07-06,Henan_an-yang-shi,0.0
2022-07-07,Henan_an-yang-shi,0.0
2022-07-08,Henan_an-yang-shi,0.0
2022-07-09,Henan_an-yang-shi,0.0
2022-07-10,Henan_an-yang-shi,0.0
2022-07-11,Henan_an-yang-shi,0.0
2022-07-12,Henan_an-yang-shi,0.0
2022-07-13,Henan_an-yang-shi,0.0
2022-07-14,Henan_an-yang-shi,0.0
2022-07-15,Henan_an-yang-shi,0.0
2022-07-16,Henan_an-yang-shi,0.0
2022-07-17,Henan_an-yang-shi,0.0
2022-07-18,Henan_an-yang-shi,0.0
2022-07-19,Henan_an-yang-shi,0.0
2022-07-20,Henan_an-yang-shi,0.0
2022-07-21,Henan_an-yang-shi,0.0
2022-07-22,Henan_an-yang-shi,0.0
2022-07-23,Henan_an-yang-shi,1.0
2022-07-24,Henan_an-yang-shi,0.0
2022-07-25,Henan_an-yang-shi,0.0
2022-07-26,Henan_an-yang-shi,0.0
2022-07-27,Henan_an-yang-shi,0.0
2022-07-28,Henan_an-yang-shi,0.0
2022-07-29,Henan_an-yang-shi,0.0
2022-07-30,Henan_an-yang-shi,0.0
2022-07-31,Henan_an-yang-shi,0.0
2022-08-01,Henan_an-yang-shi,0.0
2022-08-02,Henan_an-yang-shi,0.0
2022-08-03,Henan_an-yang-shi,0.0
2022-08-04,Henan_an-yang-shi,0.0
2022-08-05,Henan_an-yang-shi,0.0
2022-08-06,Henan_an-yang-shi,0.0
2022-08-07,Henan_an-yang-shi,0.0
2022-08-08,Henan_an-yang-shi,0.0
2022-08-09,Henan_an-yang-shi,0.0
2022-08-10,Henan_an-yang-shi,0.0
2022-08-11,Henan_an-yang-shi,0.0
2022-08-12,Henan_an-yang-shi,0.0
2022-08-13,Henan_an-yang-shi,0.0
2022-08-14,Henan_an-yang-shi,0.0
2022-08-15,Henan_an-yang-shi,0.0
2022-08-16,Henan_an-yang-shi,0.0
2022-08-17,Henan_an-yang-shi,0.0
2022-08-18,Henan_an-yang-shi,4.0
2022-08-19,Henan_an-yang-shi,0.0
2022-08-20,Henan_an-yang-shi,1.0
2022-08-21,Henan_an-yang-shi,0.0
2022-08-22,Henan_an-yang-shi,0.0
2022-08-23,Henan_an-yang-shi,0.0
2022-08-24,Henan_an-yang-shi,0.0
2022-08-25,Henan_an-yang-shi,0.0
2022-08-26,Henan_an-yang-shi,0.0
2022-08-27,Henan_an-yang-shi,1.0
2022-08-28,Henan_an-yang-shi,0.0
2022-08-29,Henan_an-yang-shi,0.0
2022-08-30,Henan_an-yang-shi,9.0
2022-08-31,Henan_an-yang-shi,36.0
2022-09-01,Henan_an-yang-shi,29.0
2022-09-02,Henan_an-yang-shi,34.0
2022-09-03,Henan_an-yang-shi,13.0
2022-09-04,Henan_an-yang-shi,21.0
2022-09-05,Henan_an-yang-shi,19.0
2022-09-06,Henan_an-yang-shi,14.0
2022-09-07,Henan_an-yang-shi,12.0
2022-09-08,Henan_an-yang-shi,9.0
2022-09-09,Henan_an-yang-shi,15.0
