date,city,cases
2022-07-01,Jiangxi_ji-an-shi,0.0
2022-07-02,Jiangxi_ji-an-shi,0.0
2022-07-03,Jiangxi_ji-an-shi,0.0
2022-07-04,Jiangxi_ji-an-shi,0.0
2022-07-05,Jiangxi_ji-an-shi,0.0
2022-07-06,Jiangxi_ji-an-shi,0.0
2022-07-07,Jiangxi_ji-an-shi,0.0
2022-07-08,Jiangxi_ji-an-shi,0.0
2022-07-09,Jiangxi_ji-an-shi,0.0
2022-07-10,Jiangxi_ji-an-shi,0.0
2022-07-11,Jiangxi_ji-an-shi,1.0
2022-07-12,Jiangxi_ji-an-shi,0.0
2022-07-13,Jiangxi_ji-an-shi,0.0
2022-07-14,Jiangxi_ji-an-shi,0.0
2022-07-15,Jiangxi_ji-an-shi,0.0
2022-07-16,Jiangxi_ji-an-shi,0.0
2022-07-17,Jiangxi_ji-an-shi,0.0
2022-07-18,Jiangxi_ji-an-shi,0.0
2022-07-19,Jiangxi_ji-an-shi,0.0
2022-07-20,Jiangxi_ji-an-shi,0.0
2022-07-21,Jiangxi_ji-an-shi,0.0
2022-07-22,Jiangxi_ji-an-shi,0.0
2022-07-23,Jiangxi_ji-an-shi,0.0
2022-07-24,Jiangxi_ji-an-shi,0.0
2022-07-25,Jiangxi_ji-an-shi,0.0
2022-07-26,Jiangxi_ji-an-shi,0.0
2022-07-27,Jiangxi_ji-an-shi,0.0
2022-07-28,Jiangxi_ji-an-shi,0.0
2022-07-29,Jiangxi_ji-an-shi,0.0
2022-07-30,Jiangxi_ji-an-shi,0.0
2022-07-31,Jiangxi_ji-an-shi,0.0
2022-08-01,Jiangxi_ji-an-shi,0.0
2022-08-02,Jiangxi_ji-an-shi,0.0
2022-08-03,Jiangxi_ji-an-shi,0.0
2022-08-04,Jiangxi_ji-an-shi,0.0
2022-08-05,Jiangxi_ji-an-shi,0.0
2022-08-06,Jiangxi_ji-an-shi,0.0
2022-08-07,Jiangxi_ji-an-shi,0.0
2022-08-08,Jiangxi_ji-an-shi,0.0
2022-08-09,Jiangxi_ji-an-shi,0.0
2022-08-10,Jiangxi_ji-an-shi,0.0
2022-08-11,Jiangxi_ji-an-shi,1.0
2022-08-12,Jiangxi_ji-an-shi,0.0
2022-08-13,Jiangxi_ji-an-shi,0.0
2022-08-14,Jiangxi_ji-an-shi,0.0
2022-08-15,Jiangxi_ji-an-shi,0.0
2022-08-16,Jiangxi_ji-an-shi,0.0
2022-08-17,Jiangxi_ji-an-shi,0.0
2022-08-18,Jiangxi_ji-an-shi,1.0
2022-08-19,Jiangxi_ji-an-shi,0.0
2022-08-20,Jiangxi_ji-an-shi,0.0
2022-08-21,Jiangxi_ji-an-shi,0.0
2022-08-22,Jiangxi_ji-an-shi,0.0
2022-08-23,Jiangxi_ji-an-shi,0.0
2022-08-24,Jiangxi_ji-an-shi,0.0
2022-08-25,Jiangxi_ji-an-shi,0.0
2022-08-26,Jiangxi_ji-an-shi,0.0
2022-08-27,Jiangxi_ji-an-shi,0.0
2022-08-28,Jiangxi_ji-an-shi,0.0
2022-08-29,Jiangxi_ji-an-shi,0.0
2022-08-30,Jiangxi_ji-an-shi,1.0
2022-08-31,Jiangxi_ji-an-shi,0.0
2022-09-01,Jiangxi_ji-an-shi,6.0
2022-09-02,Jiangxi_ji-an-shi,7.0
2022-09-03,Jiangxi_ji-an-shi,46.0
2022-09-04,Jiangxi_ji-an-shi,60.0
2022-09-05,Jiangxi_ji-an-shi,60.0
2022-09-06,Jiangxi_ji-an-shi,40.0
2022-09-07,Jiangxi_ji-an-shi,40.0
2022-09-08,Jiangxi_ji-an-shi,35.0
2022-09-09,Jiangxi_ji-an-shi,28.0
2022-09-10,Jiangxi_ji-an-shi,37.0
2022-09-11,Jiangxi_ji-an-shi,38.0
2022-09-12,Jiangxi_ji-an-shi,40.0
2022-09-13,Jiangxi_ji-an-shi,49.0
2022-09-14,Jiangxi_ji-an-shi,50.0
2022-09-15,Jiangxi_ji-an-shi,39.0
2022-09-16,Jiangxi_ji-an-shi,9.0
2022-09-17,Jiangxi_ji-an-shi,5.0
2022-09-18,Jiangxi_ji-an-shi,4.0
2022-09-19,Jiangxi_ji-an-shi,2.0
2022-09-20,Jiangxi_ji-an-shi,1.0
2022-09-21,Jiangxi_ji-an-shi,0.0
2022-09-22,Jiangxi_ji-an-shi,0.0
2022-09-23,Jiangxi_ji-an-shi,0.0
2022-09-24,Jiangxi_ji-an-shi,1.0
2022-09-25,Jiangxi_ji-an-shi,3.0
2022-09-26,Jiangxi_ji-an-shi,4.0
2022-09-27,Jiangxi_ji-an-shi,3.0
2022-09-28,Jiangxi_ji-an-shi,4.0
