date,city,cases
2022-07-01,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-02,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-03,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-04,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-05,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-06,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-07,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-08,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-09,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-10,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-11,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-12,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-13,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-14,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-15,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-16,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-17,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-18,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-19,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-20,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-21,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-22,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-23,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-24,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-25,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-26,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-27,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-28,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-29,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-30,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-07-31,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-01,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-02,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-03,Neimenggu_wu-lan-cha-bu-shi,6.0
2022-08-04,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-05,Neimenggu_wu-lan-cha-bu-shi,14.0
2022-08-06,Neimenggu_wu-lan-cha-bu-shi,12.0
2022-08-07,Neimenggu_wu-lan-cha-bu-shi,11.0
2022-08-08,Neimenggu_wu-lan-cha-bu-shi,16.0
2022-08-09,Neimenggu_wu-lan-cha-bu-shi,31.0
2022-08-10,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-08-11,Neimenggu_wu-lan-cha-bu-shi,16.0
2022-08-12,Neimenggu_wu-lan-cha-bu-shi,9.0
2022-08-13,Neimenggu_wu-lan-cha-bu-shi,4.0
2022-08-14,Neimenggu_wu-lan-cha-bu-shi,9.0
2022-08-15,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-16,Neimenggu_wu-lan-cha-bu-shi,1.0
2022-08-17,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-18,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-19,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-20,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-21,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-22,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-23,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-24,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-25,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-26,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-27,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-28,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-29,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-30,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-08-31,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-01,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-02,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-03,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-04,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-05,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-06,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-07,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-08,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-09,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-10,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-11,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-12,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-13,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-14,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-15,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-16,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-17,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-18,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-19,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-20,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-21,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-22,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-23,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-24,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-25,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-26,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-27,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-28,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-29,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-09-30,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-01,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-02,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-03,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-04,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-05,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-06,Neimenggu_wu-lan-cha-bu-shi,2.0
2022-10-07,Neimenggu_wu-lan-cha-bu-shi,2.0
2022-10-08,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-09,Neimenggu_wu-lan-cha-bu-shi,6.0
2022-10-10,Neimenggu_wu-lan-cha-bu-shi,4.0
2022-10-11,Neimenggu_wu-lan-cha-bu-shi,1.0
2022-10-12,Neimenggu_wu-lan-cha-bu-shi,5.0
2022-10-13,Neimenggu_wu-lan-cha-bu-shi,3.0
2022-10-14,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-15,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-16,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-17,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-18,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-19,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-20,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-21,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-22,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-10-23,Neimenggu_wu-lan-cha-bu-shi,1.0
2022-10-24,Neimenggu_wu-lan-cha-bu-shi,7.0
2022-10-25,Neimenggu_wu-lan-cha-bu-shi,5.0
2022-10-26,Neimenggu_wu-lan-cha-bu-shi,13.0
2022-10-27,Neimenggu_wu-lan-cha-bu-shi,9.0
2022-10-28,Neimenggu_wu-lan-cha-bu-shi,6.0
2022-10-29,Neimenggu_wu-lan-cha-bu-shi,3.0
2022-10-30,Neimenggu_wu-lan-cha-bu-shi,2.0
2022-10-31,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-11-01,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-11-02,Neimenggu_wu-lan-cha-bu-shi,3.0
2022-11-03,Neimenggu_wu-lan-cha-bu-shi,6.0
2022-11-04,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-11-05,Neimenggu_wu-lan-cha-bu-shi,7.0
2022-11-06,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-11-07,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-11-08,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-11-09,Neimenggu_wu-lan-cha-bu-shi,9.0
2022-11-10,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-11-11,Neimenggu_wu-lan-cha-bu-shi,14.0
2022-11-12,Neimenggu_wu-lan-cha-bu-shi,24.0
2022-11-13,Neimenggu_wu-lan-cha-bu-shi,16.0
2022-11-14,Neimenggu_wu-lan-cha-bu-shi,33.0
2022-11-15,Neimenggu_wu-lan-cha-bu-shi,34.0
2022-11-16,Neimenggu_wu-lan-cha-bu-shi,28.0
2022-11-17,Neimenggu_wu-lan-cha-bu-shi,22.0
2022-11-18,Neimenggu_wu-lan-cha-bu-shi,29.0
2022-11-19,Neimenggu_wu-lan-cha-bu-shi,34.0
2022-11-20,Neimenggu_wu-lan-cha-bu-shi,35.0
2022-11-21,Neimenggu_wu-lan-cha-bu-shi,34.0
2022-11-22,Neimenggu_wu-lan-cha-bu-shi,28.0
2022-11-23,Neimenggu_wu-lan-cha-bu-shi,28.0
2022-11-24,Neimenggu_wu-lan-cha-bu-shi,22.0
2022-11-25,Neimenggu_wu-lan-cha-bu-shi,29.0
2022-11-26,Neimenggu_wu-lan-cha-bu-shi,24.0
2022-11-27,Neimenggu_wu-lan-cha-bu-shi,16.0
2022-11-28,Neimenggu_wu-lan-cha-bu-shi,9.0
2022-11-29,Neimenggu_wu-lan-cha-bu-shi,8.0
2022-11-30,Neimenggu_wu-lan-cha-bu-shi,10.0
2022-12-01,Neimenggu_wu-lan-cha-bu-shi,14.0
2022-12-02,Neimenggu_wu-lan-cha-bu-shi,14.0
2022-12-03,Neimenggu_wu-lan-cha-bu-shi,13.0
2022-12-04,Neimenggu_wu-lan-cha-bu-shi,21.0
2022-12-05,Neimenggu_wu-lan-cha-bu-shi,23.0
2022-12-06,Neimenggu_wu-lan-cha-bu-shi,17.0
2022-12-07,Neimenggu_wu-lan-cha-bu-shi,10.0
2022-12-08,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-09,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-10,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-11,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-12,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-13,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-14,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-15,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-16,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-17,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-18,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-19,Neimenggu_wu-lan-cha-bu-shi,0.0
2022-12-20,Neimenggu_wu-lan-cha-bu-shi,0.0
