date,city,cases
2022-07-01,Ningxia_yin-chuan-shi,0.0
2022-07-02,Ningxia_yin-chuan-shi,0.0
2022-07-03,Ningxia_yin-chuan-shi,0.0
2022-07-04,Ningxia_yin-chuan-shi,0.0
2022-07-05,Ningxia_yin-chuan-shi,0.0
2022-07-06,Ningxia_yin-chuan-shi,0.0
2022-07-07,Ningxia_yin-chuan-shi,0.0
2022-07-08,Ningxia_yin-chuan-shi,0.0
2022-07-09,Ningxia_yin-chuan-shi,0.0
2022-07-10,Ningxia_yin-chuan-shi,0.0
2022-07-11,Ningxia_yin-chuan-shi,0.0
2022-07-12,Ningxia_yin-chuan-shi,0.0
2022-07-13,Ningxia_yin-chuan-shi,0.0
2022-07-14,Ningxia_yin-chuan-shi,0.0
2022-07-15,Ningxia_yin-chuan-shi,0.0
2022-07-16,Ningxia_yin-chuan-shi,0.0
2022-07-17,Ningxia_yin-chuan-shi,0.0
2022-07-18,Ningxia_yin-chuan-shi,0.0
2022-07-19,Ningxia_yin-chuan-shi,0.0
2022-07-20,Ningxia_yin-chuan-shi,0.0
2022-07-21,Ningxia_yin-chuan-shi,0.0
2022-07-22,Ningxia_yin-chuan-shi,0.0
2022-07-23,Ningxia_yin-chuan-shi,0.0
2022-07-24,Ningxia_yin-chuan-shi,0.0
2022-07-25,Ningxia_yin-chuan-shi,0.0
2022-07-26,Ningxia_yin-chuan-shi,0.0
2022-07-27,Ningxia_yin-chuan-shi,0.0
2022-07-28,Ningxia_yin-chuan-shi,0.0
2022-07-29,Ningxia_yin-chuan-shi,0.0
2022-07-30,Ningxia_yin-chuan-shi,0.0
2022-07-31,Ningxia_yin-chuan-shi,0.0
2022-08-01,Ningxia_yin-chuan-shi,0.0
2022-08-02,Ningxia_yin-chuan-shi,0.0
2022-08-03,Ningxia_yin-chuan-shi,0.0
2022-08-04,Ningxia_yin-chuan-shi,0.0
2022-08-05,Ningxia_yin-chuan-shi,0.0
2022-08-06,Ningxia_yin-chuan-shi,0.0
2022-08-07,Ningxia_yin-chuan-shi,0.0
2022-08-08,Ningxia_yin-chuan-shi,0.0
2022-08-09,Ningxia_yin-chuan-shi,0.0
2022-08-10,Ningxia_yin-chuan-shi,0.0
2022-08-11,Ningxia_yin-chuan-shi,0.0
2022-08-12,Ningxia_yin-chuan-shi,0.0
2022-08-13,Ningxia_yin-chuan-shi,0.0
2022-08-14,Ningxia_yin-chuan-shi,0.0
