date,city,cases
2022-07-01,Qinghai_xi-ning-shi,0.0
2022-07-02,Qinghai_xi-ning-shi,0.0
2022-07-03,Qinghai_xi-ning-shi,0.0
2022-07-04,Qinghai_xi-ning-shi,0.0
2022-07-05,Qinghai_xi-ning-shi,0.0
2022-07-06,Qinghai_xi-ning-shi,0.0
2022-07-07,Qinghai_xi-ning-shi,0.0
2022-07-08,Qinghai_xi-ning-shi,0.0
2022-07-09,Qinghai_xi-ning-shi,0.0
2022-07-10,Qinghai_xi-ning-shi,1.0
2022-07-11,Qinghai_xi-ning-shi,0.0
2022-07-12,Qinghai_xi-ning-shi,0.0
2022-07-13,Qinghai_xi-ning-shi,0.0
2022-07-14,Qinghai_xi-ning-shi,0.0
2022-07-15,Qinghai_xi-ning-shi,1.0
2022-07-16,Qinghai_xi-ning-shi,0.0
2022-07-17,Qinghai_xi-ning-shi,0.0
2022-07-18,Qinghai_xi-ning-shi,0.0
2022-07-19,Qinghai_xi-ning-shi,0.0
2022-07-20,Qinghai_xi-ning-shi,0.0
2022-07-21,Qinghai_xi-ning-shi,0.0
2022-07-22,Qinghai_xi-ning-shi,0.0
2022-07-23,Qinghai_xi-ning-shi,0.0
2022-07-24,Qinghai_xi-ning-shi,0.0
2022-07-25,Qinghai_xi-ning-shi,0.0
2022-07-26,Qinghai_xi-ning-shi,0.0
2022-07-27,Qinghai_xi-ning-shi,0.0
2022-07-28,Qinghai_xi-ning-shi,0.0
2022-07-29,Qinghai_xi-ning-shi,0.0
2022-07-30,Qinghai_xi-ning-shi,0.0
2022-07-31,Qinghai_xi-ning-shi,0.0
2022-08-01,Qinghai_xi-ning-shi,0.0
2022-08-02,Qinghai_xi-ning-shi,0.0
2022-08-03,Qinghai_xi-ning-shi,0.0
2022-08-04,Qinghai_xi-ning-shi,0.0
2022-08-05,Qinghai_xi-ning-shi,0.0
2022-08-06,Qinghai_xi-ning-shi,0.0
2022-08-07,Qinghai_xi-ning-shi,0.0
2022-08-08,Qinghai_xi-ning-shi,0.0
2022-08-09,Qinghai_xi-ning-shi,0.0
2022-08-10,Qinghai_xi-ning-shi,0.0
2022-08-11,Qinghai_xi-ning-shi,0.0
2022-08-12,Qinghai_xi-ning-shi,0.0
2022-08-13,Qinghai_xi-ning-shi,0.0
2022-08-14,Qinghai_xi-ning-shi,0.0
2022-08-15,Qinghai_xi-ning-shi,2.0
2022-08-16,Qinghai_xi-ning-shi,6.0
2022-08-17,Qinghai_xi-ning-shi,8.0
2022-08-18,Qinghai_xi-ning-shi,4.0
2022-08-19,Qinghai_xi-ning-shi,5.0
2022-08-20,Qinghai_xi-ning-shi,8.0
2022-08-21,Qinghai_xi-ning-shi,0.0
2022-08-22,Qinghai_xi-ning-shi,3.0
2022-08-23,Qinghai_xi-ning-shi,4.0
2022-08-24,Qinghai_xi-ning-shi,10.0
2022-08-25,Qinghai_xi-ning-shi,15.0
2022-08-26,Qinghai_xi-ning-shi,9.0
2022-08-27,Qinghai_xi-ning-shi,8.0
2022-08-28,Qinghai_xi-ning-shi,2.0
2022-08-29,Qinghai_xi-ning-shi,41.0
2022-08-30,Qinghai_xi-ning-shi,23.0
2022-08-31,Qinghai_xi-ning-shi,22.0
2022-09-01,Qinghai_xi-ning-shi,30.0
2022-09-02,Qinghai_xi-ning-shi,22.0
2022-09-03,Qinghai_xi-ning-shi,22.0
2022-09-04,Qinghai_xi-ning-shi,14.0
2022-09-05,Qinghai_xi-ning-shi,6.0
2022-09-06,Qinghai_xi-ning-shi,6.0
2022-09-07,Qinghai_xi-ning-shi,5.0
2022-09-08,Qinghai_xi-ning-shi,6.0
2022-09-09,Qinghai_xi-ning-shi,5.0
