date,city,cases
2022-07-01,Shaanxi_xi-an-shi,0.0
2022-07-02,Shaanxi_xi-an-shi,6.0
2022-07-03,Shaanxi_xi-an-shi,3.0
2022-07-04,Shaanxi_xi-an-shi,9.0
2022-07-05,Shaanxi_xi-an-shi,11.0
2022-07-06,Shaanxi_xi-an-shi,4.0
2022-07-07,Shaanxi_xi-an-shi,9.0
2022-07-08,Shaanxi_xi-an-shi,3.0
2022-07-09,Shaanxi_xi-an-shi,3.0
2022-07-10,Shaanxi_xi-an-shi,2.0
2022-07-11,Shaanxi_xi-an-shi,1.0
2022-07-12,Shaanxi_xi-an-shi,0.0
2022-07-13,Shaanxi_xi-an-shi,0.0
2022-07-14,Shaanxi_xi-an-shi,0.0
2022-07-15,Shaanxi_xi-an-shi,0.0
2022-07-16,Shaanxi_xi-an-shi,0.0
2022-07-17,Shaanxi_xi-an-shi,0.0
2022-07-18,Shaanxi_xi-an-shi,0.0
2022-07-19,Shaanxi_xi-an-shi,0.0
2022-07-20,Shaanxi_xi-an-shi,0.0
2022-07-21,Shaanxi_xi-an-shi,0.0
2022-07-22,Shaanxi_xi-an-shi,0.0
2022-07-23,Shaanxi_xi-an-shi,0.0
2022-07-24,Shaanxi_xi-an-shi,0.0
2022-07-25,Shaanxi_xi-an-shi,0.0
2022-07-26,Shaanxi_xi-an-shi,0.0
2022-07-27,Shaanxi_xi-an-shi,0.0
2022-07-28,Shaanxi_xi-an-shi,0.0
2022-07-29,Shaanxi_xi-an-shi,0.0
2022-07-30,Shaanxi_xi-an-shi,0.0
2022-07-31,Shaanxi_xi-an-shi,0.0
2022-08-01,Shaanxi_xi-an-shi,0.0
2022-08-02,Shaanxi_xi-an-shi,0.0
2022-08-03,Shaanxi_xi-an-shi,0.0
2022-08-04,Shaanxi_xi-an-shi,0.0
2022-08-05,Shaanxi_xi-an-shi,0.0
2022-08-06,Shaanxi_xi-an-shi,0.0
2022-08-07,Shaanxi_xi-an-shi,0.0
2022-08-08,Shaanxi_xi-an-shi,0.0
2022-08-09,Shaanxi_xi-an-shi,0.0
2022-08-10,Shaanxi_xi-an-shi,0.0
2022-08-11,Shaanxi_xi-an-shi,2.0
2022-08-12,Shaanxi_xi-an-shi,0.0
2022-08-13,Shaanxi_xi-an-shi,1.0
2022-08-14,Shaanxi_xi-an-shi,3.0
2022-08-15,Shaanxi_xi-an-shi,4.0
2022-08-16,Shaanxi_xi-an-shi,12.0
2022-08-17,Shaanxi_xi-an-shi,20.0
2022-08-18,Shaanxi_xi-an-shi,20.0
2022-08-19,Shaanxi_xi-an-shi,27.0
2022-08-20,Shaanxi_xi-an-shi,30.0
2022-08-21,Shaanxi_xi-an-shi,21.0
2022-08-22,Shaanxi_xi-an-shi,14.0
2022-08-23,Shaanxi_xi-an-shi,18.0
2022-08-24,Shaanxi_xi-an-shi,13.0
