date,city,cases
2022-07-01,Sichuan_cheng-du-shi,0.0
2022-07-02,Sichuan_cheng-du-shi,0.0
2022-07-03,Sichuan_cheng-du-shi,1.0
2022-07-04,Sichuan_cheng-du-shi,0.0
2022-07-05,Sichuan_cheng-du-shi,1.0
2022-07-06,Sichuan_cheng-du-shi,0.0
2022-07-07,Sichuan_cheng-du-shi,0.0
2022-07-08,Sichuan_cheng-du-shi,0.0
2022-07-09,Sichuan_cheng-du-shi,0.0
2022-07-10,Sichuan_cheng-du-shi,0.0
2022-07-11,Sichuan_cheng-du-shi,0.0
2022-07-12,Sichuan_cheng-du-shi,0.0
2022-07-13,Sichuan_cheng-du-shi,0.0
2022-07-14,Sichuan_cheng-du-shi,0.0
2022-07-15,Sichuan_cheng-du-shi,1.0
2022-07-16,Sichuan_cheng-du-shi,6.0
2022-07-17,Sichuan_cheng-du-shi,13.0
2022-07-18,Sichuan_cheng-du-shi,15.0
2022-07-19,Sichuan_cheng-du-shi,9.0
2022-07-20,Sichuan_cheng-du-shi,15.0
2022-07-21,Sichuan_cheng-du-shi,7.0
2022-07-22,Sichuan_cheng-du-shi,14.0
2022-07-23,Sichuan_cheng-du-shi,44.0
2022-07-24,Sichuan_cheng-du-shi,38.0
2022-07-25,Sichuan_cheng-du-shi,28.0
2022-07-26,Sichuan_cheng-du-shi,20.0
2022-07-27,Sichuan_cheng-du-shi,28.0
2022-07-28,Sichuan_cheng-du-shi,42.0
2022-07-29,Sichuan_cheng-du-shi,22.0
2022-07-30,Sichuan_cheng-du-shi,10.0
2022-07-31,Sichuan_cheng-du-shi,7.0
2022-08-01,Sichuan_cheng-du-shi,11.0
2022-08-02,Sichuan_cheng-du-shi,6.0
2022-08-03,Sichuan_cheng-du-shi,1.0
2022-08-04,Sichuan_cheng-du-shi,1.0
2022-08-05,Sichuan_cheng-du-shi,1.0
2022-08-06,Sichuan_cheng-du-shi,2.0
2022-08-07,Sichuan_cheng-du-shi,0.0
2022-08-08,Sichuan_cheng-du-shi,0.0
2022-08-09,Sichuan_cheng-du-shi,0.0
2022-08-10,Sichuan_cheng-du-shi,1.0
2022-08-11,Sichuan_cheng-du-shi,0.0
2022-08-12,Sichuan_cheng-du-shi,0.0
2022-08-13,Sichuan_cheng-du-shi,4.0
2022-08-14,Sichuan_cheng-du-shi,4.0
2022-08-15,Sichuan_cheng-du-shi,9.0
2022-08-16,Sichuan_cheng-du-shi,3.0
2022-08-17,Sichuan_cheng-du-shi,3.0
2022-08-18,Sichuan_cheng-du-shi,6.0
2022-08-19,Sichuan_cheng-du-shi,10.0
2022-08-20,Sichuan_cheng-du-shi,10.0
2022-08-21,Sichuan_cheng-du-shi,8.0
2022-08-22,Sichuan_cheng-du-shi,6.0
2022-08-23,Sichuan_cheng-du-shi,17.0
2022-08-24,Sichuan_cheng-du-shi,17.0
2022-08-25,Sichuan_cheng-du-shi,16.0
2022-08-26,Sichuan_cheng-du-shi,40.0
2022-08-27,Sichuan_cheng-du-shi,67.0
2022-08-28,Sichuan_cheng-du-shi,166.0
2022-08-29,Sichuan_cheng-du-shi,211.0
2022-08-30,Sichuan_cheng-du-shi,207.0
2022-08-31,Sichuan_cheng-du-shi,157.0
2022-09-01,Sichuan_cheng-du-shi,152.0
2022-09-02,Sichuan_cheng-du-shi,155.0
2022-09-03,Sichuan_cheng-du-shi,124.0
2022-09-04,Sichuan_cheng-du-shi,141.0
2022-09-05,Sichuan_cheng-du-shi,90.0
2022-09-06,Sichuan_cheng-du-shi,121.0
2022-09-07,Sichuan_cheng-du-shi,117.0
2022-09-08,Sichuan_cheng-du-shi,72.0
2022-09-09,Sichuan_cheng-du-shi,79.0
2022-09-10,Sichuan_cheng-du-shi,90.0
2022-09-11,Sichuan_cheng-du-shi,45.0
2022-09-12,Sichuan_cheng-du-shi,55.0
2022-09-13,Sichuan_cheng-du-shi,35.0
2022-09-14,Sichuan_cheng-du-shi,29.0
2022-09-15,Sichuan_cheng-du-shi,20.0
2022-09-16,Sichuan_cheng-du-shi,1.0
2022-09-17,Sichuan_cheng-du-shi,5.0
2022-09-18,Sichuan_cheng-du-shi,2.0
2022-09-19,Sichuan_cheng-du-shi,0.0
2022-09-20,Sichuan_cheng-du-shi,1.0
2022-09-21,Sichuan_cheng-du-shi,0.0
2022-09-22,Sichuan_cheng-du-shi,5.0
2022-09-23,Sichuan_cheng-du-shi,2.0
2022-09-24,Sichuan_cheng-du-shi,3.0
2022-09-25,Sichuan_cheng-du-shi,0.0
2022-09-26,Sichuan_cheng-du-shi,1.0
2022-09-27,Sichuan_cheng-du-shi,0.0
2022-09-28,Sichuan_cheng-du-shi,0.0
2022-09-29,Sichuan_cheng-du-shi,7.0
2022-09-30,Sichuan_cheng-du-shi,5.0
2022-10-01,Sichuan_cheng-du-shi,0.0
2022-10-02,Sichuan_cheng-du-shi,0.0
2022-10-03,Sichuan_cheng-du-shi,3.0
2022-10-04,Sichuan_cheng-du-shi,6.0
2022-10-05,Sichuan_cheng-du-shi,3.0
2022-10-06,Sichuan_cheng-du-shi,0.0
2022-10-07,Sichuan_cheng-du-shi,4.0
2022-10-08,Sichuan_cheng-du-shi,6.0
2022-10-09,Sichuan_cheng-du-shi,9.0
2022-10-10,Sichuan_cheng-du-shi,7.0
2022-10-11,Sichuan_cheng-du-shi,2.0
2022-10-12,Sichuan_cheng-du-shi,3.0
2022-10-13,Sichuan_cheng-du-shi,12.0
2022-10-14,Sichuan_cheng-du-shi,14.0
2022-10-15,Sichuan_cheng-du-shi,19.0
2022-10-16,Sichuan_cheng-du-shi,7.0
2022-10-17,Sichuan_cheng-du-shi,3.0
2022-10-18,Sichuan_cheng-du-shi,0.0
2022-10-19,Sichuan_cheng-du-shi,0.0
2022-10-20,Sichuan_cheng-du-shi,0.0
2022-10-21,Sichuan_cheng-du-shi,2.0
2022-10-22,Sichuan_cheng-du-shi,18.0
2022-10-23,Sichuan_cheng-du-shi,8.0
2022-10-24,Sichuan_cheng-du-shi,1.0
2022-10-25,Sichuan_cheng-du-shi,2.0
2022-10-26,Sichuan_cheng-du-shi,0.0
2022-10-27,Sichuan_cheng-du-shi,1.0
2022-10-28,Sichuan_cheng-du-shi,1.0
2022-10-29,Sichuan_cheng-du-shi,2.0
2022-10-30,Sichuan_cheng-du-shi,1.0
2022-10-31,Sichuan_cheng-du-shi,3.0
2022-11-01,Sichuan_cheng-du-shi,1.0
2022-11-02,Sichuan_cheng-du-shi,10.0
2022-11-03,Sichuan_cheng-du-shi,9.0
2022-11-04,Sichuan_cheng-du-shi,6.0
2022-11-05,Sichuan_cheng-du-shi,1.0
2022-11-06,Sichuan_cheng-du-shi,3.0
2022-11-07,Sichuan_cheng-du-shi,5.0
2022-11-08,Sichuan_cheng-du-shi,17.0
2022-11-09,Sichuan_cheng-du-shi,24.0
2022-11-10,Sichuan_cheng-du-shi,32.0
2022-11-11,Sichuan_cheng-du-shi,33.0
2022-11-12,Sichuan_cheng-du-shi,42.0
2022-11-13,Sichuan_cheng-du-shi,84.0
2022-11-14,Sichuan_cheng-du-shi,122.0
2022-11-15,Sichuan_cheng-du-shi,85.0
2022-11-16,Sichuan_cheng-du-shi,110.0
2022-11-17,Sichuan_cheng-du-shi,157.0
2022-11-18,Sichuan_cheng-du-shi,194.0
2022-11-19,Sichuan_cheng-du-shi,188.0
2022-11-20,Sichuan_cheng-du-shi,281.0
2022-11-21,Sichuan_cheng-du-shi,357.0
2022-11-22,Sichuan_cheng-du-shi,433.0
2022-11-23,Sichuan_cheng-du-shi,511.0
2022-11-24,Sichuan_cheng-du-shi,552.0
2022-11-25,Sichuan_cheng-du-shi,695.0
2022-11-26,Sichuan_cheng-du-shi,727.0
2022-11-27,Sichuan_cheng-du-shi,868.0
2022-11-28,Sichuan_cheng-du-shi,770.0
2022-11-29,Sichuan_cheng-du-shi,668.0
2022-11-30,Sichuan_cheng-du-shi,718.0
2022-12-01,Sichuan_cheng-du-shi,509.0
2022-12-02,Sichuan_cheng-du-shi,456.0
2022-12-03,Sichuan_cheng-du-shi,441.0
2022-12-04,Sichuan_cheng-du-shi,407.0
2022-12-05,Sichuan_cheng-du-shi,344.0
2022-12-06,Sichuan_cheng-du-shi,283.0
2022-12-07,Sichuan_cheng-du-shi,185.0
2022-12-08,Sichuan_cheng-du-shi,82.0
2022-12-09,Sichuan_cheng-du-shi,156.0
2022-12-10,Sichuan_cheng-du-shi,100.0
2022-12-11,Sichuan_cheng-du-shi,0.0
2022-12-12,Sichuan_cheng-du-shi,0.0
2022-12-13,Sichuan_cheng-du-shi,0.0
2022-12-14,Sichuan_cheng-du-shi,0.0
2022-12-15,Sichuan_cheng-du-shi,0.0
2022-12-16,Sichuan_cheng-du-shi,0.0
2022-12-17,Sichuan_cheng-du-shi,0.0
2022-12-18,Sichuan_cheng-du-shi,0.0
2022-12-19,Sichuan_cheng-du-shi,0.0
2022-12-20,Sichuan_cheng-du-shi,0.0
