date,city,cases
2022-07-01,Xizang_chang-du-shi,0.0
2022-07-02,Xizang_chang-du-shi,0.0
2022-07-03,Xizang_chang-du-shi,0.0
2022-07-04,Xizang_chang-du-shi,0.0
2022-07-05,Xizang_chang-du-shi,0.0
2022-07-06,Xizang_chang-du-shi,0.0
2022-07-07,Xizang_chang-du-shi,0.0
2022-07-08,Xizang_chang-du-shi,0.0
2022-07-09,Xizang_chang-du-shi,0.0
2022-07-10,Xizang_chang-du-shi,0.0
2022-07-11,Xizang_chang-du-shi,0.0
2022-07-12,Xizang_chang-du-shi,0.0
2022-07-13,Xizang_chang-du-shi,0.0
2022-07-14,Xizang_chang-du-shi,0.0
2022-07-15,Xizang_chang-du-shi,0.0
2022-07-16,Xizang_chang-du-shi,0.0
2022-07-17,Xizang_chang-du-shi,0.0
2022-07-18,Xizang_chang-du-shi,0.0
2022-07-19,Xizang_chang-du-shi,0.0
2022-07-20,Xizang_chang-du-shi,0.0
2022-07-21,Xizang_chang-du-shi,0.0
2022-07-22,Xizang_chang-du-shi,0.0
2022-07-23,Xizang_chang-du-shi,0.0
2022-07-24,Xizang_chang-du-shi,0.0
2022-07-25,Xizang_chang-du-shi,0.0
2022-07-26,Xizang_chang-du-shi,0.0
2022-07-27,Xizang_chang-du-shi,0.0
2022-07-28,Xizang_chang-du-shi,0.0
2022-07-29,Xizang_chang-du-shi,0.0
2022-07-30,Xizang_chang-du-shi,0.0
2022-07-31,Xizang_chang-du-shi,0.0
2022-08-01,Xizang_chang-du-shi,0.0
2022-08-02,Xizang_chang-du-shi,0.0
2022-08-03,Xizang_chang-du-shi,0.0
2022-08-04,Xizang_chang-du-shi,0.0
2022-08-05,Xizang_chang-du-shi,0.0
2022-08-06,Xizang_chang-du-shi,0.0
2022-08-07,Xizang_chang-du-shi,0.0
2022-08-08,Xizang_chang-du-shi,0.0
2022-08-09,Xizang_chang-du-shi,0.0
2022-08-10,Xizang_chang-du-shi,0.0
2022-08-11,Xizang_chang-du-shi,0.0
2022-08-12,Xizang_chang-du-shi,0.0
2022-08-13,Xizang_chang-du-shi,0.0
2022-08-14,Xizang_chang-du-shi,0.0
2022-08-15,Xizang_chang-du-shi,4.0
2022-08-16,Xizang_chang-du-shi,4.0
