date,city,cases
2022-07-01,Xizang_la-sa-shi,0.0
2022-07-02,Xizang_la-sa-shi,0.0
2022-07-03,Xizang_la-sa-shi,0.0
2022-07-04,Xizang_la-sa-shi,0.0
2022-07-05,Xizang_la-sa-shi,0.0
2022-07-06,Xizang_la-sa-shi,0.0
2022-07-07,Xizang_la-sa-shi,0.0
2022-07-08,Xizang_la-sa-shi,0.0
2022-07-09,Xizang_la-sa-shi,0.0
2022-07-10,Xizang_la-sa-shi,0.0
2022-07-11,Xizang_la-sa-shi,0.0
2022-07-12,Xizang_la-sa-shi,0.0
2022-07-13,Xizang_la-sa-shi,0.0
2022-07-14,Xizang_la-sa-shi,0.0
2022-07-15,Xizang_la-sa-shi,0.0
2022-07-16,Xizang_la-sa-shi,0.0
2022-07-17,Xizang_la-sa-shi,0.0
2022-07-18,Xizang_la-sa-shi,0.0
2022-07-19,Xizang_la-sa-shi,0.0
2022-07-20,Xizang_la-sa-shi,0.0
2022-07-21,Xizang_la-sa-shi,0.0
2022-07-22,Xizang_la-sa-shi,0.0
2022-07-23,Xizang_la-sa-shi,0.0
2022-07-24,Xizang_la-sa-shi,0.0
2022-07-25,Xizang_la-sa-shi,0.0
2022-07-26,Xizang_la-sa-shi,0.0
2022-07-27,Xizang_la-sa-shi,0.0
2022-07-28,Xizang_la-sa-shi,0.0
2022-07-29,Xizang_la-sa-shi,0.0
2022-07-30,Xizang_la-sa-shi,0.0
2022-07-31,Xizang_la-sa-shi,0.0
2022-08-01,Xizang_la-sa-shi,0.0
2022-08-02,Xizang_la-sa-shi,0.0
2022-08-03,Xizang_la-sa-shi,0.0
2022-08-04,Xizang_la-sa-shi,0.0
2022-08-05,Xizang_la-sa-shi,0.0
2022-08-06,Xizang_la-sa-shi,0.0
2022-08-07,Xizang_la-sa-shi,0.0
2022-08-08,Xizang_la-sa-shi,0.0
2022-08-09,Xizang_la-sa-shi,0.0
2022-08-10,Xizang_la-sa-shi,0.0
2022-08-11,Xizang_la-sa-shi,0.0
2022-08-12,Xizang_la-sa-shi,0.0
2022-08-13,Xizang_la-sa-shi,0.0
2022-08-14,Xizang_la-sa-shi,0.0
2022-08-15,Xizang_la-sa-shi,237.0
2022-08-16,Xizang_la-sa-shi,192.0
2022-08-17,Xizang_la-sa-shi,332.0
2022-08-18,Xizang_la-sa-shi,226.0
2022-08-19,Xizang_la-sa-shi,183.0
2022-08-20,Xizang_la-sa-shi,214.0
2022-08-21,Xizang_la-sa-shi,195.0
2022-08-22,Xizang_la-sa-shi,195.0
2022-08-23,Xizang_la-sa-shi,204.0
2022-08-24,Xizang_la-sa-shi,189.0
2022-08-25,Xizang_la-sa-shi,191.0
2022-08-26,Xizang_la-sa-shi,173.0
2022-08-27,Xizang_la-sa-shi,196.0
2022-08-28,Xizang_la-sa-shi,264.0
2022-08-29,Xizang_la-sa-shi,275.0
2022-08-30,Xizang_la-sa-shi,289.0
2022-08-31,Xizang_la-sa-shi,280.0
2022-09-01,Xizang_la-sa-shi,272.0
2022-09-02,Xizang_la-sa-shi,251.0
2022-09-03,Xizang_la-sa-shi,251.0
2022-09-04,Xizang_la-sa-shi,240.0
2022-09-05,Xizang_la-sa-shi,239.0
2022-09-06,Xizang_la-sa-shi,198.0
2022-09-07,Xizang_la-sa-shi,173.0
2022-09-08,Xizang_la-sa-shi,158.0
2022-09-09,Xizang_la-sa-shi,144.0
2022-09-10,Xizang_la-sa-shi,128.0
2022-09-11,Xizang_la-sa-shi,122.0
2022-09-12,Xizang_la-sa-shi,137.0
2022-09-13,Xizang_la-sa-shi,95.0
2022-09-14,Xizang_la-sa-shi,86.0
2022-09-15,Xizang_la-sa-shi,104.0
2022-09-16,Xizang_la-sa-shi,49.0
2022-09-17,Xizang_la-sa-shi,33.0
2022-09-18,Xizang_la-sa-shi,189.0
2022-09-19,Xizang_la-sa-shi,165.0
