date,city,cases
2022-07-01,Xizang_ri-ka-ze-shi,0.0
2022-07-02,Xizang_ri-ka-ze-shi,0.0
2022-07-03,Xizang_ri-ka-ze-shi,0.0
2022-07-04,Xizang_ri-ka-ze-shi,0.0
2022-07-05,Xizang_ri-ka-ze-shi,0.0
2022-07-06,Xizang_ri-ka-ze-shi,0.0
2022-07-07,Xizang_ri-ka-ze-shi,0.0
2022-07-08,Xizang_ri-ka-ze-shi,0.0
2022-07-09,Xizang_ri-ka-ze-shi,0.0
2022-07-10,Xizang_ri-ka-ze-shi,0.0
2022-07-11,Xizang_ri-ka-ze-shi,0.0
2022-07-12,Xizang_ri-ka-ze-shi,0.0
2022-07-13,Xizang_ri-ka-ze-shi,0.0
2022-07-14,Xizang_ri-ka-ze-shi,0.0
2022-07-15,Xizang_ri-ka-ze-shi,0.0
2022-07-16,Xizang_ri-ka-ze-shi,0.0
2022-07-17,Xizang_ri-ka-ze-shi,0.0
2022-07-18,Xizang_ri-ka-ze-shi,0.0
2022-07-19,Xizang_ri-ka-ze-shi,0.0
2022-07-20,Xizang_ri-ka-ze-shi,0.0
2022-07-21,Xizang_ri-ka-ze-shi,0.0
2022-07-22,Xizang_ri-ka-ze-shi,0.0
2022-07-23,Xizang_ri-ka-ze-shi,0.0
2022-07-24,Xizang_ri-ka-ze-shi,0.0
2022-07-25,Xizang_ri-ka-ze-shi,0.0
2022-07-26,Xizang_ri-ka-ze-shi,0.0
2022-07-27,Xizang_ri-ka-ze-shi,0.0
2022-07-28,Xizang_ri-ka-ze-shi,0.0
2022-07-29,Xizang_ri-ka-ze-shi,0.0
2022-07-30,Xizang_ri-ka-ze-shi,0.0
2022-07-31,Xizang_ri-ka-ze-shi,0.0
2022-08-01,Xizang_ri-ka-ze-shi,0.0
2022-08-02,Xizang_ri-ka-ze-shi,0.0
2022-08-03,Xizang_ri-ka-ze-shi,0.0
2022-08-04,Xizang_ri-ka-ze-shi,0.0
2022-08-05,Xizang_ri-ka-ze-shi,0.0
2022-08-06,Xizang_ri-ka-ze-shi,0.0
2022-08-07,Xizang_ri-ka-ze-shi,0.0
2022-08-08,Xizang_ri-ka-ze-shi,0.0
2022-08-09,Xizang_ri-ka-ze-shi,0.0
2022-08-10,Xizang_ri-ka-ze-shi,0.0
2022-08-11,Xizang_ri-ka-ze-shi,0.0
2022-08-12,Xizang_ri-ka-ze-shi,0.0
2022-08-13,Xizang_ri-ka-ze-shi,0.0
2022-08-14,Xizang_ri-ka-ze-shi,0.0
2022-08-15,Xizang_ri-ka-ze-shi,327.0
2022-08-16,Xizang_ri-ka-ze-shi,295.0
2022-08-17,Xizang_ri-ka-ze-shi,305.0
2022-08-18,Xizang_ri-ka-ze-shi,219.0
2022-08-19,Xizang_ri-ka-ze-shi,214.0
2022-08-20,Xizang_ri-ka-ze-shi,212.0
2022-08-21,Xizang_ri-ka-ze-shi,200.0
2022-08-22,Xizang_ri-ka-ze-shi,191.0
2022-08-23,Xizang_ri-ka-ze-shi,187.0
2022-08-24,Xizang_ri-ka-ze-shi,181.0
2022-08-25,Xizang_ri-ka-ze-shi,162.0
2022-08-26,Xizang_ri-ka-ze-shi,142.0
2022-08-27,Xizang_ri-ka-ze-shi,144.0
2022-08-28,Xizang_ri-ka-ze-shi,171.0
2022-08-29,Xizang_ri-ka-ze-shi,216.0
2022-08-30,Xizang_ri-ka-ze-shi,196.0
2022-08-31,Xizang_ri-ka-ze-shi,175.0
2022-09-01,Xizang_ri-ka-ze-shi,168.0
2022-09-02,Xizang_ri-ka-ze-shi,178.0
2022-09-03,Xizang_ri-ka-ze-shi,169.0
2022-09-04,Xizang_ri-ka-ze-shi,159.0
