city,start_date,end_date,duration,11/27/2022,true_duration
2022_2_Beijing_bei-jing-shi,7/18/2022,12/20/2022,156,132,132
2022_2_Chongqing_zhong-qing-shi,8/3/2022,12/20/2022,140,116,116
2022_2_Fujian_fu-zhou-shi,10/3/2022,12/20/2022,79,55,55
2022_2_Fujian_quan-zhou-shi,11/8/2022,12/20/2022,43,19,19
2022_2_Fujian_sha-men-shi,11/12/2022,12/20/2022,39,15,15
2022_2_Guangdong_dong-guan-shi,10/28/2022,12/20/2022,54,30,30
2022_2_Guangdong_fo-shan-shi,10/3/2022,12/20/2022,79,55,55
2022_2_Guangdong_guang-zhou-shi,9/16/2022,12/20/2022,96,72,72
2022_2_Guangdong_hui-zhou-shi,11/10/2022,12/20/2022,41,17,17
2022_2_Guangdong_mao-ming-shi,10/27/2022,12/20/2022,55,31,31
2022_2_Guangdong_mei-zhou-shi,10/23/2022,12/20/2022,59,35,35
2022_2_Guangdong_qing-yuan-shi,10/3/2022,12/20/2022,79,55,55
2022_2_Guangdong_shan-tou-shi,10/28/2022,12/20/2022,54,30,30
2022_2_Guangdong_shen-zhen-shi,8/11/2022,12/20/2022,132,108,108
2022_2_Guangdong_zhan-jiang-shi,11/4/2022,12/20/2022,47,23,23
2022_2_Guangdong_zhao-qing-shi,11/8/2022,12/20/2022,43,19,19
2022_2_Guangdong_zhong-shan-shi,11/10/2022,12/20/2022,41,17,17
2022_2_Guangdong_zhu-hai-shi,10/28/2022,12/20/2022,54,30,30
2022_2_Henan_zheng-zhou-shi,9/21/2022,12/20/2022,91,67,67
2022_2_Jilin_chang-chun-shi,10/5/2022,12/20/2022,77,53,53
2022_2_Jilin_song-yuan-shi,11/5/2022,12/20/2022,46,22,22
2022_2_Liaoning_shen-yang-shi,11/1/2022,12/20/2022,50,26,26
2022_2_Ningxia_yin-chuan-shi,9/21/2022,12/20/2022,91,67,67
2022_2_Qinghai_hai-dong-shi,10/20/2022,12/20/2022,62,38,38
2022_2_Qinghai_xi-ning-shi,10/20/2022,12/20/2022,62,38,38
2022_2_Shandong_bin-zhou-shi,10/6/2022,12/20/2022,76,52,52
2022_2_Shandong_ji-nan-shi,10/23/2022,12/20/2022,59,35,35
2022_2_Shandong_liao-cheng-shi,9/29/2022,12/20/2022,83,59,59
2022_2_Shandong_qing-dao-shi,10/14/2022,12/20/2022,68,44,44
2022_2_Shanghai_shang-hai-shi,8/11/2022,12/20/2022,132,108,108
2022_2_Shanxi_jin-cheng-shi,10/29/2022,12/20/2022,53,29,29
2022_2_Shanxi_lin-fen-shi,10/3/2022,12/20/2022,79,55,55
2022_2_Shanxi_tai-yuan-shi,11/8/2022,12/20/2022,43,19,19
2022_2_Shanxi_xin-zhou-shi,10/29/2022,12/20/2022,53,29,29
2022_2_Shanxi_yun-cheng-shi,10/7/2022,12/20/2022,75,51,51
2022_2_Tianjin_tian-jin-shi,8/24/2022,12/20/2022,119,95,95
2022_2_Zhejiang_hang-zhou-shi,9/29/2022,12/20/2022,83,59,59
2022_2_Zhejiang_jia-xing-shi,9/26/2022,12/20/2022,86,62,62
2022_2_Zhejiang_ning-bo-shi,11/3/2022,12/20/2022,48,24,24
2022_2_Zhejiang_wen-zhou-shi,10/22/2022,12/20/2022,60,36,36
2022_2_Hubei_wu-han-shi,8/14/2022,12/13/2022,122,105,105
2022_2_Jiangsu_nan-jing-shi,9/29/2022,12/13/2022,76,59,59
2022_2_Jiangsu_su-zhou-shi,9/25/2022,12/13/2022,80,63,63
2022_2_Jiangsu_yang-zhou-shi,10/25/2022,12/13/2022,50,33,33
2022_2_Ningxia_wu-zhong-shi,9/21/2022,12/13/2022,84,67,67
2022_2_Shandong_de-zhou-shi,10/17/2022,12/13/2022,58,41,41
2022_2_Shandong_he-ze-shi,9/14/2022,12/13/2022,91,74,74
2022_2_Shandong_ji-ning-shi,9/26/2022,12/13/2022,79,62,62
2022_2_Shandong_lin-yi-shi,9/22/2022,12/13/2022,83,66,66
2022_2_Shandong_tai-an-shi,10/31/2022,12/13/2022,44,27,27
2022_2_Shandong_zao-zhuang-shi,10/17/2022,12/13/2022,58,41,41
2022_2_Shandong_zi-bo-shi,10/25/2022,12/13/2022,50,33,33
2022_2_Xizang_la-sa-shi,8/15/2022,12/13/2022,121,104,104
2022_2_Zhejiang_jin-hua-shi,10/25/2022,12/13/2022,50,33,33
2022_2_Anhui_he-fei-shi,9/29/2022,12/12/2022,75,59,59
2022_2_Anhui_wu-hu-shi,11/6/2022,12/12/2022,37,21,21
2022_2_Anhui_xuan-cheng-shi,11/5/2022,12/12/2022,38,22,22
2022_2_Gansu_lan-zhou-shi,8/15/2022,12/12/2022,120,104,104
2022_2_Heilongjiang_da-qing-shi,11/6/2022,12/12/2022,37,21,21
2022_2_Heilongjiang_ha-er-bin-shi,10/28/2022,12/12/2022,46,30,30
2022_2_Heilongjiang_hei-he-shi,10/13/2022,12/12/2022,61,45,45
2022_2_Heilongjiang_qi-qi-ha-er-shi,11/4/2022,12/12/2022,39,23,23
2022_2_Jiangsu_wu-xi-shi,10/4/2022,12/12/2022,70,54,54
2022_2_Jiangsu_zhen-jiang-shi,11/10/2022,12/12/2022,33,17,17
2022_2_Jiangxi_nan-chang-shi,10/28/2022,12/12/2022,46,30,30
2022_2_Shaanxi_shang-luo-shi,11/11/2022,12/12/2022,32,16,16
2022_2_Shaanxi_wei-nan-shi,10/2/2022,12/12/2022,72,56,56
