date,cases,Mean.R.,province,city,roll_corr
3/14/2022,6,1.586352781,Beijing,Beijing_Beijing,NA
3/15/2022,10,1.278762892,Beijing,Beijing_Beijing,NA
3/16/2022,4,1.07286613,Beijing,Beijing_Beijing,NA
3/17/2022,8,0.928811163,Beijing,Beijing_Beijing,NA
3/18/2022,1,0.825004736,Beijing,Beijing_Beijing,NA
3/19/2022,1,0.749852639,Beijing,Beijing_Beijing,NA
3/20/2022,4,0.696910202,Beijing,Beijing_Beijing,NA
3/21/2022,6,0.662459579,Beijing,Beijing_Beijing,NA
3/22/2022,4,0.644294546,Beijing,Beijing_Beijing,NA
3/23/2022,4,0.641160325,Beijing,Beijing_Beijing,NA
3/24/2022,0,0.652235653,Beijing,Beijing_Beijing,NA
3/25/2022,2,0.677270683,Beijing,Beijing_Beijing,NA
3/26/2022,1,0.716755756,Beijing,Beijing_Beijing,NA
3/27/2022,0,0.771918625,Beijing,Beijing_Beijing,0.930548695
3/28/2022,0,0.843975542,Beijing,Beijing_Beijing,0.884472604
3/29/2022,2,0.933027668,Beijing,Beijing_Beijing,0.673893382
3/30/2022,0,1.036462203,Beijing,Beijing_Beijing,0.222043009
3/31/2022,0,1.148084313,Beijing,Beijing_Beijing,-0.146826334
4/1/2022,0,1.257365978,Beijing,Beijing_Beijing,-0.303171337
4/2/2022,0,1.350791935,Beijing,Beijing_Beijing,-0.323476833
4/3/2022,1,1.41520785,Beijing,Beijing_Beijing,-0.157589983
4/4/2022,9,1.442153671,Beijing,Beijing_Beijing,0.133145166
4/5/2022,5,1.429693606,Beijing,Beijing_Beijing,0.616754645
4/6/2022,4,1.382292423,Beijing,Beijing_Beijing,0.55807364
4/7/2022,10,1.310430166,Beijing,Beijing_Beijing,0.502410113
4/8/2022,6,1.225743747,Beijing,Beijing_Beijing,0.406403971
4/9/2022,3,1.137747295,Beijing,Beijing_Beijing,0.274802335
4/10/2022,0,1.053470335,Beijing,Beijing_Beijing,0.047880354
4/11/2022,4,0.978630995,Beijing,Beijing_Beijing,-0.306614021
4/12/2022,0,0.919197615,Beijing,Beijing_Beijing,-0.622802154
4/13/2022,1,0.882129765,Beijing,Beijing_Beijing,-0.788730668
4/14/2022,2,0.874478542,Beijing,Beijing_Beijing,-0.872763235
4/15/2022,0,0.90528935,Beijing,Beijing_Beijing,-0.90907504
4/16/2022,0,0.987421461,Beijing,Beijing_Beijing,-0.921615112
4/17/2022,3,1.136235319,Beijing,Beijing_Beijing,-0.89166735
4/18/2022,2,1.365079929,Beijing,Beijing_Beijing,-0.694872194
4/19/2022,2,1.673633979,Beijing,Beijing_Beijing,-0.19186455
4/20/2022,1,2.032244646,Beijing,Beijing_Beijing,0.31711675
4/21/2022,1,2.378033859,Beijing,Beijing_Beijing,0.634605736
4/22/2022,6,2.637579848,Beijing,Beijing_Beijing,0.793543692
4/23/2022,22,2.762438751,Beijing,Beijing_Beijing,0.894685488
4/24/2022,19,2.745015034,Beijing,Beijing_Beijing,0.926720108
4/25/2022,33,2.608408502,Beijing,Beijing_Beijing,0.950308532
4/26/2022,34,2.397135054,Beijing,Beijing_Beijing,0.971685123
4/27/2022,50,2.157620911,Beijing,Beijing_Beijing,0.952763087
4/28/2022,49,1.920535657,Beijing,Beijing_Beijing,0.862069057
4/29/2022,54,1.700485017,Beijing,Beijing_Beijing,0.769142032
4/30/2022,59,1.502405327,Beijing,Beijing_Beijing,0.766272429
5/1/2022,41,1.327706437,Beijing,Beijing_Beijing,0.818707023
5/2/2022,62,1.178299264,Beijing,Beijing_Beijing,0.911333243
5/3/2022,51,1.056163541,Beijing,Beijing_Beijing,0.965248267
5/4/2022,50,0.96217135,Beijing,Beijing_Beijing,0.981894283
5/5/2022,72,0.896818318,Beijing,Beijing_Beijing,0.984995125
5/6/2022,53,0.859916766,Beijing,Beijing_Beijing,0.986125077
5/7/2022,62,0.850693477,Beijing,Beijing_Beijing,0.988664464
5/8/2022,49,0.867661609,Beijing,Beijing_Beijing,0.987181642
5/9/2022,74,0.90786662,Beijing,Beijing_Beijing,0.990153816
5/10/2022,37,0.965848124,Beijing,Beijing_Beijing,0.991430307
5/11/2022,46,1.032918811,Beijing,Beijing_Beijing,0.9750233
5/12/2022,50,1.097695953,Beijing,Beijing_Beijing,0.912218612
5/13/2022,56,1.149176393,Beijing,Beijing_Beijing,0.734795021
5/14/2022,41,1.179178907,Beijing,Beijing_Beijing,0.274108607
5/15/2022,54,1.183809202,Beijing,Beijing_Beijing,-0.369790241
5/16/2022,52,1.164241259,Beijing,Beijing_Beijing,-0.769362239
5/17/2022,69,1.124937224,Beijing,Beijing_Beijing,-0.882867378
5/18/2022,55,1.071462646,Beijing,Beijing_Beijing,-0.850377622
5/19/2022,62,1.009121657,Beijing,Beijing_Beijing,-0.737509422
5/20/2022,70,0.9424986,Beijing,Beijing_Beijing,-0.534378384
5/21/2022,61,0.875575276,Beijing,Beijing_Beijing,-0.247926847
5/22/2022,99,0.811714809,Beijing,Beijing_Beijing,0.062554916
5/23/2022,48,0.752986915,Beijing,Beijing_Beijing,0.361172866
5/24/2022,47,0.700421293,Beijing,Beijing_Beijing,0.596454086
5/25/2022,45,0.654523972,Beijing,Beijing_Beijing,0.748904233
5/26/2022,29,0.615672604,Beijing,Beijing_Beijing,0.816738855
5/27/2022,24,0.584279483,Beijing,Beijing_Beijing,0.869513187
5/28/2022,21,0.560942301,Beijing,Beijing_Beijing,0.91032855
5/29/2022,12,0.546631844,Beijing,Beijing_Beijing,0.949997459
5/30/2022,18,0.542947921,Beijing,Beijing_Beijing,0.950384367
5/31/2022,15,0.552483091,Beijing,Beijing_Beijing,0.934532712
6/1/2022,14,0.579132903,Beijing,Beijing_Beijing,0.814568886
6/2/2022,15,0.628611436,Beijing,Beijing_Beijing,0.462871239
6/3/2022,6,0.709595023,Beijing,Beijing_Beijing,0.427430428
6/4/2022,19,0.832670803,Beijing,Beijing_Beijing,0.689423351
6/5/2022,6,1.005336109,Beijing,Beijing_Beijing,0.895083327
6/6/2022,2,1.222762754,Beijing,Beijing_Beijing,0.971369499
6/7/2022,8,1.457347232,Beijing,Beijing_Beijing,0.988584329
6/8/2022,1,1.659208019,Beijing,Beijing_Beijing,0.992956874
6/9/2022,8,1.776638136,Beijing,Beijing_Beijing,0.995790795
6/10/2022,61,1.78299111,Beijing,Beijing_Beijing,0.993689085
6/11/2022,65,1.686947477,Beijing,Beijing_Beijing,0.982361792
6/12/2022,51,1.52036743,Beijing,Beijing_Beijing,0.955262826
6/13/2022,74,1.320026814,Beijing,Beijing_Beijing,0.908650792
6/14/2022,63,1.115907306,Beijing,Beijing_Beijing,0.810929804
6/15/2022,18,0.922542725,Beijing,Beijing_Beijing,0.635484789
6/16/2022,22,0.743290816,Beijing,Beijing_Beijing,0.390001774
6/17/2022,9,0.578681527,Beijing,Beijing_Beijing,0.108124119
6/18/2022,1,0.431652794,Beijing,Beijing_Beijing,-0.145256155
6/19/2022,5,0.308521739,Beijing,Beijing_Beijing,-0.331582302
6/20/2022,5,0.21567296,Beijing,Beijing_Beijing,-0.466718246
6/21/2022,6,0.152478511,Beijing,Beijing_Beijing,-0.534101797
6/22/2022,3,0.113720782,Beijing,Beijing_Beijing,-0.557295395
