date,cases,Mean.R.,province,city,roll_corr
9/29/2022,4,2.416402776,Anhui,Anhui_Fuyang,NA
9/30/2022,0,2.218126491,Anhui,Anhui_Fuyang,NA
10/1/2022,0,2.11549154,Anhui,Anhui_Fuyang,NA
10/2/2022,2,2.056724886,Anhui,Anhui_Fuyang,NA
10/3/2022,0,2.009635635,Anhui,Anhui_Fuyang,NA
10/4/2022,0,1.95541159,Anhui,Anhui_Fuyang,NA
10/5/2022,2,1.885466801,Anhui,Anhui_Fuyang,NA
10/6/2022,0,1.798408201,Anhui,Anhui_Fuyang,NA
10/7/2022,3,1.696406882,Anhui,Anhui_Fuyang,NA
10/8/2022,16,1.582901655,Anhui,Anhui_Fuyang,NA
10/9/2022,28,1.461462031,Anhui,Anhui_Fuyang,NA
10/10/2022,12,1.335485109,Anhui,Anhui_Fuyang,NA
10/11/2022,17,1.208158767,Anhui,Anhui_Fuyang,NA
10/12/2022,15,1.082943952,Anhui,Anhui_Fuyang,-0.240745981
10/13/2022,38,0.96329462,Anhui,Anhui_Fuyang,-0.631733488
10/14/2022,14,0.851683549,Anhui,Anhui_Fuyang,-0.760042557
10/15/2022,9,0.749635163,Anhui,Anhui_Fuyang,-0.776078839
10/16/2022,7,0.658284908,Anhui,Anhui_Fuyang,-0.726339823
10/17/2022,0,0.57894579,Anhui,Anhui_Fuyang,-0.62928892
10/18/2022,0,0.513537112,Anhui,Anhui_Fuyang,-0.498776324
10/19/2022,0,0.463811015,Anhui,Anhui_Fuyang,-0.350928515
10/20/2022,0,0.430324863,Anhui,Anhui_Fuyang,-0.163505248
10/21/2022,0,0.41306555,Anhui,Anhui_Fuyang,-0.14122322
10/22/2022,0,0.411951264,Anhui,Anhui_Fuyang,-0.187420195
10/23/2022,2,0.426967393,Anhui,Anhui_Fuyang,-0.249955703
10/24/2022,0,0.457921138,Anhui,Anhui_Fuyang,-0.32109009
10/25/2022,0,0.503819521,Anhui,Anhui_Fuyang,-0.408365692
10/26/2022,0,0.562517394,Anhui,Anhui_Fuyang,-0.46125584
10/27/2022,0,0.631316599,Anhui,Anhui_Fuyang,-0.433525252
10/28/2022,3,0.707184024,Anhui,Anhui_Fuyang,-0.192765596
10/29/2022,0,0.787197696,Anhui,Anhui_Fuyang,0.137230649
